NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
V1.3.2,b67e0381440d73a886d7094ee0ccc5e721e8a6ed,Wed Aug 28 08:41:14 CEST 2013,greendao,de.greenrobot.dao,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.greenrobot.dao; de.greenrobot.dao.internal
V1.3.2,b67e0381440d73a886d7094ee0ccc5e721e8a6ed,Wed Aug 28 08:41:14 CEST 2013,greendao,de.greenrobot.dao,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.greenrobot.dao; de.greenrobot.dao.identityscope; de.greenrobot.dao.internal
V1.3.2,b67e0381440d73a886d7094ee0ccc5e721e8a6ed,Wed Aug 28 08:41:14 CEST 2013,greendao,de.greenrobot.dao,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): de.greenrobot.dao.identityscope; de.greenrobot.dao.query
V1.3.2,b67e0381440d73a886d7094ee0ccc5e721e8a6ed,Wed Aug 28 08:41:14 CEST 2013,greendao,de.greenrobot.dao,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DbUtils; DaoLog; AbstractDao; InternalQueryDaoAccess; DaoException; AbstractDaoSession; InternalUnitTestDaoAccess]; [Property]; [AbstractDaoMaster]. LCC (Lack of Component Cohesion) = 0.33
V1.3.2,b67e0381440d73a886d7094ee0ccc5e721e8a6ed,Wed Aug 28 08:41:14 CEST 2013,greendao,de.greenrobot.dao.identityscope,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.greenrobot.dao.identityscope; de.greenrobot.dao.internal
V1.3.2,b67e0381440d73a886d7094ee0ccc5e721e8a6ed,Wed Aug 28 08:41:14 CEST 2013,greendao,de.greenrobot.dao.identityscope,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.greenrobot.dao.identityscope; de.greenrobot.dao.internal; de.greenrobot.dao
V1.3.2,b67e0381440d73a886d7094ee0ccc5e721e8a6ed,Wed Aug 28 08:41:14 CEST 2013,greendao,de.greenrobot.dao.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.greenrobot.dao.internal; de.greenrobot.dao
V1.3.2,b67e0381440d73a886d7094ee0ccc5e721e8a6ed,Wed Aug 28 08:41:14 CEST 2013,greendao,de.greenrobot.dao.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.greenrobot.dao.internal; de.greenrobot.dao; de.greenrobot.dao.identityscope
V1.3.2,b67e0381440d73a886d7094ee0ccc5e721e8a6ed,Wed Aug 28 08:41:14 CEST 2013,greendao,de.greenrobot.dao.internal,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): de.greenrobot.dao; de.greenrobot.dao.identityscope
V1.3.2,b67e0381440d73a886d7094ee0ccc5e721e8a6ed,Wed Aug 28 08:41:14 CEST 2013,greendao,de.greenrobot.dao.internal,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FastCursor]; [LongHashMap; Entry]; [DaoConfig; TableStatements; SqlUtils]. LCC (Lack of Component Cohesion) = 0.5
