NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,CodePosition,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: RootNode; ErrorsCounter; ClassNode; DexNode; InfoStorage; ArgType; WildcardType; ArrayArg; UnknownArg; ClassInfo; MethodInfo; TypeGen; FieldInfo; MethodNode; InsnNode; RegisterArg; SSAVar; PhiInsn; BlockNode; IgnoreEdgeAttr; InsnUtils; FieldNode; InsnArg; TypeImmutableArg; LiteralArg; InsnWrapArg; InstructionRemover; BlockUtils; IfCondition; Compare; IfNode; InsnDecoder; ConstStringNode; ConstClassNode; ArithNode; GotoNode; IndexInsnNode; NewArrayNode; SwitchNode; FillArrayNode; FilledNewArrayNode; InvokeNode; SignatureParser; Annotation; TryCatchBlock; CatchAttr; ExceptionHandler; ExcHandlerAttr; SplitterBlockAttr; LoopInfo; CodeWriter; CodePosition; JavaClass; JadxDecompiler; CodeGen; ClassGen; AnnotationGen; InsnGen; MethodGen; NameGen; NamedArg; LoopLabelAttr; ConstructorInsn; RegionGen; DeclareVariablesAttr; ForceReturnAttr; IfRegion; ConditionGen; CondStack; LoopRegion; ForLoop; ForEachLoop; SynchronizedRegion; SwitchRegion; TryCatchRegion; RegionUtils; DecodeException; DepthTraversal; IDexTreeVisitor; FieldArg; FieldReplaceAttr; MethodInlineAttr; TernaryInsn; EnumClassAttr; EnumField; BinaryXMLParser; ResourcesLoader; ResourceFile; Jadx; DotGraphVisitor; DumpDotGraph; SaveCode; ProcessClass; JavaField; JavaMethod; StaticValuesParser; ResRefField; ClspGraph; ClsSet; ResTableParser
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,JadxDecompiler,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.clsp,ClspGraph,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: RootNode; ErrorsCounter; ClassNode; DexNode; InfoStorage; ArgType; WildcardType; ArrayArg; UnknownArg; ClassInfo; MethodInfo; TypeGen; FieldInfo; MethodNode; InsnNode; RegisterArg; SSAVar; PhiInsn; BlockNode; IgnoreEdgeAttr; InsnUtils; FieldNode; InsnArg; TypeImmutableArg; LiteralArg; InsnWrapArg; InstructionRemover; BlockUtils; IfCondition; Compare; IfNode; InsnDecoder; ConstStringNode; ConstClassNode; ArithNode; GotoNode; IndexInsnNode; NewArrayNode; SwitchNode; FillArrayNode; FilledNewArrayNode; InvokeNode; SignatureParser; Annotation; TryCatchBlock; CatchAttr; ExceptionHandler; ExcHandlerAttr; SplitterBlockAttr; LoopInfo; CodeWriter; CodePosition; JavaClass; JadxDecompiler; CodeGen; ClassGen; AnnotationGen; InsnGen; MethodGen; NameGen; NamedArg; LoopLabelAttr; ConstructorInsn; RegionGen; DeclareVariablesAttr; ForceReturnAttr; IfRegion; ConditionGen; CondStack; LoopRegion; ForLoop; ForEachLoop; SynchronizedRegion; SwitchRegion; TryCatchRegion; RegionUtils; DecodeException; DepthTraversal; IDexTreeVisitor; FieldArg; FieldReplaceAttr; MethodInlineAttr; TernaryInsn; EnumClassAttr; EnumField; BinaryXMLParser; ResourcesLoader; ResourceFile; Jadx; DotGraphVisitor; DumpDotGraph; SaveCode; ProcessClass; JavaField; JavaMethod; StaticValuesParser; ResRefField; ClspGraph; ClsSet; ResTableParser
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,AnnotationGen,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: RootNode; ErrorsCounter; ClassNode; DexNode; InfoStorage; ArgType; WildcardType; ArrayArg; UnknownArg; ClassInfo; MethodInfo; TypeGen; FieldInfo; MethodNode; InsnNode; RegisterArg; SSAVar; PhiInsn; BlockNode; IgnoreEdgeAttr; InsnUtils; FieldNode; InsnArg; TypeImmutableArg; LiteralArg; InsnWrapArg; InstructionRemover; BlockUtils; IfCondition; Compare; IfNode; InsnDecoder; ConstStringNode; ConstClassNode; ArithNode; GotoNode; IndexInsnNode; NewArrayNode; SwitchNode; FillArrayNode; FilledNewArrayNode; InvokeNode; SignatureParser; Annotation; TryCatchBlock; CatchAttr; ExceptionHandler; ExcHandlerAttr; SplitterBlockAttr; LoopInfo; CodeWriter; CodePosition; JavaClass; JadxDecompiler; CodeGen; ClassGen; AnnotationGen; InsnGen; MethodGen; NameGen; NamedArg; LoopLabelAttr; ConstructorInsn; RegionGen; DeclareVariablesAttr; ForceReturnAttr; IfRegion; ConditionGen; CondStack; LoopRegion; ForLoop; ForEachLoop; SynchronizedRegion; SwitchRegion; TryCatchRegion; RegionUtils; DecodeException; DepthTraversal; IDexTreeVisitor; FieldArg; FieldReplaceAttr; MethodInlineAttr; TernaryInsn; EnumClassAttr; EnumField; BinaryXMLParser; ResourcesLoader; ResourceFile; Jadx; DotGraphVisitor; DumpDotGraph; SaveCode; ProcessClass; JavaField; JavaMethod; StaticValuesParser; ResRefField; ClspGraph; ClsSet; ResTableParser
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ClassGen,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; METHOD_LINE_COMPARATOR; cls; parentGen; annotationGen; fallback; showInconsistentCode; imports; clsDeclLine
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ClassGen,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 33 methods
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,CodeWriter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; MAX_FILENAME_LENGTH; NL; INDENT; ADD_LINE_NUMBERS; INDENT_CACHE; buf; indentStr; indent; line; offset; annotations; lineMap; node
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,CodeWriter,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 31 public methods
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ConditionGen,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): InsnGen
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,InsnGen,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: ConditionGen
