NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, Implementation Smell, Cause of the Smell
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.cli,JadxCLIArgs,process,Complex Method,Cyclomatic complexity of the method is 9
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.cli,JadxCLIArgs,process,Long Statement,The length of the statement "ch.qos.logback.classic.Logger rootLogger=(ch.qos.logback.classic.Logger)LoggerFactory.getLogger(Logger.ROOT_LOGGER_NAME);" is 121.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.cli,JadxCLIArgs,printUsage,Magic Number,The method contains a magic number: 2
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,CodePosition,hashCode,Magic Number,The method contains a magic number: 31
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,JadxDecompiler,getSaveExecutor,Complex Method,Cyclomatic complexity of the method is 8
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,JavaClass,load,Complex Method,Cyclomatic complexity of the method is 10
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,JavaClass,getDefinitionPosition,Complex Method,Cyclomatic complexity of the method is 9
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,ResourcesLoader,loadContent,Magic Number,The method contains a magic number: 1024.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,ResourcesLoader,decode,Magic Number,The method contains a magic number: 1024.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,ResourcesLoader,loadToCodeWriter,Empty catch clause,The method has an empty catch block.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.clsp,ClsSet,load,Complex Conditional,The conditional expression readHeaderLength != JADX_CLS_SET_HEADER.length() || !JADX_CLS_SET_HEADER.equals(new String(header`STRING_CHARSET)) || version != VERSION is complex.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.clsp,ClsSet,load,Long Statement,The length of the statement "if (readHeaderLength != JADX_CLS_SET_HEADER.length() || !JADX_CLS_SET_HEADER.equals(new String(header`STRING_CHARSET)) || version != VERSION) {" is 143.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.clsp,ConvertToClsSet,main,Magic Number,The method contains a magic number: 2
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.clsp,ConvertToClsSet,addFilesFromDirectory,Complex Conditional,The conditional expression fileName.endsWith(".dex") || fileName.endsWith(".jar") || fileName.endsWith(".apk") is complex.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,AnnotationGen,encodeValue,Complex Method,Cyclomatic complexity of the method is 17
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ClassGen,addClassDeclaration,Complex Conditional,The conditional expression sup != null && !sup.equals(ArgType.OBJECT) && !sup.getObject().equals(ArgType.ENUM.getObject()) is complex.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ClassGen,addClassDeclaration,Complex Method,Cyclomatic complexity of the method is 13
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ClassGen,addGenericMap,Complex Method,Cyclomatic complexity of the method is 9
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ClassGen,addMethod,Complex Conditional,The conditional expression badCode || mth.contains(AType.JADX_ERROR) || fallback is complex.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ClassGen,addMethod,Complex Method,Cyclomatic complexity of the method is 9
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ClassGen,addEnumFields,Complex Conditional,The conditional expression isMethodsPresents() || isFieldsPresents() || isInnerClassesPresents() is complex.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ClassGen,addEnumFields,Complex Method,Cyclomatic complexity of the method is 10
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ClassGen,useClassInternal,Complex Method,Cyclomatic complexity of the method is 12
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,CodeWriter,CodeWriter,Magic Number,The method contains a magic number: 2
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ConditionGen,add,Missing default,The following switch statement is missing a default case: switch (condition.getMode()) {
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ConditionGen,addCompare,Complex Conditional,The conditional expression firstArg.getType().equals(ArgType.BOOLEAN) && secondArg.isLiteral() && secondArg.getType().equals(ArgType.BOOLEAN) is complex.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ConditionGen,addCompare,Long Statement,The length of the statement "if (firstArg.getType().equals(ArgType.BOOLEAN) && secondArg.isLiteral() && secondArg.getType().equals(ArgType.BOOLEAN)) {" is 121.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ConditionGen,isArgWrapNeeded,Complex Method,Cyclomatic complexity of the method is 14
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ConditionGen,isArgWrapNeeded,Missing default,The following switch statement is missing a default case: switch (insnType) {
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,InsnGen,makeInsnBody,Complex Method,Cyclomatic complexity of the method is 58
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,InsnGen,makeInsnBody,Long Method,The method has 262 lines of code.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,InsnGen,makeInsnBody,Magic Number,The method contains a magic number: 2
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,InsnGen,makeInsnBody,Missing default,The following switch statement is missing a default case: switch (insn.getType()) {
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,InsnGen,makeConstructor,Complex Conditional,The conditional expression cls != null && cls.contains(AFlag.ANONYMOUS_CLASS) && !fallback is complex.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,InsnGen,makeConstructor,Complex Method,Cyclomatic complexity of the method is 9
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,InsnGen,makeInvoke,Complex Method,Cyclomatic complexity of the method is 11
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,InsnGen,generateMethodArguments,Complex Conditional,The conditional expression !cast && i == argsCount - 1 && processVarArg(code`callMth`arg) is complex.
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,InsnGen,inlineMethod,Complex Method,Cyclomatic complexity of the method is 8
