NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.cli,JadxCLI,1,0,3,1,58,10,0,0,0.0,1,3,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-cli\src\main\java\jadx\cli\JadxCLI.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.cli,JadxCLIArgs,17,0,21,18,158,34,0,0,0.5238095238095238,2,2,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-cli\src\main\java\jadx\cli\JadxCLIArgs.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,CodePosition,3,0,9,9,43,11,0,0,0.0,5,2,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\api\CodePosition.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,DefaultJadxArgs,0,0,13,13,41,13,0,1,-1.0,1,0,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\api\DefaultJadxArgs.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,IJadxArgs,0,0,13,0,15,13,1,0,-1.0,10,0,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\api\IJadxArgs.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,JadxDecompiler,10,0,30,20,237,59,0,0,0.13333333333333333,13,14,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\api\JadxDecompiler.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,JavaClass,6,0,22,17,165,43,0,1,0.09090909090909091,8,7,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\api\JavaClass.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,JavaField,2,0,7,6,26,7,0,1,0.0,3,2,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\api\JavaField.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,JavaMethod,2,0,10,9,35,10,0,1,0.0,3,2,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\api\JavaMethod.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,JavaNode,0,0,3,0,5,3,4,0,-1.0,1,0,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\api\JavaNode.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,JavaPackage,2,0,9,8,39,11,0,1,0.2222222222222222,4,1,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\api\JavaPackage.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,ResourceFile,6,0,11,8,46,11,0,0,0.2727272727272727,3,3,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\api\ResourceFile.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,ZipRef,2,0,4,4,17,4,0,0,0.0,2,0,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\api\ResourceFile.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,ResourcesLoader,4,0,10,2,139,25,0,0,0.2,4,7,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\api\ResourcesLoader.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,ResourceDecoder,0,0,1,0,3,1,0,0,-1.0,1,0,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\api\ResourcesLoader.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,JadxInternalAccess,0,0,1,1,5,1,0,0,-1.0,1,1,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\test\java\jadx\api\JadxInternalAccess.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.api,Factory,0,0,2,2,8,2,0,0,-1.0,1,4,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-gui\src\test\java\jadx\api\Factory.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.clsp,ClspGraph,3,0,9,5,98,23,0,0,0.0,3,3,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\core\clsp\ClspGraph.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.clsp,ClsSet,8,0,12,8,214,40,0,0,0.16666666666666666,3,6,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\core\clsp\ClsSet.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.clsp,ConvertToClsSet,1,0,3,2,51,11,0,0,0.0,1,3,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\core\clsp\ConvertToClsSet.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.clsp,NClass,3,0,9,9,43,11,0,0,0.2222222222222222,5,1,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\core\clsp\NClass.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,AnnotationGen,2,0,10,8,153,41,0,0,0.0,2,16,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\core\codegen\AnnotationGen.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ClassGen,9,1,33,16,505,123,0,0,0.06060606060606061,5,22,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\core\codegen\ClassGen.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,CodeGen,1,0,2,2,13,2,0,0,0.0,2,4,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\core\codegen\CodeGen.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,CodeWriter,14,2,39,31,257,59,0,0,0.05128205128205128,24,5,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\core\codegen\CodeWriter.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,DefinitionWrapper,1,0,2,1,9,2,0,0,0.0,1,1,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\core\codegen\CodeWriter.java
v0.6.0,3782aa7d0abbccb27cc338def860cd5573c33b41,Tue Apr 07 22:03:29 CEST 2015,jadx,jadx.core.codegen,ConditionGen,2,0,15,4,152,45,0,1,0.13333333333333333,3,11,C:\Users\mandes\AppData\Local\Temp\RD-2687142755577450744\jadx\jadx-core\src\main\java\jadx\core\codegen\ConditionGen.java
