NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
v2.1.0,9e8b97a0d9dea28bcb025387ff659512be8fd9f8,Thu Oct 10 12:05:46 CEST 2019,jeecg-boot,org.jeecg.common.constant,CacheConstant,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DICT_CACHE; PERMISSION_CACHE; LOGIN_USER_RULES_CACHE; DEPART_INFO_CACHE; DEPART_IDMODEL_CACHE
v2.1.0,9e8b97a0d9dea28bcb025387ff659512be8fd9f8,Thu Oct 10 12:05:46 CEST 2019,jeecg-boot,org.jeecg.common.constant,CacheConstant,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: DICT_CACHE; PERMISSION_CACHE; LOGIN_USER_RULES_CACHE; DEPART_INFO_CACHE; DEPART_IDMODEL_CACHE
v2.1.0,9e8b97a0d9dea28bcb025387ff659512be8fd9f8,Thu Oct 10 12:05:46 CEST 2019,jeecg-boot,org.jeecg.common.constant,CommonConstant,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: STATUS_NORMAL; STATUS_DISABLE; DEL_FLAG_1; DEL_FLAG_0; LOG_TYPE_1; LOG_TYPE_2; OPERATE_TYPE_1; OPERATE_TYPE_2; OPERATE_TYPE_3; OPERATE_TYPE_4; OPERATE_TYPE_5; OPERATE_TYPE_6; SC_INTERNAL_SERVER_ERROR_500; SC_OK_200; SC_JEECG_NO_AUTHZ; LOGIN_USER_CACHERULES_ROLE; LOGIN_USER_CACHERULES_PERMISSION; TOKEN_EXPIRE_TIME; PREFIX_USER_TOKEN; MENU_TYPE_0; MENU_TYPE_1; MENU_TYPE_2; MSG_TYPE_UESR; MSG_TYPE_ALL; NO_SEND; HAS_SEND; HAS_CANCLE; HAS_READ_FLAG; NO_READ_FLAG; PRIORITY_L; PRIORITY_M; PRIORITY_H; SMS_TPL_TYPE_0; SMS_TPL_TYPE_1; SMS_TPL_TYPE_2; STATUS_0; STATUS_1; ACT_SYNC_0; ACT_SYNC_1; MSG_CATEGORY_1; MSG_CATEGORY_2; RULE_FLAG_0; RULE_FLAG_1; USER_UNFREEZE; USER_FREEZE; DICT_TEXT_SUFFIX
v2.1.0,9e8b97a0d9dea28bcb025387ff659512be8fd9f8,Thu Oct 10 12:05:46 CEST 2019,jeecg-boot,org.jeecg.common.constant,CommonConstant,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: STATUS_NORMAL; STATUS_DISABLE; DEL_FLAG_1; DEL_FLAG_0; LOG_TYPE_1; LOG_TYPE_2; OPERATE_TYPE_1; OPERATE_TYPE_2; OPERATE_TYPE_3; OPERATE_TYPE_4; OPERATE_TYPE_5; OPERATE_TYPE_6; SC_INTERNAL_SERVER_ERROR_500; SC_OK_200; SC_JEECG_NO_AUTHZ; LOGIN_USER_CACHERULES_ROLE; LOGIN_USER_CACHERULES_PERMISSION; TOKEN_EXPIRE_TIME; PREFIX_USER_TOKEN; MENU_TYPE_0; MENU_TYPE_1; MENU_TYPE_2; MSG_TYPE_UESR; MSG_TYPE_ALL; NO_SEND; HAS_SEND; HAS_CANCLE; HAS_READ_FLAG; NO_READ_FLAG; PRIORITY_L; PRIORITY_M; PRIORITY_H; SMS_TPL_TYPE_0; SMS_TPL_TYPE_1; SMS_TPL_TYPE_2; STATUS_0; STATUS_1; ACT_SYNC_0; ACT_SYNC_1; MSG_CATEGORY_1; MSG_CATEGORY_2; RULE_FLAG_0; RULE_FLAG_1; USER_UNFREEZE; USER_FREEZE; DICT_TEXT_SUFFIX
v2.1.0,9e8b97a0d9dea28bcb025387ff659512be8fd9f8,Thu Oct 10 12:05:46 CEST 2019,jeecg-boot,org.jeecg.common.constant,CommonSendStatus,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: UNPUBLISHED_STATUS_0; PUBLISHED_STATUS_1; REVOKE_STATUS_2
v2.1.0,9e8b97a0d9dea28bcb025387ff659512be8fd9f8,Thu Oct 10 12:05:46 CEST 2019,jeecg-boot,org.jeecg.common.constant,DataBaseConstant,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SYS_ORG_CODE; SYS_ORG_CODE_TABLE; SYS_MULTI_ORG_CODE; SYS_MULTI_ORG_CODE_TABLE; SYS_USER_CODE; SYS_USER_CODE_TABLE; SYS_USER_NAME; SYS_USER_NAME_TABLE; SYS_DATE; SYS_DATE_TABLE; SYS_TIME; SYS_TIME_TABLE; CREATE_BY_TABLE; CREATE_BY; CREATE_TIME_TABLE; CREATE_TIME; UPDATE_BY_TABLE; UPDATE_BY; UPDATE_TIME; UPDATE_TIME_TABLE; BPM_STATUS; BPM_STATUS_TABLE
v2.1.0,9e8b97a0d9dea28bcb025387ff659512be8fd9f8,Thu Oct 10 12:05:46 CEST 2019,jeecg-boot,org.jeecg.common.constant,DataBaseConstant,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: SYS_ORG_CODE; SYS_ORG_CODE_TABLE; SYS_MULTI_ORG_CODE; SYS_MULTI_ORG_CODE_TABLE; SYS_USER_CODE; SYS_USER_CODE_TABLE; SYS_USER_NAME; SYS_USER_NAME_TABLE; SYS_DATE; SYS_DATE_TABLE; SYS_TIME; SYS_TIME_TABLE; CREATE_BY_TABLE; CREATE_BY; CREATE_TIME_TABLE; CREATE_TIME; UPDATE_BY_TABLE; UPDATE_BY; UPDATE_TIME; UPDATE_TIME_TABLE; BPM_STATUS; BPM_STATUS_TABLE
v2.1.0,9e8b97a0d9dea28bcb025387ff659512be8fd9f8,Thu Oct 10 12:05:46 CEST 2019,jeecg-boot,org.jeecg.common.exception,JeecgBootExceptionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v2.1.0,9e8b97a0d9dea28bcb025387ff659512be8fd9f8,Thu Oct 10 12:05:46 CEST 2019,jeecg-boot,org.jeecg.common.system.base.controller,JeecgController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v2.1.0,9e8b97a0d9dea28bcb025387ff659512be8fd9f8,Thu Oct 10 12:05:46 CEST 2019,jeecg-boot,org.jeecg.common.system.base.entity,JeecgEntity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
