NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
v1.1,7806d1d20f0541ff1765bf8d81687f9d8b3ebab5,Sat Mar 21 11:17:23 CET 2015,logger,com.orhanobut.loggersample,ApplicationTest,0,0,1,1,8,1,0,0,-1.0,0,0,C:\Users\Grazia\AppData\Local\Temp\RD-15858827894546926653\logger\app\src\androidTest\java\com\orhanobut\loggersample\ApplicationTest.java
v1.1,7806d1d20f0541ff1765bf8d81687f9d8b3ebab5,Sat Mar 21 11:17:23 CET 2015,logger,com.orhanobut.loggersample,Dummy,3,0,0,0,8,0,0,0,-1.0,1,0,C:\Users\Grazia\AppData\Local\Temp\RD-15858827894546926653\logger\app\src\main\java\com\orhanobut\loggersample\Dummy.java
v1.1,7806d1d20f0541ff1765bf8d81687f9d8b3ebab5,Sat Mar 21 11:17:23 CET 2015,logger,com.orhanobut.loggersample,Foo,0,0,1,1,8,1,0,0,-1.0,1,1,C:\Users\Grazia\AppData\Local\Temp\RD-15858827894546926653\logger\app\src\main\java\com\orhanobut\loggersample\Foo.java
v1.1,7806d1d20f0541ff1765bf8d81687f9d8b3ebab5,Sat Mar 21 11:17:23 CET 2015,logger,com.orhanobut.loggersample,MainActivity,1,0,4,0,34,4,0,0,0.0,0,3,C:\Users\Grazia\AppData\Local\Temp\RD-15858827894546926653\logger\app\src\main\java\com\orhanobut\loggersample\MainActivity.java
v1.1,7806d1d20f0541ff1765bf8d81687f9d8b3ebab5,Sat Mar 21 11:17:23 CET 2015,logger,com.orhanobut.logger,LoggerTest,0,0,10,10,202,10,0,0,-1.0,0,1,C:\Users\Grazia\AppData\Local\Temp\RD-15858827894546926653\logger\logger\src\androidTest\java\com\orhanobut\logger\LoggerTest.java
v1.1,7806d1d20f0541ff1765bf8d81687f9d8b3ebab5,Sat Mar 21 11:17:23 CET 2015,logger,com.orhanobut.logger,Logger,7,0,33,23,242,56,0,0,0.06060606060606061,5,2,C:\Users\Grazia\AppData\Local\Temp\RD-15858827894546926653\logger\logger\src\main\java\com\orhanobut\logger\Logger.java
v1.1,7806d1d20f0541ff1765bf8d81687f9d8b3ebab5,Sat Mar 21 11:17:23 CET 2015,logger,com.orhanobut.logger,Settings,2,0,2,2,13,2,0,0,1.0,1,1,C:\Users\Grazia\AppData\Local\Temp\RD-15858827894546926653\logger\logger\src\main\java\com\orhanobut\logger\Logger.java
v11,7a73cbf4bb30e128990efff796696c1f5c94fa53,Sun Aug 02 11:59:14 CEST 2015,logger,com.orhanobut.loggersample,ApplicationTest,0,0,1,1,8,1,0,0,-1.0,0,0,C:\Users\Grazia\AppData\Local\Temp\RD-15858827894546926653\logger\app\src\androidTest\java\com\orhanobut\loggersample\ApplicationTest.java
v11,7a73cbf4bb30e128990efff796696c1f5c94fa53,Sun Aug 02 11:59:14 CEST 2015,logger,com.orhanobut.loggersample,Dummy,3,0,0,0,8,0,0,0,-1.0,1,0,C:\Users\Grazia\AppData\Local\Temp\RD-15858827894546926653\logger\app\src\main\java\com\orhanobut\loggersample\Dummy.java
v11,7a73cbf4bb30e128990efff796696c1f5c94fa53,Sun Aug 02 11:59:14 CEST 2015,logger,com.orhanobut.loggersample,Foo,0,0,1,1,8,1,0,0,-1.0,1,1,C:\Users\Grazia\AppData\Local\Temp\RD-15858827894546926653\logger\app\src\main\java\com\orhanobut\loggersample\Foo.java
