NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,BaseStrokeContent,16,0,10,6,255,51,2,2,0.2,0,15,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\BaseStrokeContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,PathGroup,2,0,1,0,10,1,0,0,0.0,1,1,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\BaseStrokeContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,Content,0,0,2,0,4,2,4,0,-1.0,9,0,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\Content.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,ContentGroup,9,0,14,9,165,45,0,2,0.0,3,12,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\ContentGroup.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,DrawingContent,0,0,2,0,4,2,5,1,-1.0,0,0,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\DrawingContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,EllipseContent,9,0,8,7,88,15,0,2,0.25,0,12,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\EllipseContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,FillContent,10,0,8,8,91,19,0,2,0.25,0,10,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\FillContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,GradientFillContent,19,0,11,8,164,26,0,2,0.18181818181818182,0,11,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\GradientFillContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,GradientStrokeContent,11,0,6,3,103,13,0,3,0.0,0,5,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\GradientStrokeContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,GreedyContent,0,0,1,0,9,1,2,0,-1.0,0,0,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\GreedyContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,KeyPathElementContent,0,0,0,0,2,0,7,1,-1.0,1,0,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\KeyPathElementContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,MergePathsContent,6,0,7,5,94,24,0,2,0.0,0,3,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\MergePathsContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,ModifierContent,0,0,0,0,2,0,0,0,-1.0,0,0,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\ModifierContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,PathContent,0,0,1,0,3,1,7,1,-1.0,1,0,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\PathContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,PolystarContent,16,0,10,7,260,39,0,2,0.2,0,12,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\PolystarContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,RectangleContent,10,0,8,7,94,17,0,2,0.375,0,11,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\RectangleContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,RepeaterContent,10,0,10,10,90,18,0,2,0.2,0,10,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\RepeaterContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,ShapeContent,7,0,6,5,51,10,0,2,0.0,0,8,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\ShapeContent.java
v3.0.0-beta1,3c0df996cbf5afbac380f4974bf668c33cc8e818,Mon Jan 07 17:57:50 CET 2019,lottie-android,com.airbnb.lottie.animation.content,StrokeContent,5,0,4,4,45,9,0,3,0.0,0,6,C:\Users\Armando\AppData\Local\Temp\RD-9321906677958898964\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\StrokeContent.java
