NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,AnotherBarActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,BarChartActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,BarChartActivityMultiDataset,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,CandleStickChartActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,CubicLineChartActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,DrawChartActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,DynamicalAddingActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,InvertedLineChartActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,LineChartActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,LineChartActivityColored,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
