NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,AnotherBarActivity,5,0,6,5,156,29,0,0,0.6666666666666666,0,6,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\AnotherBarActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,BarChartActivity,5,0,9,7,178,33,0,0,0.5555555555555556,0,8,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\BarChartActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,BarChartActivityMultiDataset,5,0,8,7,168,30,0,0,0.75,0,8,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\BarChartActivityMultiDataset.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,CandleStickChartActivity,5,0,6,5,123,21,0,0,0.6666666666666666,0,5,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\CandleStickChartActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,CubicLineChartActivity,5,0,7,5,187,35,0,0,0.5714285714285714,0,6,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\CubicLineChartActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,DrawChartActivity,1,0,9,7,114,21,0,0,0.6666666666666666,0,8,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\DrawChartActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,DynamicalAddingActivity,2,0,11,4,121,25,0,0,0.36363636363636365,0,5,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\DynamicalAddingActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,InvertedLineChartActivity,5,0,9,7,173,34,0,0,0.6666666666666666,0,8,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\InvertedLineChartActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,LineChartActivity,5,0,13,11,216,41,0,0,0.7692307692307693,0,9,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\LineChartActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,LineChartActivityColored,3,0,3,0,69,6,0,0,0.0,0,6,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\LineChartActivityColored.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,ListViewBarChartActivity,2,0,5,2,90,8,0,0,0.4,0,8,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\ListViewBarChartActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,ChartDataAdapter,2,0,2,2,38,3,0,0,0.0,2,5,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\ListViewBarChartActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,ViewHolder,1,0,0,0,3,0,0,0,-1.0,2,1,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\ListViewBarChartActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,ListViewMultiChartActivity,0,0,10,4,127,18,0,0,-1.0,0,8,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\ListViewMultiChartActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,ChartDataAdapter,0,0,4,4,17,4,0,0,-1.0,0,0,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\ListViewMultiChartActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,MultiLineChartActivity,6,0,8,7,165,33,0,0,0.75,0,8,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\MultiLineChartActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,MyMarkerView,1,0,2,2,16,3,0,0,0.0,6,3,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\MyMarkerView.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,MyValueFormatter,1,0,1,1,6,1,0,0,0.0,1,0,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\MyValueFormatter.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,PieChartActivity,5,0,9,7,142,31,0,0,0.6666666666666666,0,6,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\PieChartActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,RadarChartActivitry,2,0,4,3,132,23,0,0,0.5,0,8,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\RadarChartActivitry.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,ScatterChartActivity,5,0,8,7,166,28,0,0,0.75,0,9,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\ScatterChartActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample,StackedBarActivity,5,0,8,7,168,31,0,0,0.75,0,10,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\StackedBarActivity.java
v1.7.3,60f4f52c5eb95b7e0e4d4092c096c5d72dfeda96,Thu Oct 30 12:31:43 CET 2014,mpandroidchart,com.xxmassdeveloper.mpchartexample.fragments,BarChartFrag,1,0,2,2,31,2,0,1,1.0,3,5,C:\Users\mandes\AppData\Local\Temp\RD-1156037136130008148\mpandroidchart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\fragments\BarChartFrag.java
