NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe.report,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.schabi.newpipe.report; org.schabi.newpipe
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe.report,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.schabi.newpipe.report; org.schabi.newpipe; org.schabi.newpipe.settings
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe.report,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.schabi.newpipe.report; org.schabi.newpipe; org.schabi.newpipe.settings; org.schabi.newpipe.util
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe.report,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.schabi.newpipe; org.schabi.newpipe.fragments.detail
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.81. All the dependencies among components: from: org.schabi.newpipe.report to: org.schabi.newpipe; from: org.schabi.newpipe.report to: org.schabi.newpipe.util; from: org.schabi.newpipe.report to: org.schabi.newpipe.fragments.detail; from: org.schabi.newpipe.about to: org.schabi.newpipe.util; from: org.schabi.newpipe to: org.schabi.newpipe.report; from: org.schabi.newpipe to: org.schabi.newpipe.settings; from: org.schabi.newpipe to: org.schabi.newpipe.util; from: org.schabi.newpipe to: org.schabi.newpipe.fragments.detail; from: org.schabi.newpipe to: org.schabi.newpipe.views; from: org.schabi.newpipe to: org.schabi.newpipe.database; from: org.schabi.newpipe to: org.schabi.newpipe.download; from: org.schabi.newpipe.database.playlist.dao to: org.schabi.newpipe.database.playlist.model; from: org.schabi.newpipe.database.playlist.model to: org.schabi.newpipe.util; from: org.schabi.newpipe.database.stream.dao to: org.schabi.newpipe.database.stream.model; from: org.schabi.newpipe.database.subscription to: org.schabi.newpipe.util; from: org.schabi.newpipe.download to: us.shandian.giga.ui.fragment; from: org.schabi.newpipe.download to: us.shandian.giga.service; from: org.schabi.newpipe.download to: org.schabi.newpipe.util; from: org.schabi.newpipe.download to: org.schabi.newpipe.views; from: org.schabi.newpipe.download to: us.shandian.giga.io; from: org.schabi.newpipe.download to: us.shandian.giga.get; from: org.schabi.newpipe.download to: org.schabi.newpipe; from: org.schabi.newpipe.download to: org.schabi.newpipe.report; from: org.schabi.newpipe.download to: us.shandian.giga.postprocessing; from: org.schabi.newpipe.download to: org.schabi.newpipe.settings; from: org.schabi.newpipe.fragments to: org.schabi.newpipe; from: org.schabi.newpipe.fragments to: org.schabi.newpipe.report; from: org.schabi.newpipe.fragments to: org.schabi.newpipe.util; from: org.schabi.newpipe.fragments to: org.schabi.newpipe.views; from: org.schabi.newpipe.fragments to: org.schabi.newpipe.settings.tabs; from: org.schabi.newpipe.fragments.detail to: org.schabi.newpipe.views; from: org.schabi.newpipe.fragments.detail to: org.schabi.newpipe.util; from: org.schabi.newpipe.fragments.detail to: org.schabi.newpipe.player.playqueue; from: org.schabi.newpipe.fragments.detail to: org.schabi.newpipe.local.history; from: org.schabi.newpipe.fragments.detail to: org.schabi.newpipe.download; from: org.schabi.newpipe.fragments.detail to: org.schabi.newpipe.report; from: org.schabi.newpipe.fragments.detail to: org.schabi.newpipe; from: org.schabi.newpipe.fragments.detail to: org.schabi.newpipe.local.dialog; from: org.schabi.newpipe.fragments.detail to: org.schabi.newpipe.fragments.list.comments; from: org.schabi.newpipe.fragments.detail to: org.schabi.newpipe.player; from: org.schabi.newpipe.fragments.detail to: org.schabi.newpipe.fragments.list.videos; from: org.schabi.newpipe.fragments.list to: org.schabi.newpipe.util; from: org.schabi.newpipe.fragments.list to: org.schabi.newpipe.info_list; from: org.schabi.newpipe.fragments.list to: org.schabi.newpipe.report; from: org.schabi.newpipe.fragments.list.channel to: org.schabi.newpipe.database.subscription; from: org.schabi.newpipe.fragments.list.channel to: org.schabi.newpipe.util; from: org.schabi.newpipe.fragments.list.channel to: org.schabi.newpipe.report; from: org.schabi.newpipe.fragments.list.comments to: org.schabi.newpipe.util; from: org.schabi.newpipe.fragments.list.kiosk to: org.schabi.newpipe.util; from: org.schabi.newpipe.fragments.list.playlist to: org.schabi.newpipe.local.playlist; from: org.schabi.newpipe.fragments.list.playlist to: org.schabi.newpipe.database.playlist.model; from: org.schabi.newpipe.fragments.list.playlist to: org.schabi.newpipe.util; from: org.schabi.newpipe.fragments.list.playlist to: org.schabi.newpipe; from: org.schabi.newpipe.fragments.list.playlist to: org.schabi.newpipe.report; from: org.schabi.newpipe.fragments.list.search to: org.schabi.newpipe.local.history; from: org.schabi.newpipe.fragments.list.search to: org.schabi.newpipe.util; from: org.schabi.newpipe.fragments.list.search to: org.schabi.newpipe.report; from: org.schabi.newpipe.fragments.list.search to: org.schabi.newpipe; from: org.schabi.newpipe.fragments.list.videos to: org.schabi.newpipe.util; from: org.schabi.newpipe.info_list.holder to: org.schabi.newpipe.info_list; from: org.schabi.newpipe.info_list.holder to: org.schabi.newpipe.local.history; from: org.schabi.newpipe.info_list.holder to: org.schabi.newpipe.util; from: org.schabi.newpipe.info_list.holder to: org.schabi.newpipe.report; from: org.schabi.newpipe.info_list.holder to: org.schabi.newpipe.views; from: org.schabi.newpipe.info_list.holder to: org.schabi.newpipe.database.stream.model; from: org.schabi.newpipe.info_list to: org.schabi.newpipe.util; from: org.schabi.newpipe.info_list to: org.schabi.newpipe.local.history; from: org.schabi.newpipe.info_list to: org.schabi.newpipe.info_list.holder; from: org.schabi.newpipe.local to: org.schabi.newpipe.util; from: org.schabi.newpipe.local to: org.schabi.newpipe.local.history; from: org.schabi.newpipe.local to: org.schabi.newpipe.database; from: org.schabi.newpipe.local.bookmark to: org.schabi.newpipe.local.playlist; from: org.schabi.newpipe.local.bookmark to: org.schabi.newpipe.database; from: org.schabi.newpipe.local.bookmark to: org.schabi.newpipe.database.playlist; from: org.schabi.newpipe.local.bookmark to: org.schabi.newpipe.database.playlist.model; from: org.schabi.newpipe.local.bookmark to: org.schabi.newpipe; from: org.schabi.newpipe.local.bookmark to: org.schabi.newpipe.util; from: org.schabi.newpipe.local.dialog to: org.schabi.newpipe.local; from: org.schabi.newpipe.local.dialog to: org.schabi.newpipe.local.playlist; from: org.schabi.newpipe.local.dialog to: org.schabi.newpipe.database; from: org.schabi.newpipe.local.dialog to: org.schabi.newpipe.database.playlist; from: org.schabi.newpipe.local.dialog to: org.schabi.newpipe; from: org.schabi.newpipe.local.dialog to: org.schabi.newpipe.util; from: org.schabi.newpipe.local.history to: org.schabi.newpipe.util; from: org.schabi.newpipe.local.history to: org.schabi.newpipe.database; from: org.schabi.newpipe.local.history to: org.schabi.newpipe.database.history.dao; from: org.schabi.newpipe.local.history to: org.schabi.newpipe.database.stream.dao; from: org.schabi.newpipe.local.history to: org.schabi.newpipe.database.history.model; from: org.schabi.newpipe.local.history to: org.schabi.newpipe.player.playqueue; from: org.schabi.newpipe.local.history to: org.schabi.newpipe; from: org.schabi.newpipe.local.history to: org.schabi.newpipe.report; from: org.schabi.newpipe.local.history to: org.schabi.newpipe.settings; from: org.schabi.newpipe.local.holder to: org.schabi.newpipe.local; from: org.schabi.newpipe.local.holder to: org.schabi.newpipe.database; from: org.schabi.newpipe.local.holder to: org.schabi.newpipe.local.history; from: org.schabi.newpipe.local.holder to: org.schabi.newpipe.database.playlist; from: org.schabi.newpipe.local.holder to: org.schabi.newpipe.util; from: org.schabi.newpipe.local.holder to: org.schabi.newpipe.views; from: org.schabi.newpipe.local.holder to: org.schabi.newpipe.database.stream.model; from: org.schabi.newpipe.local.holder to: org.schabi.newpipe.database.playlist.model; from: org.schabi.newpipe.local.playlist to: org.schabi.newpipe.database; from: org.schabi.newpipe.local.playlist to: org.schabi.newpipe; from: org.schabi.newpipe.local.playlist to: org.schabi.newpipe.util; from: org.schabi.newpipe.local.playlist to: org.schabi.newpipe.database.playlist.dao; from: org.schabi.newpipe.local.playlist to: org.schabi.newpipe.database.playlist.model; from: org.schabi.newpipe.local.subscription to: org.schabi.newpipe.util; from: org.schabi.newpipe.local.subscription to: org.schabi.newpipe.report; from: org.schabi.newpipe.local.subscription.services to: org.schabi.newpipe.report; from: org.schabi.newpipe.local.subscription.services to: org.schabi.newpipe.util; from: org.schabi.newpipe.player to: org.schabi.newpipe.player.event; from: org.schabi.newpipe.player to: org.schabi.newpipe.player.resolver; from: org.schabi.newpipe.player to: org.schabi.newpipe.player.playqueue; from: org.schabi.newpipe.player to: org.schabi.newpipe.util; from: org.schabi.newpipe.player to: org.schabi.newpipe.player.playback; from: org.schabi.newpipe.player to: org.schabi.newpipe.player.helper; from: org.schabi.newpipe.player to: org.schabi.newpipe.local.history; from: org.schabi.newpipe.player to: org.schabi.newpipe; from: org.schabi.newpipe.player to: org.schabi.newpipe.views; from: org.schabi.newpipe.player to: org.schabi.newpipe.local.dialog; from: org.schabi.newpipe.player.helper to: org.schabi.newpipe.player.mediasession; from: org.schabi.newpipe.player.helper to: org.schabi.newpipe.util; from: org.schabi.newpipe.player.helper to: org.schabi.newpipe.player.playqueue; from: org.schabi.newpipe.player.mediasource to: org.schabi.newpipe.player.playqueue; from: org.schabi.newpipe.player.playback to: org.schabi.newpipe.player; from: org.schabi.newpipe.player.playback to: org.schabi.newpipe.player.playqueue; from: org.schabi.newpipe.player.playback to: org.schabi.newpipe.player.mediasource; from: org.schabi.newpipe.player.playback to: org.schabi.newpipe.player.playqueue.events; from: org.schabi.newpipe.player.playback to: org.schabi.newpipe.util; from: org.schabi.newpipe.player.playqueue to: org.schabi.newpipe.util; from: org.schabi.newpipe.player.playqueue to: org.schabi.newpipe.player.playqueue.events; from: org.schabi.newpipe.player.resolver to: org.schabi.newpipe.player.helper; from: org.schabi.newpipe.player.resolver to: org.schabi.newpipe.util; from: org.schabi.newpipe.settings to: org.schabi.newpipe.util; from: org.schabi.newpipe.settings to: org.schabi.newpipe; from: org.schabi.newpipe.settings to: org.schabi.newpipe.report; from: org.schabi.newpipe.settings to: us.shandian.giga.io; from: org.schabi.newpipe.settings to: org.schabi.newpipe.local.history; from: org.schabi.newpipe.settings to: org.schabi.newpipe.database.subscription; from: org.schabi.newpipe.settings to: org.schabi.newpipe.database; from: org.schabi.newpipe.settings to: org.schabi.newpipe.local.playlist; from: org.schabi.newpipe.settings to: org.schabi.newpipe.database.playlist; from: org.schabi.newpipe.settings to: org.schabi.newpipe.database.playlist.model; from: org.schabi.newpipe.settings to: org.schabi.newpipe.views; from: org.schabi.newpipe.settings.tabs to: org.schabi.newpipe.util; from: org.schabi.newpipe.settings.tabs to: org.schabi.newpipe.settings; from: org.schabi.newpipe.settings.tabs to: org.schabi.newpipe.report; from: org.schabi.newpipe.settings.tabs to: org.schabi.newpipe.fragments.list.kiosk; from: org.schabi.newpipe.settings.tabs to: org.schabi.newpipe.fragments.list.channel; from: org.schabi.newpipe.settings.tabs to: org.schabi.newpipe.local.playlist; from: org.schabi.newpipe.settings.tabs to: org.schabi.newpipe.fragments.list.playlist; from: org.schabi.newpipe.streams to: org.schabi.newpipe.streams.io; from: org.schabi.newpipe.util to: org.schabi.newpipe; from: org.schabi.newpipe.util to: org.schabi.newpipe.report; from: org.schabi.newpipe.util to: org.schabi.newpipe.player.playqueue; from: org.schabi.newpipe.util to: org.schabi.newpipe.fragments.detail; from: org.schabi.newpipe.util to: org.schabi.newpipe.player; from: org.schabi.newpipe.util to: org.schabi.newpipe.fragments.list.search; from: org.schabi.newpipe.util to: org.schabi.newpipe.fragments.list.channel; from: org.schabi.newpipe.util to: org.schabi.newpipe.fragments.list.comments; from: org.schabi.newpipe.util to: org.schabi.newpipe.fragments.list.playlist; from: org.schabi.newpipe.util to: org.schabi.newpipe.fragments.list.kiosk; from: org.schabi.newpipe.util to: org.schabi.newpipe.local.playlist; from: org.schabi.newpipe.util to: org.schabi.newpipe.local.subscription; from: org.schabi.newpipe.util to: us.shandian.giga.util; from: org.schabi.newpipe.views to: org.schabi.newpipe.util; from: us.shandian.giga.get to: org.schabi.newpipe.streams.io; from: us.shandian.giga.get to: us.shandian.giga.util; from: us.shandian.giga.get to: us.shandian.giga.postprocessing; from: us.shandian.giga.get to: us.shandian.giga.io; from: us.shandian.giga.get to: org.schabi.newpipe; from: us.shandian.giga.get to: us.shandian.giga.service; from: us.shandian.giga.get.sqlite to: us.shandian.giga.get; from: us.shandian.giga.io to: org.schabi.newpipe.streams.io; from: us.shandian.giga.postprocessing to: org.schabi.newpipe.streams.io; from: us.shandian.giga.postprocessing to: org.schabi.newpipe.streams; from: us.shandian.giga.postprocessing to: us.shandian.giga.get; from: us.shandian.giga.postprocessing to: us.shandian.giga.io; from: us.shandian.giga.service to: us.shandian.giga.get.sqlite; from: us.shandian.giga.service to: us.shandian.giga.io; from: us.shandian.giga.service to: us.shandian.giga.get; from: us.shandian.giga.service to: us.shandian.giga.util; from: us.shandian.giga.service to: org.schabi.newpipe.player.helper; from: us.shandian.giga.service to: us.shandian.giga.postprocessing; from: us.shandian.giga.ui.adapter to: us.shandian.giga.service; from: us.shandian.giga.ui.adapter to: us.shandian.giga.ui.common; from: us.shandian.giga.ui.adapter to: us.shandian.giga.util; from: us.shandian.giga.ui.adapter to: us.shandian.giga.get; from: us.shandian.giga.ui.adapter to: us.shandian.giga.io; from: us.shandian.giga.ui.adapter to: org.schabi.newpipe.report; from: us.shandian.giga.ui.adapter to: org.schabi.newpipe.util; from: us.shandian.giga.ui.common to: us.shandian.giga.ui.adapter; from: us.shandian.giga.ui.common to: us.shandian.giga.service; from: us.shandian.giga.ui.common to: us.shandian.giga.get; from: us.shandian.giga.ui.fragment to: us.shandian.giga.ui.adapter; from: us.shandian.giga.ui.fragment to: us.shandian.giga.service; from: us.shandian.giga.ui.fragment to: us.shandian.giga.get; from: us.shandian.giga.ui.fragment to: org.schabi.newpipe.util; from: us.shandian.giga.ui.fragment to: org.schabi.newpipe.settings; from: us.shandian.giga.ui.fragment to: us.shandian.giga.io; from: us.shandian.giga.util to: us.shandian.giga.io; from: us.shandian.giga.util to: org.schabi.newpipe.streams.io.
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.schabi.newpipe; org.schabi.newpipe.report
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.schabi.newpipe; org.schabi.newpipe.report; org.schabi.newpipe.util
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.schabi.newpipe.settings; org.schabi.newpipe.fragments.detail; org.schabi.newpipe.download
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActivityCommunicator]; [App; CheckForNewAppVersionTask; DownloaderImpl; ImageDownloader; MainActivity; ReCaptchaActivity; BaseFragment]; [ExitActivity; PanicResponderActivity]; [NewPipeDatabase]; [RouterActivity; AdapterChoiceItem; Choice; FetcherService]. LCC (Lack of Component Cohesion) = 0.33
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe.database.playlist.dao,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.schabi.newpipe.database.playlist.dao; org.schabi.newpipe.database.playlist.model; org.schabi.newpipe.util; org.schabi.newpipe.local.playlist
