NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe.report,AcraReportSenderFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe.report,ErrorActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; ERROR_INFO; ERROR_LIST; ERROR_EMAIL_ADDRESS; ERROR_EMAIL_SUBJECT; ERROR_GITHUB_ISSUE_URL; errorList; errorInfo; returnActivity; currentTimeStamp; userCommentBox; CREATOR; userAction; request; serviceName; message
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe.report,ErrorActivity,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 34 methods
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe.report,ErrorInfo,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CREATOR; userAction; request; serviceName; message
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,androidx.fragment.app,FragmentStatePagerAdapterMenuWorkaround,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,androidx.fragment.app,FragmentStatePagerAdapterMenuWorkaround,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; DEBUG; BEHAVIOR_SET_USER_VISIBLE_HINT; BEHAVIOR_RESUME_ONLY_CURRENT_FRAGMENT; mFragmentManager; mBehavior; mCurTransaction; mSavedState; mFragments; mCurrentPrimaryItem; selectedFragment
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,com.google.android.material.appbar,FlingBehavior,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe.about,AboutActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe.about,License,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CREATOR; abbreviation; name; filename
v0.19.7,d6d8c7830c2ee0be1a480e3a45c386ade34d4058,Sun Jul 26 14:40:57 CEST 2020,newpipe,org.schabi.newpipe.about,SoftwareComponent,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CREATOR; license; name; years; copyrightOwner; link; version
