NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v3.0.3,837d1f51dbeceb3ea931903bdaa13505bb4bd512,Tue Jul 11 10:42:19 CEST 2017,okhttp-OkGo,com.lzy.demo.base,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseActivity; BaseDetailActivity; BaseRxDetailActivity]; [BaseFragment; MainFragment; MainAdapter; DividerItemDecoration]; [BaseRecyclerAdapter]. LCC (Lack of Component Cohesion) = 0.38
v3.0.3,837d1f51dbeceb3ea931903bdaa13505bb4bd512,Tue Jul 11 10:42:19 CEST 2017,okhttp-OkGo,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 8.0. All the dependencies among components: from: com.lzy.demo.base to: com.lzy.okgo.model; from: com.lzy.demo.base to: com.lzy.demo.utils; from: com.lzy.demo.base to: com.lzy.demo.model; from: com.lzy.demo.callback to: com.lzy.okgo.request.base; from: com.lzy.demo.callback to: com.lzy.okgo.model; from: com.lzy.demo.callback to: com.lzy.demo.utils; from: com.lzy.demo.callback to: com.lzy.demo.model; from: com.lzy.demo to: com.lzy.okgo.model; from: com.lzy.demo to: com.lzy.okgo.interceptor; from: com.lzy.demo to: com.lzy.okgo.https; from: com.lzy.demo to: com.lzy.okgo; from: com.lzy.demo to: com.lzy.okgo.cache; from: com.lzy.demo.okdownload to: com.lzy.okserver.download; from: com.lzy.demo.okdownload to: com.lzy.demo.model; from: com.lzy.demo.okdownload to: com.lzy.okgo.model; from: com.lzy.demo.okdownload to: com.lzy.okgo.request; from: com.lzy.demo.okdownload to: com.lzy.okserver; from: com.lzy.demo.okdownload to: com.lzy.demo.utils; from: com.lzy.demo.okdownload to: com.lzy.okgo; from: com.lzy.demo.okdownload to: com.lzy.demo.ui; from: com.lzy.demo.okdownload to: com.lzy.okgo.db; from: com.lzy.demo.okdownload to: com.lzy.okserver.task; from: com.lzy.demo.okgo to: com.lzy.okgo.model; from: com.lzy.demo.okgo to: com.lzy.demo.utils; from: com.lzy.demo.okgo to: com.lzy.okgo; from: com.lzy.demo.okgo to: com.lzy.okgo.cache; from: com.lzy.demo.okgo to: com.lzy.okgo.db; from: com.lzy.demo.okgo to: com.lzy.demo.model; from: com.lzy.demo.okgo to: com.lzy.okgo.cookie.store; from: com.lzy.demo.okgo to: com.lzy.demo.ui; from: com.lzy.demo.okgo to: com.lzy.okgo.request.base; from: com.lzy.demo.okgo to: com.lzy.okgo.adapter; from: com.lzy.demo.okrx2 to: com.lzy.okgo.model; from: com.lzy.demo.okrx2 to: com.lzy.demo.utils; from: com.lzy.demo.okrx2 to: com.lzy.okgo; from: com.lzy.demo.okrx2 to: com.lzy.demo.model; from: com.lzy.demo.okrx2 to: com.lzy.demo.ui; from: com.lzy.demo.okrx2 to: com.lzy.okgo.request.base; from: com.lzy.demo.okupload to: com.lzy.okgo.model; from: com.lzy.demo.okupload to: com.lzy.demo.ui; from: com.lzy.demo.okupload to: com.lzy.okserver.upload; from: com.lzy.demo.okupload to: com.lzy.okgo.request.base; from: com.lzy.demo.okupload to: com.lzy.okgo.request; from: com.lzy.demo.okupload to: com.lzy.demo.utils; from: com.lzy.demo.okupload to: com.lzy.okserver; from: com.lzy.demo.okupload to: com.lzy.okgo.db; from: com.lzy.demo.okupload to: com.lzy.okgo; from: com.lzy.demo.okupload to: com.lzy.okserver.task; from: com.lzy.demo.supercache to: com.lzy.demo.model; from: com.lzy.demo.supercache to: com.lzy.demo; from: com.lzy.demo.supercache to: com.lzy.demo.utils; from: com.lzy.demo.supercache to: com.lzy.okgo.model; from: com.lzy.demo.supercache to: com.lzy.okgo; from: com.lzy.demo.ui to: com.lzy.demo.utils; from: com.lzy.okgo.adapter to: com.lzy.okgo.cache.policy; from: com.lzy.okgo.adapter to: com.lzy.okgo.request.base; from: com.lzy.okgo.adapter to: com.lzy.okgo.cache; from: com.lzy.okgo.adapter to: com.lzy.okgo.callback; from: com.lzy.okgo.adapter to: com.lzy.okgo.utils; from: com.lzy.okgo.cache to: com.lzy.okgo.model; from: com.lzy.okgo.cache to: com.lzy.okgo.utils; from: com.lzy.okgo.cache.policy to: com.lzy.okgo.request.base; from: com.lzy.okgo.cache.policy to: com.lzy.okgo.callback; from: com.lzy.okgo.cache.policy to: com.lzy.okgo.cache; from: com.lzy.okgo.cache.policy to: com.lzy.okgo.model; from: com.lzy.okgo.cache.policy to: com.lzy.okgo.utils; from: com.lzy.okgo.cache.policy to: com.lzy.okgo.db; from: com.lzy.okgo.cache.policy to: com.lzy.okgo.exception; from: com.lzy.okgo.cache.policy to: com.lzy.okgo; from: com.lzy.okgo.callback to: com.lzy.okgo.request.base; from: com.lzy.okgo.callback to: com.lzy.okgo.model; from: com.lzy.okgo.callback to: com.lzy.okgo.utils; from: com.lzy.okgo.callback to: com.lzy.okgo.convert; from: com.lzy.okgo.convert to: com.lzy.okgo.callback; from: com.lzy.okgo.convert to: com.lzy.okgo.model; from: com.lzy.okgo.convert to: com.lzy.okgo.utils; from: com.lzy.okgo.cookie to: com.lzy.okgo.cookie.store; from: com.lzy.okgo.cookie to: com.lzy.okgo.utils; from: com.lzy.okgo.cookie.store to: com.lzy.okgo.cookie; from: com.lzy.okgo.cookie.store to: com.lzy.okgo.db; from: com.lzy.okgo.db to: com.lzy.okgo.utils; from: com.lzy.okgo.db to: com.lzy.okgo.cache; from: com.lzy.okgo.db to: com.lzy.okgo.cookie; from: com.lzy.okgo.db to: com.lzy.okgo.model; from: com.lzy.okgo.db to: com.lzy.okgo; from: com.lzy.okgo.exception to: com.lzy.okgo.model; from: com.lzy.okgo.exception to: com.lzy.okgo.utils; from: com.lzy.okgo.https to: com.lzy.okgo.utils; from: com.lzy.okgo.interceptor to: com.lzy.okgo.utils; from: com.lzy.okgo.model to: com.lzy.okgo.utils; from: com.lzy.okgo.model to: com.lzy.okgo; from: com.lzy.okgo.model to: com.lzy.okgo.request.base; from: com.lzy.okgo to: com.lzy.okgo.model; from: com.lzy.okgo to: com.lzy.okgo.interceptor; from: com.lzy.okgo to: com.lzy.okgo.https; from: com.lzy.okgo to: com.lzy.okgo.cache; from: com.lzy.okgo to: com.lzy.okgo.utils; from: com.lzy.okgo.request.base to: com.lzy.okgo.model; from: com.lzy.okgo.request.base to: com.lzy.okgo.utils; from: com.lzy.okgo.request.base to: com.lzy.okgo.callback; from: com.lzy.okgo.request.base to: com.lzy.okgo.adapter; from: com.lzy.okgo.request.base to: com.lzy.okgo.convert; from: com.lzy.okgo.request.base to: com.lzy.okgo.cache.policy; from: com.lzy.okgo.request.base to: com.lzy.okgo; from: com.lzy.okgo.request.base to: com.lzy.okgo.cache; from: com.lzy.okgo.request to: com.lzy.okgo.request.base; from: com.lzy.okgo.utils to: com.lzy.okgo.model; from: com.lzy.okgo.utils to: com.lzy.okgo.cache; from: com.lzy.okgo.utils to: com.lzy.okgo.request.base; from: com.lzy.okgo.utils to: com.lzy.okgo; from: com.lzy.okrx.adapter to: com.lzy.okgo.adapter; from: com.lzy.okrx.adapter to: com.lzy.okrx.subscribe; from: com.lzy.okrx.subscribe to: com.lzy.okgo.model; from: com.lzy.okrx.subscribe to: com.lzy.okgo.adapter; from: com.lzy.okrx.subscribe to: com.lzy.okgo.request.base; from: com.lzy.okrx2.adapter to: com.lzy.okgo.adapter; from: com.lzy.okrx2.observable to: com.lzy.okgo.model; from: com.lzy.okrx2.observable to: com.lzy.okgo.adapter; from: com.lzy.okrx2.observable to: com.lzy.okgo.request.base; from: com.lzy.okserver.download to: com.lzy.okgo.model; from: com.lzy.okserver.download to: com.lzy.okserver.task; from: com.lzy.okserver.download to: com.lzy.okgo.request.base; from: com.lzy.okserver.download to: com.lzy.okgo.utils; from: com.lzy.okserver.download to: com.lzy.okserver; from: com.lzy.okserver.download to: com.lzy.okgo.db; from: com.lzy.okserver.download to: com.lzy.okgo.exception; from: com.lzy.okserver to: com.lzy.okserver.download; from: com.lzy.okserver to: com.lzy.okgo.request.base; from: com.lzy.okserver to: com.lzy.okgo.model; from: com.lzy.okserver to: com.lzy.okserver.task; from: com.lzy.okserver to: com.lzy.okgo.utils; from: com.lzy.okserver to: com.lzy.okgo.db; from: com.lzy.okserver to: com.lzy.okserver.upload; from: com.lzy.okserver.task to: com.lzy.okgo.model; from: com.lzy.okserver.upload to: com.lzy.okgo.model; from: com.lzy.okserver.upload to: com.lzy.okserver.task; from: com.lzy.okserver.upload to: com.lzy.okgo.request.base; from: com.lzy.okserver.upload to: com.lzy.okgo.utils; from: com.lzy.okserver.upload to: com.lzy.okserver; from: com.lzy.okserver.upload to: com.lzy.okgo.db.
v3.0.3,837d1f51dbeceb3ea931903bdaa13505bb4bd512,Tue Jul 11 10:42:19 CEST 2017,okhttp-OkGo,com.lzy.demo.callback,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BitmapDialogCallback]; [DialogCallback; JsonCallback; JsonConvert; EncryptCallback]; [StringDialogCallback]. LCC (Lack of Component Cohesion) = 0.5
v3.0.3,837d1f51dbeceb3ea931903bdaa13505bb4bd512,Tue Jul 11 10:42:19 CEST 2017,okhttp-OkGo,com.lzy.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GApp; SafeTrustManager; SafeHostnameVerifier]; [MainActivity; MainAdapter; PayFragment; WebActivity]. LCC (Lack of Component Cohesion) = 0.29
v3.0.3,837d1f51dbeceb3ea931903bdaa13505bb4bd512,Tue Jul 11 10:42:19 CEST 2017,okhttp-OkGo,com.lzy.demo.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApkModel]; [GankModel]; [GankResponse]; [ItemModel]; [LzyResponse; SimpleResponse]; [ServerModel; Author]. LCC (Lack of Component Cohesion) = 0.75
v3.0.3,837d1f51dbeceb3ea931903bdaa13505bb4bd512,Tue Jul 11 10:42:19 CEST 2017,okhttp-OkGo,com.lzy.demo.okgo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BitmapRequestActivity]; [CacheActivity; CacheCallBack]; [CommonActivity; MainAdapter]; [CookieActivity]; [FormUploadActivity]; [HttpsActivity]; [JsonActivity]; [MethodActivity; MyAdapter]; [OkGoFragment]; [RedirectActivity]; [SimpleDownloadActivity]; [SyncActivity]; [InnerHandler]; [TestActivity]; [UpActivity]. LCC (Lack of Component Cohesion) = 0.83
v3.0.3,837d1f51dbeceb3ea931903bdaa13505bb4bd512,Tue Jul 11 10:42:19 CEST 2017,okhttp-OkGo,com.lzy.demo.okrx2,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OkRx2Fragment]; [OkRxFragment]; [RxBitmapActivity; ServerApi; RxRetrofitActivity; RxUtils]; [RxCacheActivity]; [RxCommonActivity]; [RxFileDownloadActivity]; [RxFormUploadActivity]. LCC (Lack of Component Cohesion) = 0.7
v3.0.3,837d1f51dbeceb3ea931903bdaa13505bb4bd512,Tue Jul 11 10:42:19 CEST 2017,okhttp-OkGo,com.lzy.demo.okupload,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LogUploadListener; UploadAdapter; ViewHolder; ListUploadListener; UploadAllActivity; UploadFinishActivity; UploadingActivity; UploadListActivity]; [OkUploadFragment]. LCC (Lack of Component Cohesion) = 0.22
v3.0.3,837d1f51dbeceb3ea931903bdaa13505bb4bd512,Tue Jul 11 10:42:19 CEST 2017,okhttp-OkGo,com.lzy.demo.ui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NumberProgressBar; OnProgressBarListener]; [ProgressPieView; OnProgressListener; AnimationHandler]; [SimpleViewBehavior; BehaviorAnimation]; [TranslateUpDownBehavior; MyViewPropertyAnimatorListener; OnStateChangeListener]. LCC (Lack of Component Cohesion) = 0.4
v3.0.3,837d1f51dbeceb3ea931903bdaa13505bb4bd512,Tue Jul 11 10:42:19 CEST 2017,okhttp-OkGo,com.lzy.demo.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnimHelper]; [ApkUtils]; [ColorUtils]; [Convert; GsonHolder]; [GlideImageLoader]; [MD5Utils]; [PicassoImageLoader]; [Urls]. LCC (Lack of Component Cohesion) = 0.89
