NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 69
picasso-parent-2.0.0,6d63733e760d6e3454ae736f8f46a670bb064504,Fri Aug 30 23:47:55 CEST 2013,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 69
picasso-parent-1.0.0,dea2e24767ad0c07b88c88b7c7553d2c5045e9f7,Tue May 14 17:21:30 CEST 2013,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34
picasso-parent-1.1.0,efa5ddf08d3ecd34b6a361714319cbc42729592f,Thu Jun 13 20:28:48 CEST 2013,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 37
picasso-parent-1.1.1,7ca6b211c392b662350d1aa67b03b0c5e6b9579a,Fri Jun 14 19:52:30 CEST 2013,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 37
picasso-parent-1.0.1,be18f84e1c21f6287f29b2052aa4a7a36f24bd82,Wed May 15 00:58:43 CEST 2013,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 35
picasso-parent-1.0.2,fe50131a97e8bd28c84b9d091943b45faa6fbc6d,Fri May 24 07:06:00 CEST 2013,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36
picasso-parent-2.0.1,8ad1ef2d5c6ef4287703f6b0847ec6ff2e91c5bd,Thu Sep 05 05:52:04 CEST 2013,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 69
picasso-parent-2.1.0,deb57e91c8866619d039cfdd48d35a45f516a72b,Wed Oct 02 06:15:18 CEST 2013,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 69
picasso-parent-2.1.1,27d48ec5f59f94614ec9659f0dc753b492012b97,Sat Oct 05 05:27:54 CEST 2013,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 69
picasso-parent-2.2.0,8502aedf074eb0a0c14aa9a10e915520fbfa43ac,Sat Feb 01 09:14:31 CET 2014,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 72
picasso-parent-2.3.0,7417b447437066c0ae9ca4d3e5f8bcb9747950c8,Thu May 29 17:46:39 CEST 2014,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 81
picasso-parent-2.3.1,7d09fac5368a81cadca2ab85142fe8b13680f8b9,Thu May 29 22:51:55 CEST 2014,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 81
picasso-parent-2.3.2,4daee1501b2ffa834a81d6c0bb63d152d56bab19,Fri Jun 06 05:34:16 CEST 2014,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 81
picasso-parent-2.3.3,79e707cd294af5f6639a8b0bfd3a3dcb96d8cac1,Mon Jul 21 18:32:56 CEST 2014,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 81
picasso-parent-2.3.4,c1d60eea6cf7116fa547e573d992794a7ba82414,Tue Aug 26 09:18:52 CEST 2014,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 81
picasso-parent-2.4.0,4a8cf5bb3a71b19404058e3e25903f5d650abddc,Wed Nov 05 00:26:42 CET 2014,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 88
picasso-parent-2.5.0,a98d695c7fe686501173aed48aba7b5cca6c3b6d,Fri Feb 06 23:45:37 CET 2015,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 90
picasso-parent-2.5.1,f0b17379ec28126c0c74d0b16c5209595b19964b,Thu Mar 19 17:51:41 CET 2015,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 90
picasso-parent-2.5.2,6930ff127ed59bb8a51d4fcd9a836514922b8c00,Fri Mar 20 17:59:14 CET 2015,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 90
2.71828,677386d0dab0afc2366ee22f14075cddeff8082c,Wed Mar 07 06:34:36 CET 2018,picasso,com.squareup.picasso,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 84
