NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Action,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Utils; Request; Builder; Listener; Picasso; RequestTransformer; CleanupThread; RequestWeakReference; Action; Dispatcher; DispatcherThread; Stats; NetworkBroadcastReceiver; DispatcherHandler; BitmapHunter; ResourceBitmapHunter; ContactsPhotoBitmapHunter; ContentProviderBitmapHunter; AssetBitmapHunter; FileBitmapHunter; NetworkBitmapHunter; RequestCreator; GetAction; FetchAction; TargetAction; DeferredRequestCreator; ImageViewAction; PicassoDrawable; LruCache; PicassoExecutorService; OkHttpLoaderCreator; OkHttpDownloader; UrlConnectionDownloader; ResponseCacheIcs
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,AssetBitmapHunter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BitmapHunter
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,BitmapHunter,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: AssetBitmapHunter
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,EmptyCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,NetworkBitmapHunter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BitmapHunter
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Picasso,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Request,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: uri; resourceId; transformations; targetWidth; targetHeight; centerCrop; centerInside; rotationDegrees; rotationPivotX; rotationPivotY; hasRotationPivot; uri; resourceId; targetWidth; targetHeight; centerCrop; centerInside; rotationDegrees; rotationPivotX; rotationPivotY; hasRotationPivot; transformations
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,StatsSnapshot,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; maxSize; size; cacheHits; cacheMisses; totalOriginalBitmapSize; totalTransformedBitmapSize; averageOriginalBitmapSize; averageTransformedBitmapSize; originalBitmapCount; transformedBitmapCount; timeStamp
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Utils,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 1.0
