NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, LOC, CC, PC
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Action,RequestWeakReference,4,1,3
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Action,Action,10,1,8
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Action,complete,0,1,2
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Action,error,0,1,0
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Action,cancel,3,1,0
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Action,getData,3,1,0
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Action,getTarget,3,1,0
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Action,getKey,3,1,0
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Action,isCancelled,3,1,0
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,Action,getPicasso,3,1,0
picasso-parent-2.0.2,5c9c2838e1ca2471e61d0015eb185f837532bd3c,Wed Sep 11 09:19:46 CEST 2013,picasso,com.squareup.picasso,RequestWeakReference,RequestWeakReference,4,1,3
