NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, Implementation Smell, Cause of the Smell
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getNextBdyZipEntry,Complex Conditional,The conditional expression zipEntry.getCompressedSize() == 0 && (zipEntry.getFileName().length() == 0 || "/".equals(zipEntry.getFileName().substring(zipEntry.getFileName().length() - 1))) is complex.
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getNextBdyZipEntry,Long Statement,The length of the statement "if (zipEntry.getCompressedSize() == 0 && (zipEntry.getFileName().length() == 0 || "/".equals(zipEntry.getFileName().substring(zipEntry.getFileName().length() - 1)))) {" is 167.
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getNextBdyZipEntry,Magic Number,The method contains a magic number: 30
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getNextBdyZipEntry,Magic Number,The method contains a magic number: 4
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getNextBdyZipEntry,Magic Number,The method contains a magic number: 2
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getNextFixedBdyZipEntry,Long Statement,The length of the statement "if (ByteUtil.matchToken(fileChannel`zipEntry.getFileStartPosition()`zipEntry.getFileStartPosition() + zipEntry.getCompressedSize()`ZIP_ENTRY_CENTRAL_HEARD)) {" is 158.
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getNextFixedBdyZipEntry,Long Statement,The length of the statement "else if (!ByteUtil.matchToken(fileChannel`zipEntry.getFileStartPosition()`zipEntry.getFileStartPosition() + zipEntry.getCompressedSize()`ZIP_ENTRY_FILE_HEARD)) {" is 161.
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getNextFixedBdyZipEntry,Long Statement,The length of the statement "if (ByteUtil.matchToken(fileChannel`zipEntry.getFileStartPosition() + zipEntry.getCompressedSize()`ZIP_ENTRY_CENTRAL_HEARD)) {" is 126.
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,fixedEntrySize,Long Statement,The length of the statement "if (ByteUtil.matchToken(fileChannel`fixEntry.getFileStartPosition()`fixEntry.getFileStartPosition() + fixedSize`ZIP_ENTRY_FILE_HEARD`ZIP_ENTRY_CENTRAL_HEARD)) {" is 160.
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,isRight,Complex Conditional,The conditional expression i + 1 < centralList.size() && centralList.get(i).equals(fixEntry.getFileName()) && centralList.get(i + 1).equals(nextEntry.getFileName()) is complex.
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,isRight,Long Statement,The length of the statement "if (i + 1 < centralList.size() && centralList.get(i).equals(fixEntry.getFileName()) && centralList.get(i + 1).equals(nextEntry.getFileName())) {" is 144.
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,isRight,Magic Number,The method contains a magic number: 4
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getFixedEntryList,Empty catch clause,The method has an empty catch block.
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getCentralList,Magic Number,The method contains a magic number: 6
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getCentralList,Magic Number,The method contains a magic number: 2
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getCentralList,Magic Number,The method contains a magic number: 4
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,unzip,Complex Method,Cyclomatic complexity of the method is 11
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,isBdyZip,Magic Number,The method contains a magic number: 10
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,LargeMappedByteBuffer,put,Long Statement,The length of the statement "throw new IOException("LargeMappedByteBuffer put rawPosition-" + rawPosition + "\tposition-"+ position+ "\tsize-"+ size`e);" is 123.
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.model,HttpRequestInfo,HttpRequestInfo,Long Parameter List,The method has 5 parameters. 
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.util,ByteUtil,numToBtsForBig,Magic Number,The method contains a magic number: 8
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.util,ByteUtil,numToBtsForBig,Magic Number,The method contains a magic number: 0xFF
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.util,ByteUtil,numToBtsForBig,Magic Number,The method contains a magic number: 8
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.util,ByteUtil,btsToNumForBig,Magic Number,The method contains a magic number: 0xFF
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.util,ByteUtil,btsToNumForBig,Magic Number,The method contains a magic number: 8
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.util,ByteUtil,numToBtsForSmall,Magic Number,The method contains a magic number: 8
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.util,ByteUtil,numToBtsForSmall,Magic Number,The method contains a magic number: 0xFF
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.util,ByteUtil,numToBtsForSmall,Magic Number,The method contains a magic number: 8
