NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, LOC, CC, PC
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getNextBdyZipEntry,38,4,2
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getNextBdyZipEntry,3,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getNextFixedBdyZipEntry,26,7,3
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,fixedEntrySize,16,5,4
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,isRight,16,5,3
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getFixedEntryList,20,4,2
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,getCentralList,27,2,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,unzip,52,11,3
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,unzip,3,1,2
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,main,3,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,isBdyZip,10,2,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,onStart,0,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,onFix,0,1,2
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,onFixDone,0,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,onEntryStart,0,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,onEntryWrite,0,1,2
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,onDone,0,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,onError,0,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,onStart,3,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,onFix,3,1,2
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,onFixDone,3,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,onEntryStart,3,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,onEntryWrite,2,1,2
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,onDone,3,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,onError,2,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyUnzipCallback,onStart,0,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyUnzipCallback,onFix,0,1,2
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyUnzipCallback,onFixDone,0,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyUnzipCallback,onEntryStart,0,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyUnzipCallback,onEntryWrite,0,1,2
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyUnzipCallback,onDone,0,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyUnzipCallback,onError,0,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,TestUnzipCallback,onStart,3,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,TestUnzipCallback,onFix,3,1,2
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,TestUnzipCallback,onFixDone,3,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,TestUnzipCallback,onEntryStart,3,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,TestUnzipCallback,onEntryWrite,2,1,2
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,TestUnzipCallback,onDone,3,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,TestUnzipCallback,onError,2,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,LargeMappedByteBuffer,LargeMappedByteBuffer,14,2,3
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,LargeMappedByteBuffer,put,20,2,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,LargeMappedByteBuffer,getIndex,3,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,LargeMappedByteBuffer,close,14,2,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,InternetSetOption,0,1,4
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,InternetSetOption,0,1,4
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,ByReference,2,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,ByReference,3,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,FILETIME,2,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,FILETIME,4,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,getFieldOrder,3,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,ByReference,2,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,ByReference,3,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,INTERNET_PER_CONN_OPTION,2,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,INTERNET_PER_CONN_OPTION,4,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,getFieldOrder,3,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,ByReference,2,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,ByReference,3,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,INTERNET_PER_CONN_OPTION_LIST,2,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,INTERNET_PER_CONN_OPTION_LIST,4,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,getFieldOrder,3,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,FILETIME,ByReference,2,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,FILETIME,ByReference,3,1,1
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,FILETIME,FILETIME,2,1,0
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,FILETIME,FILETIME,4,1,1
