NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.constant,HttpDownStatus,9,9,0,0,38,0,0,0,-1.0,6,0,C:\Users\mandes\AppData\Local\Temp\RD-2043929360519079287\proxyee-down\common\src\main\java\lee\study\down\constant\HttpDownStatus.java
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.constant,HttpDownConstant,10,10,0,0,22,0,0,0,-1.0,6,2,C:\Users\mandes\AppData\Local\Temp\RD-2043929360519079287\proxyee-down\ui\src\main\java\lee\study\down\constant\HttpDownConstant.java
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZip,30,7,25,15,284,57,0,0,0.6,3,6,C:\Users\mandes\AppData\Local\Temp\RD-2043929360519079287\proxyee-down\common\src\main\java\lee\study\down\io\BdyZip.java
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyZipEntry,15,0,0,0,17,0,0,0,-1.0,4,0,C:\Users\mandes\AppData\Local\Temp\RD-2043929360519079287\proxyee-down\common\src\main\java\lee\study\down\io\BdyZip.java
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,BdyUnzipCallback,0,0,7,0,9,7,1,0,-1.0,1,1,C:\Users\mandes\AppData\Local\Temp\RD-2043929360519079287\proxyee-down\common\src\main\java\lee\study\down\io\BdyZip.java
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,TestUnzipCallback,0,0,7,7,21,7,0,1,-1.0,1,1,C:\Users\mandes\AppData\Local\Temp\RD-2043929360519079287\proxyee-down\common\src\main\java\lee\study\down\io\BdyZip.java
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.io,LargeMappedByteBuffer,5,0,4,3,58,7,0,0,0.0,1,0,C:\Users\mandes\AppData\Local\Temp\RD-2043929360519079287\proxyee-down\common\src\main\java\lee\study\down\io\LargeMappedByteBuffer.java
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,WinInet,112,12,17,12,172,17,0,0,-1.0,3,6,C:\Users\mandes\AppData\Local\Temp\RD-2043929360519079287\proxyee-down\common\src\main\java\lee\study\down\jna\WinInet.java
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,FILETIME,2,2,5,4,20,5,1,0,1.0,3,0,C:\Users\mandes\AppData\Local\Temp\RD-2043929360519079287\proxyee-down\common\src\main\java\lee\study\down\jna\WinInet.java
2.52,26105d94b871e330cc456dea569cac9524537439,Fri Apr 27 07:59:31 CEST 2018,proxyee-down,lee.study.down.jna,ByReference,0,0,2,2,7,2,0,1,-1.0,3,0,C:\Users\mandes\AppData\Local\Temp\RD-2043929360519079287\proxyee-down\common\src\main\java\lee\study\down\jna\WinInet.java
