NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
1.1.0,047b6d04348046540343070ce7d864ff32851364,Mon Mar 26 10:40:40 CEST 2018,qmui_android,com.qmuiteam.qmui.arch,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExampleInstrumentedTest]; [QMUIFragment; TransitionConfig; QMUIFragmentActivity; SwipeBackLayout; SwipeListener; ViewDragCallback; Utils]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.33
1.1.0,047b6d04348046540343070ce7d864ff32851364,Mon Mar 26 10:40:40 CEST 2018,qmui_android,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.11. All the dependencies among components: from: com.qmuiteam.qmui.arch to: com.qmuiteam.qmui; from: com.qmuiteam.qmui.arch to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmui.arch to: com.qmuiteam.qmui.widget; from: com.qmuiteam.qmui.alpha to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmui.layout to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmui.link to: com.qmuiteam.qmui.span; from: com.qmuiteam.qmui.link to: com.qmuiteam.qmui.widget.textview; from: com.qmuiteam.qmui.qqface to: com.qmuiteam.qmui.span; from: com.qmuiteam.qmui.qqface to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmui.qqface to: com.qmuiteam.qmui.link; from: com.qmuiteam.qmui.qqface to: com.qmuiteam.qmui; from: com.qmuiteam.qmui.span to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmui.util to: com.qmuiteam.qmui; from: com.qmuiteam.qmui.util to: com.qmuiteam.qmui.span; from: com.qmuiteam.qmui.util to: com.qmuiteam.qmui.widget; from: com.qmuiteam.qmui.widget.dialog to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmui.widget.dialog to: com.qmuiteam.qmui; from: com.qmuiteam.qmui.widget.dialog to: com.qmuiteam.qmui.widget; from: com.qmuiteam.qmui.widget.dialog to: com.qmuiteam.qmui.widget.textview; from: com.qmuiteam.qmui.widget.dialog to: com.qmuiteam.qmui.layout; from: com.qmuiteam.qmui.widget.grouplist to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmui.widget to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmui.widget to: com.qmuiteam.qmui; from: com.qmuiteam.qmui.widget to: com.qmuiteam.qmui.alpha; from: com.qmuiteam.qmui.widget.popup to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmui.widget.pullRefreshLayout to: com.qmuiteam.qmui.drawable; from: com.qmuiteam.qmui.widget.pullRefreshLayout to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmui.widget.roundwidget to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmui.widget.textview to: com.qmuiteam.qmui.link; from: com.qmuiteam.qmuidemo.activity to: com.qmuiteam.qmui.widget; from: com.qmuiteam.qmuidemo.activity to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmuidemo.adaptor to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmuidemo.base to: com.qmuiteam.qmuidemo.manager; from: com.qmuiteam.qmuidemo.base to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmuidemo.fragment.components to: com.qmuiteam.qmui.widget; from: com.qmuiteam.qmuidemo.fragment.components to: com.qmuiteam.qmuidemo.model; from: com.qmuiteam.qmuidemo.fragment.components to: com.qmuiteam.qmui.widget.dialog; from: com.qmuiteam.qmuidemo.fragment.components to: com.qmuiteam.qmuidemo.manager; from: com.qmuiteam.qmuidemo.fragment.components to: com.qmuiteam.qmuidemo.adaptor; from: com.qmuiteam.qmuidemo.fragment.components to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmuidemo.fragment.components to: com.qmuiteam.qmui.widget.grouplist; from: com.qmuiteam.qmuidemo.fragment.components to: com.qmuiteam.qmui.layout; from: com.qmuiteam.qmuidemo.fragment.components to: com.qmuiteam.qmui.widget.textview; from: com.qmuiteam.qmuidemo.fragment.components to: com.qmuiteam.qmui.widget.popup; from: com.qmuiteam.qmuidemo.fragment.components to: com.qmuiteam.qmui.widget.pullRefreshLayout; from: com.qmuiteam.qmuidemo.fragment.components.qqface.pageView to: com.qmuiteam.qmuidemo.fragment.components.qqface.emojicon; from: com.qmuiteam.qmuidemo.fragment.components.qqface.pageView to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmuidemo.fragment.components.qqface.pageView to: com.qmuiteam.qmuidemo.fragment.components.qqface; from: com.qmuiteam.qmuidemo.fragment.components.qqface.pageView to: com.qmuiteam.qmui.link; from: com.qmuiteam.qmuidemo.fragment.components.qqface.pageView to: com.qmuiteam.qmui.qqface; from: com.qmuiteam.qmuidemo.fragment.components.qqface.pageView to: com.qmuiteam.qmuidemo; from: com.qmuiteam.qmuidemo.fragment.components.qqface to: com.qmuiteam.qmui.widget; from: com.qmuiteam.qmuidemo.fragment.components.qqface to: com.qmuiteam.qmui.widget.grouplist; from: com.qmuiteam.qmuidemo.fragment.components.qqface to: com.qmuiteam.qmuidemo.manager; from: com.qmuiteam.qmuidemo.fragment.components.qqface to: com.qmuiteam.qmuidemo.model; from: com.qmuiteam.qmuidemo.fragment.components.qqface to: com.qmuiteam.qmuidemo.fragment.components; from: com.qmuiteam.qmuidemo.fragment.components.qqface to: com.qmuiteam.qmui.qqface; from: com.qmuiteam.qmuidemo.fragment.components.qqface to: com.qmuiteam.qmuidemo; from: com.qmuiteam.qmuidemo.fragment.components.viewpager to: com.qmuiteam.qmui.widget; from: com.qmuiteam.qmuidemo.fragment.components.viewpager to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmuidemo.fragment.components.viewpager to: com.qmuiteam.qmuidemo.manager; from: com.qmuiteam.qmuidemo.fragment.components.viewpager to: com.qmuiteam.qmui.widget.grouplist; from: com.qmuiteam.qmuidemo.fragment.components.viewpager to: com.qmuiteam.qmuidemo.model; from: com.qmuiteam.qmuidemo.fragment.home to: com.qmuiteam.qmuidemo.manager; from: com.qmuiteam.qmuidemo.fragment.home to: com.qmuiteam.qmui.widget; from: com.qmuiteam.qmuidemo.fragment.home to: com.qmuiteam.qmuidemo.base; from: com.qmuiteam.qmuidemo.fragment.home to: com.qmuiteam.qmuidemo.fragment; from: com.qmuiteam.qmuidemo.fragment.home to: com.qmuiteam.qmuidemo.model; from: com.qmuiteam.qmuidemo.fragment.home to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmuidemo.fragment.lab to: com.qmuiteam.qmui.widget; from: com.qmuiteam.qmuidemo.fragment.lab to: com.qmuiteam.qmuidemo.manager; from: com.qmuiteam.qmuidemo.fragment.lab to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmuidemo.fragment.lab to: com.qmuiteam.qmuidemo.adaptor; from: com.qmuiteam.qmuidemo.fragment.lab to: com.qmuiteam.qmuidemo.model; from: com.qmuiteam.qmuidemo.fragment.lab to: com.qmuiteam.qmui.widget.dialog; from: com.qmuiteam.qmuidemo.fragment to: com.qmuiteam.qmui.widget; from: com.qmuiteam.qmuidemo.fragment to: com.qmuiteam.qmui.widget.grouplist; from: com.qmuiteam.qmuidemo.fragment to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmuidemo.fragment.util to: com.qmuiteam.qmui.widget; from: com.qmuiteam.qmuidemo.fragment.util to: com.qmuiteam.qmuidemo.model; from: com.qmuiteam.qmuidemo.fragment.util to: com.qmuiteam.qmuidemo.manager; from: com.qmuiteam.qmuidemo.fragment.util to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmuidemo.fragment.util to: com.qmuiteam.qmui.widget.grouplist; from: com.qmuiteam.qmuidemo.fragment.util to: com.qmuiteam.qmui.widget.dialog; from: com.qmuiteam.qmuidemo.fragment.util to: com.qmuiteam.qmui.span; from: com.qmuiteam.qmuidemo.fragment.util to: com.qmuiteam.qmuidemo.activity; from: com.qmuiteam.qmuidemo.fragment.util to: com.qmuiteam.qmui.widget.roundwidget; from: com.qmuiteam.qmuidemo.manager to: com.qmuiteam.qmuidemo.model; from: com.qmuiteam.qmuidemo.manager to: com.qmuiteam.qmuidemo.fragment.components; from: com.qmuiteam.qmuidemo.manager to: com.qmuiteam.qmuidemo.fragment.components.qqface; from: com.qmuiteam.qmuidemo.manager to: com.qmuiteam.qmuidemo.fragment.util; from: com.qmuiteam.qmuidemo.manager to: com.qmuiteam.qmuidemo.fragment.components.viewpager; from: com.qmuiteam.qmuidemo.manager to: com.qmuiteam.qmuidemo.fragment.lab; from: com.qmuiteam.qmuidemo.manager to: com.qmuiteam.qmui.span; from: com.qmuiteam.qmuidemo.manager to: com.qmuiteam.qmui.util; from: com.qmuiteam.qmuidemo to: com.qmuiteam.qmuidemo.manager; from: com.qmuiteam.qmuidemo to: com.qmuiteam.qmuidemo.base.
1.1.0,047b6d04348046540343070ce7d864ff32851364,Mon Mar 26 10:40:40 CEST 2018,qmui_android,com.qmuiteam.qmui.alpha,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.qmuiteam.qmui.alpha; com.qmuiteam.qmui.util; com.qmuiteam.qmui.widget
1.1.0,047b6d04348046540343070ce7d864ff32851364,Mon Mar 26 10:40:40 CEST 2018,qmui_android,com.qmuiteam.qmui.link,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.qmuiteam.qmui.link; com.qmuiteam.qmui.widget.textview
1.1.0,047b6d04348046540343070ce7d864ff32851364,Mon Mar 26 10:40:40 CEST 2018,qmui_android,com.qmuiteam.qmui.qqface,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IQMUIQQFaceManager; QMUIQQFaceCompiler; Element; ElementList; QMUIQQFaceView; SpanInfo; PressCancelAction; QQFaceViewListener]; [QQFace]. LCC (Lack of Component Cohesion) = 0.22
1.1.0,047b6d04348046540343070ce7d864ff32851364,Mon Mar 26 10:40:40 CEST 2018,qmui_android,com.qmuiteam.qmui.span,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.qmuiteam.qmui.span; com.qmuiteam.qmui.util
1.1.0,047b6d04348046540343070ce7d864ff32851364,Mon Mar 26 10:40:40 CEST 2018,qmui_android,com.qmuiteam.qmui.span,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [QMUIAlignMiddleImageSpan; QMUIMarginImageSpan]; [QMUIBlockSpaceSpan]; [QMUICustomTypefaceSpan]; [QMUIOnSpanClickListener]; [QMUITextSizeSpan]; [QMUITouchableSpan]. LCC (Lack of Component Cohesion) = 0.86
1.1.0,047b6d04348046540343070ce7d864ff32851364,Mon Mar 26 10:40:40 CEST 2018,qmui_android,com.qmuiteam.qmui.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.qmuiteam.qmui.util; com.qmuiteam.qmui.span
1.1.0,047b6d04348046540343070ce7d864ff32851364,Mon Mar 26 10:40:40 CEST 2018,qmui_android,com.qmuiteam.qmui.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.qmuiteam.qmui.util; com.qmuiteam.qmui.widget; com.qmuiteam.qmui.alpha
1.1.0,047b6d04348046540343070ce7d864ff32851364,Mon Mar 26 10:40:40 CEST 2018,qmui_android,com.qmuiteam.qmui.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.qmuiteam.qmui.span; com.qmuiteam.qmui.widget
