NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, LOC, CC, PC
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,BasePatternStatusListener,onPSubscribe,2,1,1
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,BasePatternStatusListener,onPUnsubscribe,2,1,1
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,BaseStatusListener,onSubscribe,2,1,1
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,BaseStatusListener,onUnsubscribe,2,1,1
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,ClusterNode,info,0,1,0
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,GeoEntry,GeoEntry,6,1,3
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,GeoEntry,getLatitude,3,1,0
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,GeoEntry,getLongitude,3,1,0
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,GeoEntry,getMember,3,1,0
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,GeoPosition,GeoPosition,5,1,2
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,GeoPosition,getLatitude,3,1,0
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,GeoPosition,getLongitude,3,1,0
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,GeoPosition,hashCode,10,1,0
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,GeoPosition,equals,9,6,1
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,GeoPosition,toString,3,1,0
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,MessageListener,onMessage,0,1,2
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,Node,getType,0,1,0
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,Node,getAddr,0,1,0
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,Node,ping,0,1,0
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,NodeListener,onConnect,0,1,1
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,NodeListener,onDisconnect,0,1,1
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,NodesGroup,addConnectionListener,0,1,1
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,NodesGroup,removeConnectionListener,0,1,1
redisson-parent-0.9.0,b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92,Wed Aug 10 09:51:21 CEST 2016,redisson,org.redisson.api,NodesGroup,getNodes,0,1,1
