NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
parent-1.7.0,2c42f2a1974410e19e3539d11088d2de33780122,Wed Oct 08 20:37:01 CEST 2014,retrofit,retrofit.appengine,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: retrofit.appengine; retrofit
parent-1.7.0,2c42f2a1974410e19e3539d11088d2de33780122,Wed Oct 08 20:37:01 CEST 2014,retrofit,retrofit.appengine,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: retrofit.appengine; retrofit.client; retrofit
parent-1.7.0,2c42f2a1974410e19e3539d11088d2de33780122,Wed Oct 08 20:37:01 CEST 2014,retrofit,retrofit,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 196
parent-1.7.0,2c42f2a1974410e19e3539d11088d2de33780122,Wed Oct 08 20:37:01 CEST 2014,retrofit,retrofit,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: retrofit; retrofit.client
parent-1.7.0,2c42f2a1974410e19e3539d11088d2de33780122,Wed Oct 08 20:37:01 CEST 2014,retrofit,retrofit,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: retrofit; retrofit.appengine; retrofit.client
parent-1.7.0,2c42f2a1974410e19e3539d11088d2de33780122,Wed Oct 08 20:37:01 CEST 2014,retrofit,retrofit,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): retrofit.appengine
parent-1.7.0,2c42f2a1974410e19e3539d11088d2de33780122,Wed Oct 08 20:37:01 CEST 2014,retrofit,retrofit,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Callback; CallbackRunnable; ErrorHandler; ResponseCallback; ResponseWrapper; RestAdapter; Log; RestHandler; Builder; RestMethodInfo; RxSupport; RetrofitError; RxSupport; Invoker; Types; ParameterizedTypeImpl; GenericArrayTypeImpl; WildcardTypeImpl; Utils; CallbackRunnableTest; ErrorHandlerTest; ExampleClient; TestException; MockInvalidResponseClient; RequestBuilderTest; Example; Example; Example; Example; RestAdapterTest; Example; InvalidExample; RestMethodInfoTest; Example; Example; Example; Example; Example; Example; Example; ResponseCallback; MultimapCallback; RxSupportTest; QueuedSynchronousExecutor; TestingUtils; MockHttpRetrofitError; MockRestAdapter; ValueChangeListener; MockHandler; MockRxSupport; MockRestAdapterTest; SyncExample; AsyncExample; AsyncCallbackSubtypeExample; Foo; ObservableExample; MockSyncExample; MockAsyncExample; MockSyncExample; MockAsyncExample; MockObservableExample; MockSyncExample; MockAsyncExample; MockObservableExample; MockObservableExample; MockSyncExample; MockAsyncExample; MockObservableExample; MockAsyncCallbackSubtypeExample; Endpoint; FixedEndpoint; EndpointsTest; Endpoints; ExceptionCatchingTypedInput; ExceptionCatchingInputStream; Platform; Base; Android; AppEngine; OkClientInstantiator; Profiler; RequestInformation; RequestBuilder; MimeOverridingTypedOutput; RequestInterceptor; RequestFacade; RequestInterceptorTape; CommandWithParams; SynchronousExecutor; Example; Example; MockHttpException; MockTypedInput]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]; [Example]. LCC (Lack of Component Cohesion) = 0.53
parent-1.7.0,2c42f2a1974410e19e3539d11088d2de33780122,Wed Oct 08 20:37:01 CEST 2014,retrofit,retrofit.client,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: retrofit.client; retrofit
parent-1.7.0,2c42f2a1974410e19e3539d11088d2de33780122,Wed Oct 08 20:37:01 CEST 2014,retrofit,retrofit.client,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: retrofit.client; retrofit; retrofit.appengine
parent-1.7.0,2c42f2a1974410e19e3539d11088d2de33780122,Wed Oct 08 20:37:01 CEST 2014,retrofit,retrofit.client,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): retrofit
parent-1.7.0,2c42f2a1974410e19e3539d11088d2de33780122,Wed Oct 08 20:37:01 CEST 2014,retrofit,retrofit.mime,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FormUrlEncodedTypedOutput; TypedOutput; FormUrlEncodingTypedOutputTest; MultipartTypedOutput; MimePart; MimeHelper; MultipartTypedOutputTest; TypedByteArray; TypedInput; TypedString; TypedByteArrayTest; TypedFile; TypedFileTest]; [MimeUtil]; [MimeUtilTest]. LCC (Lack of Component Cohesion) = 0.2
parent-1.7.0,2c42f2a1974410e19e3539d11088d2de33780122,Wed Oct 08 20:37:01 CEST 2014,retrofit,com.example.retrofit,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GitHubClient; GitHub; GitHubClient; MockGitHub; Contributor]; [Contributor]; [GitHub]. LCC (Lack of Component Cohesion) = 0.43
parent-2.0.0-beta3,b5ef2af4e75f5285d4cbbb7da147b5d518680497,Tue Jan 05 18:23:58 CET 2016,retrofit,retrofit2,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 241
