NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.android.observables,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: rx.android.observables; rx.operators
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.android.observables,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): rx.operators
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.operators,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: rx.operators; rx.android.observables
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.operators,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OperatorBroadcastRegister]; [OperatorCompoundButtonInput; CompositeOnCheckedChangeListener; CachedListeners]; [OperatorConditionalBinding; OperatorConditionalBindingTest]; [OperatorEditTextInput; SimpleTextWatcher; OperatorTextViewInput]; [OperatorLocalBroadcastRegister]; [OperatorObserveFromAndroidComponent; OnSubscribeBase; OnSubscribeFragment; OnSubscribeSupportFragment]; [SimpleTextWatcher]; [OperatorViewClick; CompositeOnClickListener; CachedListeners]. LCC (Lack of Component Cohesion) = 0.44
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.android.operators,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OperatorBroadcastRegisterTest]; [OperatorCompoundButtonInputTest]; [OperatorEditTextInputTest]; [OperatorLocalBroadcastRegisterTest]; [OperatorObserveFromAndroidComponentTest]; [OperatorTextViewInputTest]; [OperatorViewClickTest]. LCC (Lack of Component Cohesion) = 1.0
v0.24.0,ba80d3643ebfe1d83c42a6d55b2df2d9250a6088,Sat Jan 03 17:41:44 CET 2015,rxandroid,rx.android.app,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AppObservable; OperatorConditionalBinding; AppObservableTest; OperatorConditionalBindingTest]; [ReactiveDialog; ReactiveDialogObserver; Result; RxDialogFragment; SubscriberVault; ReactiveDialogTest; SubscriberVaultTest; ReactiveDialogListener]; [RxActivity]; [RxFragment]. LCC (Lack of Component Cohesion) = 0.29
v0.24.0,ba80d3643ebfe1d83c42a6d55b2df2d9250a6088,Sat Jan 03 17:41:44 CET 2015,rxandroid,rx.android.samples,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LifecycleObservableActivity]; [ListeningFragmentActivity; SampleObservables; UIBindingActivity; RetainedBindingFragment; ListeningFragment; ListenInOutActivity; ListFragmentActivity; BindAdapter; RetainedListFragment; RetainedFragmentActivity; RetainedFragment]; [SamplesApplication]. LCC (Lack of Component Cohesion) = 0.23
2.0.1,fb7983eb608307ae291173c0c250c14ffef92b13,Sat Nov 12 18:26:24 CET 2016,rxandroid,io.reactivex.android.schedulers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AndroidSchedulers; MainHolder; HandlerScheduler; HandlerWorker; ScheduledRunnable; AndroidSchedulersTest]; [HandlerSchedulerTest]. LCC (Lack of Component Cohesion) = 0.29
2.0.2,0f113210dd5f13002aa3f9b9008c8ee2802487d5,Mon Feb 12 22:13:56 CET 2018,rxandroid,io.reactivex.android.schedulers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AndroidSchedulers; MainHolder; HandlerScheduler; HandlerWorker; ScheduledRunnable; AndroidSchedulersTest]; [HandlerSchedulerTest]. LCC (Lack of Component Cohesion) = 0.29
v0.25.0,5584213566af8049cdc01c25e2b24659221fc94b,Mon Jun 29 18:17:27 CEST 2015,rxandroid,rx.android,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): rx.android.schedulers
