NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.android.concurrency,AndroidSchedulers,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.android.concurrency,HandlerThreadScheduler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.operators,OperatorBroadcastRegister,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.operators,OperatorCompoundButtonInput,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.operators,OperatorEditTextInput,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.operators,OperatorLocalBroadcastRegister,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.operators,OperatorTextViewInput,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.operators,SimpleTextWatcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.operators,OperatorViewClick,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.20.4,0cb51c08baeace06c7639c4e9c98c78a1b5955a0,Thu Aug 14 16:57:07 CEST 2014,rxandroid,rx.operators,CachedListeners,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.0.0,8e3419c78670675bed79d55fe401ee42b69d803f,Wed Aug 05 21:35:32 CEST 2015,rxandroid,rx.android.schedulers,AndroidSchedulersTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v0.24.0,ba80d3643ebfe1d83c42a6d55b2df2d9250a6088,Sat Jan 03 17:41:44 CET 2015,rxandroid,rx.android,TestUtil,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: STRING_EXPECTATION
v0.24.0,ba80d3643ebfe1d83c42a6d55b2df2d9250a6088,Sat Jan 03 17:41:44 CET 2015,rxandroid,rx.android.app,AppObservable,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ACTIVITY_VALIDATOR; FRAGMENT_VALIDATOR; FRAGMENTV4_VALIDATOR; USES_SUPPORT_FRAGMENTS
v0.24.0,ba80d3643ebfe1d83c42a6d55b2df2d9250a6088,Sat Jan 03 17:41:44 CET 2015,rxandroid,rx.android.app,ReactiveDialog,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RxDialogFragment
v0.24.0,ba80d3643ebfe1d83c42a6d55b2df2d9250a6088,Sat Jan 03 17:41:44 CET 2015,rxandroid,rx.android.app,RxActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v0.24.0,ba80d3643ebfe1d83c42a6d55b2df2d9250a6088,Sat Jan 03 17:41:44 CET 2015,rxandroid,rx.android.app,RxFragment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v0.24.0,ba80d3643ebfe1d83c42a6d55b2df2d9250a6088,Sat Jan 03 17:41:44 CET 2015,rxandroid,rx.android.app,SubscriberVaultTest,Feature Envy,The tool detected a instance of this smell because itStoresValuesForAGivenKey is more interested in members of the type: SubscriberVault
