NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.dubbo,DubboAppContextFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.dubbo,DubboUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DUBBO_APPLICATION_KEY
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.dubbo,SentinelDubboConsumerFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.dubbo,SentinelDubboConsumerFilter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractDubboFilter
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.dubbo,SentinelDubboProviderFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.dubbo,SentinelDubboProviderFilter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractDubboFilter
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.dubbo,DemoService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.dubbo.fallback,DefaultDubboFallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.dubbo.fallback,DubboFallbackRegistryTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.dubbo.provider,DemoServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.grpc,SentinelGrpcClientInterceptorTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.grpc,SentinelGrpcServerInterceptorTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.servlet.callback,DefaultUrlBlockHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.servlet.callback,DefaultUrlCleaner,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.servlet,CommonFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.servlet,CommonTotalFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.servlet,CommonTotalFilter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TOTAL_URL_REQUEST
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.adapter.servlet.config,WebServletConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BLOCK_PAGE
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.concurrent,NamedThreadFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.config,SentinelConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: props; CHARSET; SINGLE_METRIC_FILE_SIZE; TOTAL_METRIC_FILE_COUNT; COLD_FACTOR; DEFAULT_SINGLE_METRIC_FILE_SIZE; DEFAULT_TOTAL_METRIC_FILE_COUNT
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MAX_CONTEXT_NAME_SIZE; MAX_SLOT_CHAIN_SIZE; ROOT_ID; CONTEXT_DEFAULT_NAME; ROOT; ENTRY_NODE; TIME_DROP_VALVE; ON
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel,Constants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: MAX_CONTEXT_NAME_SIZE; MAX_SLOT_CHAIN_SIZE; ROOT_ID; CONTEXT_DEFAULT_NAME; ROOT; ENTRY_NODE; TIME_DROP_VALVE; ON
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel,CtSph,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel,Env,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: slotsChainbuilder; nodeBuilder; sph
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel,Env,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: slotsChainbuilder; nodeBuilder; sph
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel,Env,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: IntervalProperty; FlowIntervalPropertyListener; ClusterBuilderSlot; ClusterNode; StatisticNode; SampleCountProperty; Context; DefaultNode; Env; NodeBuilder
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.context,Context,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: IntervalProperty; FlowIntervalPropertyListener; ClusterBuilderSlot; ClusterNode; StatisticNode; SampleCountProperty; Context; DefaultNode; Env; NodeBuilder
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.context,NullContext,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.1.1,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,Wed Aug 08 13:57:37 CEST 2018,sentinel,com.alibaba.csp.sentinel.context,NullContext,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Context
