NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
V1.0.4,e2bfeb1bbe4f39b32e496409894baca817ad8bbe,Mon Nov 27 05:54:23 CET 2017,smartrefreshlayout,com.scwang.refreshlayout,ExampleInstrumentedTest,0,0,1,1,10,1,0,0,-1.0,0,0,C:\Users\mandes\AppData\Local\Temp\RD-1178718800007944385\smartrefreshlayout\app\src\androidTest\java\com\scwang\refreshlayout\ExampleInstrumentedTest.java
V1.0.4,e2bfeb1bbe4f39b32e496409894baca817ad8bbe,Mon Nov 27 05:54:23 CET 2017,smartrefreshlayout,com.scwang.refreshlayout,App,0,0,2,2,22,3,0,0,-1.0,0,1,C:\Users\mandes\AppData\Local\Temp\RD-1178718800007944385\smartrefreshlayout\app\src\main\java\com\scwang\refreshlayout\App.java
V1.0.4,e2bfeb1bbe4f39b32e496409894baca817ad8bbe,Mon Nov 27 05:54:23 CET 2017,smartrefreshlayout,com.scwang.refreshlayout,ExampleUnitTest,0,0,1,1,9,1,0,0,-1.0,0,0,C:\Users\mandes\AppData\Local\Temp\RD-1178718800007944385\smartrefreshlayout\app\src\test\java\com\scwang\refreshlayout\ExampleUnitTest.java
V1.0.4,e2bfeb1bbe4f39b32e496409894baca817ad8bbe,Mon Nov 27 05:54:23 CET 2017,smartrefreshlayout,com.scwang.refreshlayout.activity,ExperimentActivity,0,0,3,0,20,3,0,0,-1.0,0,1,C:\Users\mandes\AppData\Local\Temp\RD-1178718800007944385\smartrefreshlayout\app\src\main\java\com\scwang\refreshlayout\activity\ExperimentActivity.java
V1.0.4,e2bfeb1bbe4f39b32e496409894baca817ad8bbe,Mon Nov 27 05:54:23 CET 2017,smartrefreshlayout,com.scwang.refreshlayout.activity,FragmentActivity,4,0,8,3,57,11,0,0,0.5,9,0,C:\Users\mandes\AppData\Local\Temp\RD-1178718800007944385\smartrefreshlayout\app\src\main\java\com\scwang\refreshlayout\activity\FragmentActivity.java
V1.0.4,e2bfeb1bbe4f39b32e496409894baca817ad8bbe,Mon Nov 27 05:54:23 CET 2017,smartrefreshlayout,com.scwang.refreshlayout.activity,IndexMainActivity,3,0,7,4,51,11,0,0,0.42857142857142855,0,1,C:\Users\mandes\AppData\Local\Temp\RD-1178718800007944385\smartrefreshlayout\app\src\main\java\com\scwang\refreshlayout\activity\IndexMainActivity.java
V1.0.4,e2bfeb1bbe4f39b32e496409894baca817ad8bbe,Mon Nov 27 05:54:23 CET 2017,smartrefreshlayout,com.scwang.refreshlayout.activity.practice,BannerPracticeActivity,11,10,10,8,105,13,0,0,0.6,0,5,C:\Users\mandes\AppData\Local\Temp\RD-1178718800007944385\smartrefreshlayout\app\src\main\java\com\scwang\refreshlayout\activity\practice\BannerPracticeActivity.java
V1.0.4,e2bfeb1bbe4f39b32e496409894baca817ad8bbe,Mon Nov 27 05:54:23 CET 2017,smartrefreshlayout,com.scwang.refreshlayout.activity.practice,QuickAdapter,0,0,2,1,9,2,0,0,-1.0,1,1,C:\Users\mandes\AppData\Local\Temp\RD-1178718800007944385\smartrefreshlayout\app\src\main\java\com\scwang\refreshlayout\activity\practice\BannerPracticeActivity.java
V1.0.4,e2bfeb1bbe4f39b32e496409894baca817ad8bbe,Mon Nov 27 05:54:23 CET 2017,smartrefreshlayout,com.scwang.refreshlayout.activity.practice,GlideImageLoader,0,0,1,1,5,1,0,0,-1.0,1,0,C:\Users\mandes\AppData\Local\Temp\RD-1178718800007944385\smartrefreshlayout\app\src\main\java\com\scwang\refreshlayout\activity\practice\BannerPracticeActivity.java
V1.0.4,e2bfeb1bbe4f39b32e496409894baca817ad8bbe,Mon Nov 27 05:54:23 CET 2017,smartrefreshlayout,com.scwang.refreshlayout.activity.practice,Movie,6,6,0,0,8,0,0,0,-1.0,2,0,C:\Users\mandes\AppData\Local\Temp\RD-1178718800007944385\smartrefreshlayout\app\src\main\java\com\scwang\refreshlayout\activity\practice\BannerPracticeActivity.java
