NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v2.1.0.RELEASE,5a6a7e24cd0f1ac3b09a97be1b6460ccfb1cc0a0,Thu Aug 01 10:58:25 CEST 2019,spring-cloud-alibaba,com.alibaba.cloud.dubbo.autoconfigure,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DubboLoadBalancedRestTemplateAutoConfiguration]; [DubboMetadataAutoConfiguration]; [DubboOpenFeignAutoConfiguration]; [DubboServiceAutoConfiguration]; [ParameterResolversConfiguration]; [DubboServiceDiscoveryAutoConfiguration]; [EurekaConfiguration]; [ZookeeperConfiguration]; [ConsulConfiguration]; [NacosConfiguration]; [DubboServiceRegistrationAutoConfiguration]; [EurekaConfiguration]; [ConsulConfiguration]; [DubboServiceRegistrationNonWebApplicationAutoConfiguration]; [ZookeeperConfiguration]; [ConsulConfiguration]; [DubboServiceRegistrationAutoConfigurationTest]. LCC (Lack of Component Cohesion) = 1.0
v2.1.0.RELEASE,5a6a7e24cd0f1ac3b09a97be1b6460ccfb1cc0a0,Thu Aug 01 10:58:25 CEST 2019,spring-cloud-alibaba,com.alibaba.cloud.dubbo.metadata,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DubboProtocolConfigSupplier]; [DubboRestServiceMetadata; RestMethodMetadata; ServiceRestMetadata; DubboTransportedMethodMetadata; MethodMetadata; MethodParameterMetadata; RequestMetadata; RequestMetadataTest]. LCC (Lack of Component Cohesion) = 0.22
v2.1.0.RELEASE,5a6a7e24cd0f1ac3b09a97be1b6460ccfb1cc0a0,Thu Aug 01 10:58:25 CEST 2019,spring-cloud-alibaba,com.alibaba.cloud.dubbo.metadata.repository,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.alibaba.cloud.dubbo.http.matcher
v2.1.0.RELEASE,5a6a7e24cd0f1ac3b09a97be1b6460ccfb1cc0a0,Thu Aug 01 10:58:25 CEST 2019,spring-cloud-alibaba,com.alibaba.cloud.dubbo.metadata.resolver,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DubboServiceBeanMetadataResolver; MetadataResolver]; [DubboTransportedAttributesResolver; DubboTransportedMethodMetadataResolver; DubboTransportedMethodMetadataResolverTest; TestDefaultService]. LCC (Lack of Component Cohesion) = 0.33
v2.1.0.RELEASE,5a6a7e24cd0f1ac3b09a97be1b6460ccfb1cc0a0,Thu Aug 01 10:58:25 CEST 2019,spring-cloud-alibaba,com.alibaba.cloud.dubbo.service,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DubboGenericServiceExecutionContext; DubboGenericServiceExecutionContextFactory]; [DubboGenericServiceFactory; DubboMetadataServiceInvocationHandler; DubboMetadataServiceProxy; DubboMetadataService; DubboMetadataServiceExporter; IntrospectiveDubboMetadataService]; [InMemoryUserService; User; UserService; StandardRestService; RestService; InMemoryUserService; SpringRestService]; [EchoService]. LCC (Lack of Component Cohesion) = 0.25
v2.1.0.RELEASE,5a6a7e24cd0f1ac3b09a97be1b6460ccfb1cc0a0,Thu Aug 01 10:58:25 CEST 2019,spring-cloud-alibaba,com.alibaba.cloud.examples,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 78
v2.1.0.RELEASE,5a6a7e24cd0f1ac3b09a97be1b6460ccfb1cc0a0,Thu Aug 01 10:58:25 CEST 2019,spring-cloud-alibaba,com.alibaba.cloud.examples,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AcmApplication]; [EchoController]; [ConsumerApplication; ConsumerApplication; ConsumerApplication]; [EchoService; HomeController; EchoServiceFallback; TestController; TestService; FeignConfiguration; SimpleTask]; [HomeController]; [EchoController]; [ProviderApplication; ProviderApplication; ProviderApplication]; [Application]; [SampleRunner]; [SampleController]; [EchoService]; [EchoController]; [GetConfigController]; [SpringCloudConfigClientApplication]; [SpringCloudConfigServerApplication]; [GatewayApplication]; [EchoController]; [OssApplication; AppRunner; OssController]; [Foo; ReceiveService; RocketMQProduceApplication; MySource; CustomRunner; CustomRunnerWithTransactional; SenderService]; [RocketMQConsumerApplication; MySink; ConsumerCustomRunner]; [Foo]; [TransactionListenerImpl]; [HelloController]; [ScxApplication]; [TestController]; [AccountApplication]; [AccountController]; [DatabaseConfiguration]; [BusinessApplication]; [StorageService; HomeController; OrderService]; [Order; OrderController]; [DatabaseConfiguration]; [OderApplication]; [Order]; [DatabaseConfiguration]; [StorageApplication]; [StorageController]; [ExceptionUtil]; [JsonFlowRuleListConverter; ServiceApplication]; [TestController]; [FooService; FooServiceConsumer; SentinelDubboConsumerApp; FooServiceImpl]; [SentinelDubboProviderApp]; [MySCGConfiguration]; [RulesWebFluxController]; [SentinelSpringCloudGatewayApplication]; [MyConfiguration]; [SentinelWebFluxApplication]; [SentinelWebFluxController]; [RulesController]; [SentinelZuulApplication]; [ZuulConfiguration]. LCC (Lack of Component Cohesion) = 0.65
v2.1.0.RELEASE,5a6a7e24cd0f1ac3b09a97be1b6460ccfb1cc0a0,Thu Aug 01 10:58:25 CEST 2019,spring-cloud-alibaba,com.alibaba.cloud.dubbo.bootstrap,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DubboSpringCloudClientBootstrap]; [DubboSpringCloudConsumerBootstrap; FeignRestService; DubboFeignRestService]; [DubboSpringCloudProviderBootstrap]; [DubboSpringCloudWebProviderBootstrap]; [DubboSpringCloudServerBootstrap]; [EchoServiceImpl]; [DubboSpringCloudServletGatewayBootstrap]. LCC (Lack of Component Cohesion) = 0.78
v2.1.0.RELEASE,5a6a7e24cd0f1ac3b09a97be1b6460ccfb1cc0a0,Thu Aug 01 10:58:25 CEST 2019,spring-cloud-alibaba,com.alibaba.cloud.nacos.client,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alibaba.cloud.nacos.client; com.alibaba.cloud.nacos
v2.1.0.RELEASE,5a6a7e24cd0f1ac3b09a97be1b6460ccfb1cc0a0,Thu Aug 01 10:58:25 CEST 2019,spring-cloud-alibaba,com.alibaba.cloud.nacos.client,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alibaba.cloud.nacos.client; com.alibaba.cloud.nacos.refresh; com.alibaba.cloud.nacos
