NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.okhttp,StethoInterceptorTest,7,1,14,10,135,16,0,0,0.2857142857142857,1,8,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-okhttp/src/test/java/com/facebook/stetho/okhttp/StethoInterceptorTest.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.okhttp,SimpleTestChain,3,0,4,4,22,5,0,0,0.0,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-okhttp/src/test/java/com/facebook/stetho/okhttp/StethoInterceptorTest.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.okhttp,StethoInterceptor,11,0,28,28,160,35,0,0,0.21428571428571427,1,6,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-okhttp/src/main/java/com/facebook/stetho/okhttp/StethoInterceptor.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.okhttp,OkHttpInspectorRequest,3,0,11,11,52,12,0,0,0.2727272727272727,1,3,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-okhttp/src/main/java/com/facebook/stetho/okhttp/StethoInterceptor.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.okhttp,OkHttpInspectorResponse,4,0,12,12,45,12,0,0,0.16666666666666666,1,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-okhttp/src/main/java/com/facebook/stetho/okhttp/StethoInterceptor.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.okhttp,ForwardingResponseBody,2,0,4,4,17,4,0,0,0.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-okhttp/src/main/java/com/facebook/stetho/okhttp/StethoInterceptor.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.timber,StethoTree,0,0,1,0,30,7,0,0,-1.0,0,3,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-timber/src/main/java/com/facebook/stetho/timber/StethoTree.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,SampleApplication,0,0,1,1,5,1,1,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/SampleApplication.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,MainActivity,2,0,7,2,50,10,0,0,0.5714285714285714,1,3,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/MainActivity.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,Networker,19,6,21,12,182,34,1,0,0.38095238095238093,8,8,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/Networker.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,HttpRequestTask,3,0,4,2,77,9,0,0,0.0,1,6,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/Networker.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,HttpRequest,8,4,8,6,52,12,0,0,0.5,4,3,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/Networker.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,Builder,4,0,6,5,27,6,0,0,1.0,2,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/Networker.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,HttpResponse,2,2,1,0,8,1,0,0,0.0,3,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/Networker.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,Callback,0,0,2,2,4,2,0,0,-1.0,2,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/Networker.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,APODContentProvider,3,0,12,10,67,12,0,0,0.5,0,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/APODContentProvider.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,APODSQLiteOpenHelper,2,0,4,3,17,4,0,0,0.5,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/APODContentProvider.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,HtmlScraper,2,0,4,4,35,6,0,0,0.5,2,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/HtmlScraper.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,ExtractImageGetter,2,0,3,3,24,5,0,0,0.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/HtmlScraper.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,APODRssFetcher,12,5,21,12,209,38,0,0,0.2857142857142857,3,9,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/APODRssFetcher.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,PageScrapeNetworkCallback,2,0,3,3,17,3,0,1,0.0,1,4,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/APODRssFetcher.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,RssParser,1,0,6,2,79,19,0,0,0.0,0,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/APODRssFetcher.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,RssItem,3,3,0,0,5,0,0,0,-1.0,3,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/APODRssFetcher.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,ApodItem,2,2,0,0,4,0,0,0,-1.0,0,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/APODRssFetcher.java
v1.2.0,f3e1c88be7df56b21f552b6d717079580215e045,Sat Sep 12 01:09:01 CEST 2015,stetho,com.facebook.stetho.sample,PageScrapedCallback,0,0,1,1,6,1,0,0,-1.0,2,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-12425535362569241124/stetho/stetho-sample/src/main/java/com/facebook/stetho/sample/APODRssFetcher.java
