NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yalantis.ucrop.callback
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BitmapLoadUtils; EglUtils; ImageHeaderParser; RandomAccessReader; Reader; StreamReader]; [CubicEasing]; [FastBitmapDrawable]; [FileUtils]; [RectUtils]; [RotationGestureDetector; SimpleOnRotationGestureListener; OnRotationGestureListener]; [SelectedStateListDrawable]. LCC (Lack of Component Cohesion) = 0.5
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.view.widget,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yalantis.ucrop.view
2.2.1,8a4e70eabca1d90884b8cecafdf310c354b461bc,Wed Apr 19 13:56:23 CEST 2017,ucrop,com.yalantis.ucrop.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yalantis.ucrop.callback
2.2.1,8a4e70eabca1d90884b8cecafdf310c354b461bc,Wed Apr 19 13:56:23 CEST 2017,ucrop,com.yalantis.ucrop.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BitmapLoadUtils; EglUtils; ImageHeaderParser; RandomAccessReader; Reader; StreamReader]; [CubicEasing]; [FastBitmapDrawable]; [FileUtils]; [RectUtils]; [RotationGestureDetector; SimpleOnRotationGestureListener; OnRotationGestureListener]; [SelectedStateListDrawable]. LCC (Lack of Component Cohesion) = 0.5
2.2.1,8a4e70eabca1d90884b8cecafdf310c354b461bc,Wed Apr 19 13:56:23 CEST 2017,ucrop,com.yalantis.ucrop.view.widget,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yalantis.ucrop.view
2.2.4-native,76a9f06f13785de24e09b808713ca6155d2cf8e1,Mon Sep 16 11:09:20 CEST 2019,ucrop,com.yalantis.ucrop.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yalantis.ucrop.callback
2.2.4-native,76a9f06f13785de24e09b808713ca6155d2cf8e1,Mon Sep 16 11:09:20 CEST 2019,ucrop,com.yalantis.ucrop.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BitmapLoadUtils; EglUtils; ImageHeaderParser; RandomAccessReader; Reader; StreamReader]; [CubicEasing]; [FastBitmapDrawable]; [FileUtils]; [RectUtils]; [RotationGestureDetector; SimpleOnRotationGestureListener; OnRotationGestureListener]; [SelectedStateListDrawable]. LCC (Lack of Component Cohesion) = 0.5
2.2.4-native,76a9f06f13785de24e09b808713ca6155d2cf8e1,Mon Sep 16 11:09:20 CEST 2019,ucrop,com.yalantis.ucrop.view.widget,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yalantis.ucrop.view
2.2.1-native,b9f0c4cbe7dbe6bf74e474578a7380e8d43377d9,Wed Apr 19 13:54:07 CEST 2017,ucrop,com.yalantis.ucrop.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yalantis.ucrop.callback
2.2.1-native,b9f0c4cbe7dbe6bf74e474578a7380e8d43377d9,Wed Apr 19 13:54:07 CEST 2017,ucrop,com.yalantis.ucrop.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BitmapLoadUtils; EglUtils; ImageHeaderParser; RandomAccessReader; Reader; StreamReader]; [CubicEasing]; [FastBitmapDrawable]; [FileUtils]; [RectUtils]; [RotationGestureDetector; SimpleOnRotationGestureListener; OnRotationGestureListener]; [SelectedStateListDrawable]. LCC (Lack of Component Cohesion) = 0.5
2.2.1-native,b9f0c4cbe7dbe6bf74e474578a7380e8d43377d9,Wed Apr 19 13:54:07 CEST 2017,ucrop,com.yalantis.ucrop.view.widget,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yalantis.ucrop.view
2.2.2-native,b7f41761acf4ad4b97780298c6ba7b36fbd79879,Thu Apr 05 10:40:46 CEST 2018,ucrop,com.yalantis.ucrop.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yalantis.ucrop.callback
2.2.2-native,b7f41761acf4ad4b97780298c6ba7b36fbd79879,Thu Apr 05 10:40:46 CEST 2018,ucrop,com.yalantis.ucrop.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BitmapLoadUtils; EglUtils; ImageHeaderParser; RandomAccessReader; Reader; StreamReader]; [CubicEasing]; [FastBitmapDrawable]; [FileUtils]; [RectUtils]; [RotationGestureDetector; SimpleOnRotationGestureListener; OnRotationGestureListener]; [SelectedStateListDrawable]. LCC (Lack of Component Cohesion) = 0.5
2.2.2-native,b7f41761acf4ad4b97780298c6ba7b36fbd79879,Thu Apr 05 10:40:46 CEST 2018,ucrop,com.yalantis.ucrop.view.widget,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yalantis.ucrop.view
