NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, Implementation Smell, Cause of the Smell
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,BaseActivity,showAlertDialog,Long Parameter List,The method has 6 parameters. 
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,onRequestPermissionsResult,Missing default,The following switch statement is missing a default case: switch (requestCode) {
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,saveCroppedImage,Long Statement,The length of the statement "if (ActivityCompat.checkSelfPermission(this`Manifest.permission.WRITE_EXTERNAL_STORAGE) != PackageManager.PERMISSION_GRANTED) {" is 127.
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,saveCroppedImage,Long Statement,The length of the statement "requestPermission(Manifest.permission.WRITE_EXTERNAL_STORAGE`getString(R.string.permission_write_storage_rationale)`REQUEST_STORAGE_WRITE_ACCESS_PERMISSION);" is 157.
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,copyFileToDownloads,Long Statement,The length of the statement "String downloadsDirectoryPath=Environment.getExternalStoragePublicDirectory(Environment.DIRECTORY_DOWNLOADS).getAbsolutePath();" is 127.
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,showNotification,Long Statement,The length of the statement "grantUriPermission(info.activityInfo.packageName`fileUri`FLAG_GRANT_WRITE_URI_PERMISSION | FLAG_GRANT_READ_URI_PERMISSION);" is 123.
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,showNotification,Long Statement,The length of the statement "notificationBuilder.setContentTitle(getString(R.string.app_name)).setContentText(getString(R.string.notification_image_saved_click_to_preview)).setTicker(getString(R.string.notification_image_saved)).setSmallIcon(R.drawable.ic_done).setOngoing(false).setContentIntent(PendingIntent.getActivity(this`0`intent`0)).setAutoCancel(true);" is 332.
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,SampleActivity,onRequestPermissionsResult,Missing default,The following switch statement is missing a default case: switch (requestCode) {
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,SampleActivity,setupUI,Long Identifier,The length of the field mRadioGroupCompressionSettings is 30.
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,SampleActivity,setupUI,Long Statement,The length of the statement "Uri uri=Uri.parse(String.format(Locale.getDefault()`"https://unsplash.it/%d/%d/?random"`minSizePixels + random.nextInt(maxSizePixels - minSizePixels)`minSizePixels + random.nextInt(maxSizePixels - minSizePixels)));" is 214.
