NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, LOC, CC, PC
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,BaseActivity,onStop,6,2,0
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,BaseActivity,requestPermission,13,2,3
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,BaseActivity,onClick,3,1,2
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,BaseActivity,showAlertDialog,8,1,6
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,startWithUri,5,1,2
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,onCreate,27,3,1
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,onCreateOptionsMenu,4,1,1
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,onOptionsItemSelected,9,3,1
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,onRequestPermissionsResult,11,3,3
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,saveCroppedImage,20,3,0
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,copyFileToDownloads,15,1,1
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,showNotification,25,5,1
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,ResultActivity,createChannel,8,1,0
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,SampleActivity,onCreate,5,1,1
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,SampleActivity,onActivityResult,19,6,3
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,SampleActivity,onRequestPermissionsResult,11,3,3
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,SampleActivity,setupUI,54,1,0
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,SampleActivity,onClick,3,1,1
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,SampleActivity,onClick,7,1,1
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,SampleActivity,onCheckedChanged,3,1,2
2.2.2,ee18cf105d9f4b3f775efa7ef5e6d3c85fc8c2d5,Thu Apr 05 10:41:07 CEST 2018,ucrop,com.yalantis.ucrop.sample,SampleActivity,onProgressChanged,3,1,3
