NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v1.5.2,db228d4cf6dba54d9e7a34a0f54ff1d72c7834eb,Tue Feb 28 14:02:51 CET 2017,xxl-job,com.xxl.job.admin.controller.interceptor,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.xxl.job.admin.core.util
v1.5.2,db228d4cf6dba54d9e7a34a0f54ff1d72c7834eb,Tue Feb 28 14:02:51 CET 2017,xxl-job,com.xxl.job.admin.core.callback,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.xxl.job.admin.core.callback; com.xxl.job.admin.core.util
v1.5.2,db228d4cf6dba54d9e7a34a0f54ff1d72c7834eb,Tue Feb 28 14:02:51 CET 2017,xxl-job,com.xxl.job.admin.core.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ReturnT]; [XxlJobGroup]; [XxlJobInfo]; [XxlJobLog]; [XxlJobLogGlue]; [XxlJobRegistry]. LCC (Lack of Component Cohesion) = 1.0
v1.5.2,db228d4cf6dba54d9e7a34a0f54ff1d72c7834eb,Tue Feb 28 14:02:51 CET 2017,xxl-job,com.xxl.job.admin.core.thread,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.xxl.job.admin.core.thread; com.xxl.job.admin.core.util
v1.5.2,db228d4cf6dba54d9e7a34a0f54ff1d72c7834eb,Tue Feb 28 14:02:51 CET 2017,xxl-job,com.xxl.job.admin.core.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.xxl.job.admin.core.util; com.xxl.job.admin.core.callback
v1.5.2,db228d4cf6dba54d9e7a34a0f54ff1d72c7834eb,Tue Feb 28 14:02:51 CET 2017,xxl-job,com.xxl.job.admin.core.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.xxl.job.admin.core.callback; com.xxl.job.admin.core.thread
v1.5.2,db228d4cf6dba54d9e7a34a0f54ff1d72c7834eb,Tue Feb 28 14:02:51 CET 2017,xxl-job,com.xxl.job.core.router,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.xxl.job.core.router.thread
v1.5.2,db228d4cf6dba54d9e7a34a0f54ff1d72c7834eb,Tue Feb 28 14:02:51 CET 2017,xxl-job,com.xxl.job.core.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ByteHexConverter; XxlJobNetCommUtil; ByteReadFactory; ByteWriteFactory; JacksonUtil]; [DBUtil]; [IpUtil]. LCC (Lack of Component Cohesion) = 0.43
v1.5.1,d8cba5b471063d274ff74f4463e334b364a8b626,Tue Nov 15 03:24:22 CET 2016,xxl-job,com.xxl.job.admin.core.callback,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.xxl.job.admin.core.callback; com.xxl.job.admin.core.util
v1.5.1,d8cba5b471063d274ff74f4463e334b364a8b626,Tue Nov 15 03:24:22 CET 2016,xxl-job,com.xxl.job.admin.core.callback,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.xxl.job.admin.core.callback; com.xxl.job.admin.core.util; com.xxl.job.admin.core.thread
v1.5.1,d8cba5b471063d274ff74f4463e334b364a8b626,Tue Nov 15 03:24:22 CET 2016,xxl-job,com.xxl.job.admin.core.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ReturnT]; [XxlJobGroup]; [XxlJobInfo]; [XxlJobLog]; [XxlJobLogGlue]; [XxlJobRegistry]. LCC (Lack of Component Cohesion) = 1.0
v1.5.1,d8cba5b471063d274ff74f4463e334b364a8b626,Tue Nov 15 03:24:22 CET 2016,xxl-job,com.xxl.job.admin.core.thread,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.xxl.job.admin.core.thread; com.xxl.job.admin.core.util
v1.5.1,d8cba5b471063d274ff74f4463e334b364a8b626,Tue Nov 15 03:24:22 CET 2016,xxl-job,com.xxl.job.admin.core.thread,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.xxl.job.admin.core.thread; com.xxl.job.admin.core.callback; com.xxl.job.admin.core.util
v1.5.1,d8cba5b471063d274ff74f4463e334b364a8b626,Tue Nov 15 03:24:22 CET 2016,xxl-job,com.xxl.job.admin.core.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.xxl.job.admin.core.util; com.xxl.job.admin.core.callback
v1.5.1,d8cba5b471063d274ff74f4463e334b364a8b626,Tue Nov 15 03:24:22 CET 2016,xxl-job,com.xxl.job.admin.core.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.xxl.job.admin.core.util; com.xxl.job.admin.core.thread; com.xxl.job.admin.core.callback
