NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, Implementation Smell, Cause of the Smell
1.0.0.0,7fb44cf9f000411135683f90979ee53f340065bd,Sat Dec 05 11:22:56 CET 2015,xxl-job,com.xxl.controller,IndexController,add,Magic Number,The method contains a magic number: 500
1.0.0.0,7fb44cf9f000411135683f90979ee53f340065bd,Sat Dec 05 11:22:56 CET 2015,xxl-job,com.xxl.controller,IndexController,add,Magic Number,The method contains a magic number: 500
1.0.0.0,7fb44cf9f000411135683f90979ee53f340065bd,Sat Dec 05 11:22:56 CET 2015,xxl-job,com.xxl.controller,IndexController,add,Magic Number,The method contains a magic number: 500
1.0.0.0,7fb44cf9f000411135683f90979ee53f340065bd,Sat Dec 05 11:22:56 CET 2015,xxl-job,com.xxl.controller,IndexController,add,Magic Number,The method contains a magic number: 500
1.0.0.0,7fb44cf9f000411135683f90979ee53f340065bd,Sat Dec 05 11:22:56 CET 2015,xxl-job,com.xxl.controller,IndexController,add,Magic Number,The method contains a magic number: 500
1.0.0.0,7fb44cf9f000411135683f90979ee53f340065bd,Sat Dec 05 11:22:56 CET 2015,xxl-job,com.xxl.controller,IndexController,add,Magic Number,The method contains a magic number: 500
1.0.0.0,7fb44cf9f000411135683f90979ee53f340065bd,Sat Dec 05 11:22:56 CET 2015,xxl-job,com.xxl.controller,IndexController,reschedule,Magic Number,The method contains a magic number: 500
1.0.0.0,7fb44cf9f000411135683f90979ee53f340065bd,Sat Dec 05 11:22:56 CET 2015,xxl-job,com.xxl.controller,IndexController,reschedule,Magic Number,The method contains a magic number: 500
1.0.0.0,7fb44cf9f000411135683f90979ee53f340065bd,Sat Dec 05 11:22:56 CET 2015,xxl-job,com.xxl.controller,IndexController,reschedule,Magic Number,The method contains a magic number: 500
1.0.0.0,7fb44cf9f000411135683f90979ee53f340065bd,Sat Dec 05 11:22:56 CET 2015,xxl-job,com.xxl.quartz,ReturnT,ReturnT,Magic Number,The method contains a magic number: 200
