NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
2.17.0,87a443c27ca33a7bd60135a00fc7f9bc3f4afc6b,Tue Sep 24 06:27:44 CEST 2019,zipkin,(default package),MavenWrapperDownloader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.17.0,87a443c27ca33a7bd60135a00fc7f9bc3f4afc6b,Tue Sep 24 06:27:44 CEST 2019,zipkin,zipkin2.codec,MoshiSpanDecoder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: listSpansAdapter; source; cursor; SPAN_ADAPTER; ANNOTATION_ADAPTER; ENDPOINT_ADAPTER
2.17.0,87a443c27ca33a7bd60135a00fc7f9bc3f4afc6b,Tue Sep 24 06:27:44 CEST 2019,zipkin,zipkin2.codec,BytesEncoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.17.0,87a443c27ca33a7bd60135a00fc7f9bc3f4afc6b,Tue Sep 24 06:27:44 CEST 2019,zipkin,zipkin2.codec,SpanBytesDecoderTest,Feature Envy,The tool detected a instance of this smell because spanRoundTrip_64bitTraceId_JSON_V2 is more interested in members of the type: Span
2.17.0,87a443c27ca33a7bd60135a00fc7f9bc3f4afc6b,Tue Sep 24 06:27:44 CEST 2019,zipkin,zipkin2.codec,SpanBytesDecoderTest,Feature Envy,The tool detected a instance of this smell because spanRoundTrip_64bitTraceId_PROTO3 is more interested in members of the type: Span
2.17.0,87a443c27ca33a7bd60135a00fc7f9bc3f4afc6b,Tue Sep 24 06:27:44 CEST 2019,zipkin,zipkin2.codec,SpanBytesDecoderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: span; thrown
2.17.0,87a443c27ca33a7bd60135a00fc7f9bc3f4afc6b,Tue Sep 24 06:27:44 CEST 2019,zipkin,zipkin2.codec,SpanBytesDecoderTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 49 public methods
2.17.0,87a443c27ca33a7bd60135a00fc7f9bc3f4afc6b,Tue Sep 24 06:27:44 CEST 2019,zipkin,zipkin2.codec,SpanBytesEncoderTest,Feature Envy,The tool detected a instance of this smell because span_64bitTraceId_PROTO3 is more interested in members of the type: Span
2.17.0,87a443c27ca33a7bd60135a00fc7f9bc3f4afc6b,Tue Sep 24 06:27:44 CEST 2019,zipkin,zipkin2.codec,SpanBytesEncoderTest,Feature Envy,The tool detected a instance of this smell because span_64bitTraceId_THRIFT is more interested in members of the type: Span
2.17.0,87a443c27ca33a7bd60135a00fc7f9bc3f4afc6b,Tue Sep 24 06:27:44 CEST 2019,zipkin,zipkin2.codec,SpanBytesEncoderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: UTF_8; SPAN; UTF8_SPAN; NO_ANNOTATIONS_ROOT_SERVER_SPAN; LOCAL_SPAN; ERROR_SPAN; span
2.17.0,87a443c27ca33a7bd60135a00fc7f9bc3f4afc6b,Tue Sep 24 06:27:44 CEST 2019,zipkin,zipkin2.codec,SpanBytesEncoderTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 46 public methods
