NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 7.2. All the dependencies among components: from: com.bumptech.glide.integration.okhttp to: com.bumptech.glide.load.model; from: com.bumptech.glide.integration.volley to: com.bumptech.glide.load.data; from: com.bumptech.glide.integration.volley to: com.bumptech.glide.load.model; from: com.bumptech.glide to: com.bumptech.glide.load.model; from: com.bumptech.glide to: com.bumptech.glide.manager; from: com.bumptech.glide to: com.bumptech.glide.load.resource.transcode; from: com.bumptech.glide to: com.bumptech.glide.load.model.stream; from: com.bumptech.glide to: com.bumptech.glide.load.model.file_descriptor; from: com.bumptech.glide to: com.bumptech.glide.request; from: com.bumptech.glide to: com.bumptech.glide.request.target; from: com.bumptech.glide to: com.bumptech.glide.provider; from: com.bumptech.glide to: com.bumptech.glide.load; from: com.bumptech.glide to: com.bumptech.glide.load.data; from: com.bumptech.glide to: com.bumptech.glide.load.engine.cache; from: com.bumptech.glide to: com.bumptech.glide.load.engine.bitmap_recycle; from: com.bumptech.glide to: com.bumptech.glide.load.engine; from: com.bumptech.glide to: com.bumptech.glide.load.resource.drawable; from: com.bumptech.glide to: com.bumptech.glide.request.animation; from: com.bumptech.glide to: com.bumptech.glide.load.resource.gif; from: com.bumptech.glide to: com.bumptech.glide.load.resource.bitmap; from: com.bumptech.glide to: com.bumptech.glide.util; from: com.bumptech.glide to: com.bumptech.glide.load.resource.gifbitmap; from: com.bumptech.glide to: com.bumptech.glide.load.resource; from: com.bumptech.glide.util to: com.bumptech.glide.load.resource.bitmap; from: com.bumptech.glide.util to: com.bumptech.glide.load.engine.bitmap_recycle; from: com.bumptech.glide.provider to: com.bumptech.glide.load; from: com.bumptech.glide.provider to: com.bumptech.glide.load.model; from: com.bumptech.glide.provider to: com.bumptech.glide.load.resource.transcode; from: com.bumptech.glide.provider to: com.bumptech.glide.util; from: com.bumptech.glide.manager to: com.bumptech.glide; from: com.bumptech.glide.manager to: com.bumptech.glide.request; from: com.bumptech.glide.manager to: com.bumptech.glide.util; from: com.bumptech.glide.load.model to: com.bumptech.glide.load; from: com.bumptech.glide.load.model to: com.bumptech.glide.load.resource; from: com.bumptech.glide.load.model to: com.bumptech.glide.load.engine; from: com.bumptech.glide.load.model to: com.bumptech.glide.load.data; from: com.bumptech.glide.load.model to: com.bumptech.glide.util; from: com.bumptech.glide.load.model.stream to: com.bumptech.glide.load.model; from: com.bumptech.glide.load.model.stream to: com.bumptech.glide.tests; from: com.bumptech.glide.load.model.stream to: com.bumptech.glide.load.data; from: com.bumptech.glide.load.model.stream to: com.bumptech.glide; from: com.bumptech.glide.load.resource.drawable to: com.bumptech.glide.load.resource.gif; from: com.bumptech.glide.load.resource.file to: com.bumptech.glide.load; from: com.bumptech.glide.load.resource.file to: com.bumptech.glide.load.engine; from: com.bumptech.glide.load.resource.file to: com.bumptech.glide.load.resource; from: com.bumptech.glide.load.resource to: com.bumptech.glide.load.engine; from: com.bumptech.glide.load.resource to: com.bumptech.glide.load; from: com.bumptech.glide.load.resource.bitmap to: com.bumptech.glide.load.engine.bitmap_recycle; from: com.bumptech.glide.load.resource.bitmap to: com.bumptech.glide.load.engine; from: com.bumptech.glide.load.resource.bitmap to: com.bumptech.glide.tests; from: com.bumptech.glide.load.resource.bitmap to: com.bumptech.glide.load; from: com.bumptech.glide.load.resource.bitmap to: com.bumptech.glide.load.model; from: com.bumptech.glide.load.resource.bitmap to: com.bumptech.glide; from: com.bumptech.glide.load.resource.bitmap to: com.bumptech.glide.load.resource; from: com.bumptech.glide.load.resource.bitmap to: com.bumptech.glide.util; from: com.bumptech.glide.load.resource.bitmap to: com.bumptech.glide.load.resource.file; from: com.bumptech.glide.load.resource.gifbitmap to: com.bumptech.glide.load; from: com.bumptech.glide.load.resource.gifbitmap to: com.bumptech.glide.load.engine; from: com.bumptech.glide.load.resource.gifbitmap to: com.bumptech.glide.load.resource.gif; from: com.bumptech.glide.load.resource.gifbitmap to: com.bumptech.glide.load.engine.bitmap_recycle; from: com.bumptech.glide.load.resource.gifbitmap to: com.bumptech.glide.load.model; from: com.bumptech.glide.load.resource.gifbitmap to: com.bumptech.glide.load.resource.bitmap; from: com.bumptech.glide.load.resource.gifbitmap to: com.bumptech.glide.util; from: com.bumptech.glide.load.resource.gifbitmap to: com.bumptech.glide.provider; from: com.bumptech.glide.load.resource.transcode to: com.bumptech.glide.load.engine; from: com.bumptech.glide.load.resource.transcode to: com.bumptech.glide.tests; from: com.bumptech.glide.load.resource.transcode to: com.bumptech.glide.load.resource.gifbitmap; from: com.bumptech.glide.load.resource.transcode to: com.bumptech.glide.load.resource.gif; from: com.bumptech.glide.load.resource.transcode to: com.bumptech.glide.load.engine.bitmap_recycle; from: com.bumptech.glide.load.resource.transcode to: com.bumptech.glide.util; from: com.bumptech.glide.load.resource.transcode to: com.bumptech.glide.load.resource.bitmap; from: com.bumptech.glide.load.resource.gif to: com.bumptech.glide.load.engine; from: com.bumptech.glide.load.resource.gif to: com.bumptech.glide.gifdecoder; from: com.bumptech.glide.load.resource.gif to: com.bumptech.glide.load; from: com.bumptech.glide.load.resource.gif to: com.bumptech.glide.load.engine.bitmap_recycle; from: com.bumptech.glide.load.resource.gif to: com.bumptech.glide.load.resource; from: com.bumptech.glide.load.resource.gif to: com.bumptech.glide.load.resource.drawable; from: com.bumptech.glide.load.resource.gif to: com.bumptech.glide.tests; from: com.bumptech.glide.load.resource.gif to: com.bumptech.glide; from: com.bumptech.glide.load.resource.gif to: com.bumptech.glide.util; from: com.bumptech.glide.load.resource.gif to: com.bumptech.glide.load.model; from: com.bumptech.glide.load.resource.gif to: com.bumptech.glide.load.resource.file; from: com.bumptech.glide.load.resource.gif to: com.bumptech.glide.load.engine.cache; from: com.bumptech.glide.load.resource.gif to: com.bumptech.glide.request.animation; from: com.bumptech.glide.load.data to: com.bumptech.glide.load.model; from: com.bumptech.glide.load.data.resource to: com.bumptech.glide.load.data; from: com.bumptech.glide.load.data.resource to: com.bumptech.glide.tests; from: com.bumptech.glide.load.engine to: com.bumptech.glide.load; from: com.bumptech.glide.load.engine to: com.bumptech.glide.load.data; from: com.bumptech.glide.load.engine to: com.bumptech.glide.load.resource.transcode; from: com.bumptech.glide.load.engine to: com.bumptech.glide.load.engine.cache; from: com.bumptech.glide.load.engine to: com.bumptech.glide.request; from: com.bumptech.glide.load.engine to: com.bumptech.glide.tests; from: com.bumptech.glide.load.engine to: com.bumptech.glide.util; from: com.bumptech.glide.load.engine.cache to: com.bumptech.glide.util; from: com.bumptech.glide.load.engine.cache to: com.bumptech.glide.tests; from: com.bumptech.glide.load.engine.cache to: com.bumptech.glide.load.engine; from: com.bumptech.glide.load.engine.cache to: com.bumptech.glide.load; from: com.bumptech.glide.load.engine.bitmap_recycle to: com.bumptech.glide.util; from: com.bumptech.glide.load to: com.bumptech.glide.load.engine; from: com.bumptech.glide.request to: com.bumptech.glide.request.target; from: com.bumptech.glide.request to: com.bumptech.glide.load.model; from: com.bumptech.glide.request to: com.bumptech.glide.load.engine; from: com.bumptech.glide.request to: com.bumptech.glide.load; from: com.bumptech.glide.request to: com.bumptech.glide.provider; from: com.bumptech.glide.request to: com.bumptech.glide.load.resource.transcode; from: com.bumptech.glide.request to: com.bumptech.glide.request.animation; from: com.bumptech.glide.request to: com.bumptech.glide.load.data; from: com.bumptech.glide.request to: com.bumptech.glide.util; from: com.bumptech.glide.request.target to: com.bumptech.glide.request.animation; from: com.bumptech.glide.request.target to: com.bumptech.glide.request; from: com.bumptech.glide.request.target to: com.bumptech.glide.load.resource.drawable; from: com.bumptech.glide.request.target to: com.bumptech.glide.load.resource.gif; from: com.bumptech.glide.request.target to: com.bumptech.glide.load.resource.bitmap; from: com.bumptech.glide.load.model.file_descriptor to: com.bumptech.glide.load.model; from: com.bumptech.glide.load.model.file_descriptor to: com.bumptech.glide; from: com.bumptech.svgsample.app to: com.bumptech.glide.request.target; from: com.bumptech.svgsample.app to: com.bumptech.glide; from: com.bumptech.svgsample.app to: com.bumptech.glide.load.engine; from: com.bumptech.glide.samples.flickr to: com.bumptech.glide.request; from: com.bumptech.glide.samples.flickr to: com.bumptech.glide.samples.flickr.api; from: com.bumptech.glide.samples.flickr to: com.bumptech.glide; from: com.bumptech.glide.samples.flickr to: com.bumptech.glide.load.model; from: com.bumptech.glide.samples.giphy to: com.bumptech.glide; from: com.bumptech.glide.samples.giphy to: com.bumptech.glide.load.model; from: com.bumptech.glide.gifdecoder to: com.bumptech.glide.gifdecoder.test.
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide.integration.volley,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [VolleyStreamFetcherServerTest; VolleyRequestFuture; VolleyStreamFetcher; GlideRequest; VolleyUrlLoader; Factory]; [FakeSystemClock]. LCC (Lack of Component Cohesion) = 0.29
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 37
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.bumptech.glide; com.bumptech.glide.manager
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.bumptech.glide; com.bumptech.glide.load.resource.transcode; com.bumptech.glide.load.resource.gif
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.bumptech.glide; com.bumptech.glide.load.model; com.bumptech.glide.util; com.bumptech.glide.load.resource.bitmap
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.bumptech.glide; com.bumptech.glide.load.model; com.bumptech.glide.load.engine; com.bumptech.glide.load.resource.transcode; com.bumptech.glide.load.resource.gif
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.bumptech.glide.load.model.stream; com.bumptech.glide.load.model.file_descriptor; com.bumptech.glide.load.resource.gifbitmap
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.bumptech.glide.util; com.bumptech.glide.load.resource.bitmap
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.bumptech.glide.util; com.bumptech.glide.load.resource.bitmap; com.bumptech.glide.load.engine.bitmap_recycle
