NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.shuyu.gsyvideoplayer.armv64,CarGuo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: 
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.shuyu.gsyvideoplayer.armv64,CarGuo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,PlayActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: IMG_TRANSITION; TRANSITION; videoPlayer; orientationUtils; isTransition; transition
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,WindowActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,DetailADPlayer2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,ListMultiVideoActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,DetailControlActivity,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,DetailFilterActivity,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,ListVideoActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,ListVideoActivity,Feature Envy,The tool detected a instance of this smell because onBackPressAdapter is more interested in members of the type: ListNormalAdapter
