NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.shuyu.gsyvideoplayer.armv64,CarGuo,0,0,0,0,2,0,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/gsyVideoPlayer-armv64/src/main/java/com/shuyu/gsyvideoplayer/armv64/CarGuo.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,PlayActivity,6,2,12,5,110,17,0,0,0.16666666666666666,1,4,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/PlayActivity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,WindowActivity,2,0,5,1,52,12,0,0,0.8,0,6,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/WindowActivity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,DetailADPlayer2,6,0,13,10,86,17,0,0,0.38461538461538464,0,3,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/DetailADPlayer2.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,ListMultiVideoActivity,3,0,7,3,66,19,0,0,0.5714285714285714,0,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/ListMultiVideoActivity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,ScrollingActivity,11,0,20,13,174,35,0,0,0.25,1,8,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/ScrollingActivity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,RecyclerView2Activity,9,0,9,5,98,25,0,0,0.2222222222222222,1,8,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/RecyclerView2Activity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,DetailControlActivity,12,0,36,23,226,44,0,0,0.5,1,7,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/DetailControlActivity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,DetailFilterActivity,22,0,38,22,370,80,0,0,0.5263157894736842,1,13,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/DetailFilterActivity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,TaskLocal2,0,0,1,1,23,2,0,0,-1.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/DetailFilterActivity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,TaskLocal,0,0,1,1,27,6,0,0,-1.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/DetailFilterActivity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,ListVideoActivity,4,0,9,4,74,20,0,0,0.2222222222222222,0,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/ListVideoActivity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,ListVideo2Activity,8,0,7,5,80,21,0,0,0.2857142857142857,1,6,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/ListVideo2Activity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,DanmkuVideoActivity,7,0,17,10,124,29,0,0,0.23529411764705882,1,4,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/DanmkuVideoActivity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,FragmentVideoActivity,1,0,2,1,23,4,0,0,0.0,0,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/FragmentVideoActivity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,DetailListPlayer,4,0,10,7,76,13,0,0,0.6,0,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/DetailListPlayer.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,EmptyActivity,1,0,2,1,11,2,0,0,1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/EmptyActivity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,MainActivity,3,0,3,2,102,30,0,0,1.0,1,4,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/MainActivity.java
v5.0.0Alpha5,2fcca3a3604a8c9f98ab2674fa3796582d537a07,Wed May 23 11:11:43 CEST 2018,gsyvideoplayer,com.example.gsyvideoplayer,WebDetailActivity,6,0,11,7,92,21,0,0,0.36363636363636365,1,5,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-4705265242017010756/gsyvideoplayer/app/src/main/java/com/example/gsyvideoplayer/WebDetailActivity.java
