NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, Implementation Smell, Cause of the Smell
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,InjectedHttpServletTest,createFakeServletContext,Long Statement,The length of the statement "return (ServletContext)Proxy.newProxyInstance(ServletContext.class.getClassLoader()`new Class[]{ServletContext.class}`handler);" is 127.
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,ServletTest,testExistingRequestObject,Magic Number,The method contains a magic number: 2
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,ServletTest,testExistingSessionObject,Magic Number,The method contains a magic number: 2
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,ServletTest,testExistingSessionObject,Magic Number,The method contains a magic number: 2
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,GuiceFilter,getContext,Long Statement,The length of the statement "throw new OutOfScopeException("Cannot access scoped object. Either we" + " are not currently inside an HTTP Servlet request` or you may" + " have forgotten to apply " + GuiceFilter.class.getName() + " as a servlet filter for this request.");" is 241.
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,InjectedHttpServlet,init,Long Statement,The length of the statement "throw new UnavailableException("Guice Injector not found (did you forget to register a " + GuiceServletContextListener.class.getSimpleName() + "?)");" is 149.
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject,OptionalBindingTest,testEverythingInjectorToInstance,Long Statement,The length of the statement "Guice.createInjector(everythingModule`toInstanceModule).getInstance(HasOptionalInjections.class).assertEverythingInjected();" is 124.
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject,OptionalBindingTest,testEverythingInjectorToProviderInstance,Long Statement,The length of the statement "Guice.createInjector(everythingModule`toProviderInstanceModule).getInstance(HasOptionalInjections.class).assertEverythingInjected();" is 132.
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject,OptionalBindingTest,testPartialInjectorToProviderInstance,Long Statement,The length of the statement "Guice.createInjector(partialModule`toProviderInstanceModule).getInstance(HasOptionalInjections.class).assertNothingInjected();" is 126.
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject,OptionalBindingTest,testEverythingInjectorToProvider,Long Statement,The length of the statement "Guice.createInjector(everythingModule`toProviderModule).getInstance(HasOptionalInjections.class).assertEverythingInjected();" is 124.
