NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,InjectedHttpServletTest,1,0,4,2,48,10,0,0,0.75,1,6,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/servlet/test/com/google/inject/servlet/InjectedHttpServletTest.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,MyDependency,0,0,0,0,2,0,0,0,-1.0,2,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/servlet/test/com/google/inject/servlet/InjectedHttpServletTest.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,MyServlet,1,0,0,0,3,0,0,1,-1.0,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/servlet/test/com/google/inject/servlet/InjectedHttpServletTest.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,MyListener,0,0,1,0,5,1,0,1,-1.0,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/servlet/test/com/google/inject/servlet/InjectedHttpServletTest.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,ServletTest,0,0,10,8,109,10,0,0,-1.0,0,7,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/servlet/test/com/google/inject/servlet/ServletTest.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,InSession,0,0,0,0,2,0,0,0,-1.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/servlet/test/com/google/inject/servlet/ServletTest.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,InRequest,0,0,0,0,2,0,0,0,-1.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/servlet/test/com/google/inject/servlet/ServletTest.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,ServletModule,0,0,9,8,52,9,0,0,-1.0,1,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/servlet/src/com/google/inject/servlet/ServletModule.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,GuiceFilter,3,0,9,3,48,10,0,0,0.4444444444444444,4,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/servlet/src/com/google/inject/servlet/GuiceFilter.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,Context,2,0,3,0,14,3,0,0,0.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/servlet/src/com/google/inject/servlet/GuiceFilter.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,InjectedHttpServlet,0,0,1,1,15,2,1,0,-1.0,0,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/servlet/src/com/google/inject/servlet/InjectedHttpServlet.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,ServletScopes,2,2,9,8,66,13,0,0,0.7777777777777778,0,4,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/servlet/src/com/google/inject/servlet/ServletScopes.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.servlet,GuiceServletContextListener,1,0,3,2,19,3,1,0,0.0,2,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/servlet/src/com/google/inject/servlet/GuiceServletContextListener.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject,ErrorHandlingTest,4,0,12,3,105,12,0,0,0.75,2,18,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/test/com/google/inject/ErrorHandlingTest.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject,NeedsString,1,0,0,0,3,0,0,0,-1.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/test/com/google/inject/ErrorHandlingTest.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject,Foo,0,0,2,1,6,2,1,0,-1.0,29,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/test/com/google/inject/ErrorHandlingTest.java
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject,Bar,0,0,3,0,8,3,2,0,-1.0,22,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-17785781107124206181/guice/test/com/google/inject/ErrorHandlingTest.java
