NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because typeDeclaration is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because enumDeclaration is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because fieldDeclaration is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because fieldDeclarationWithInitialValue is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because abstractMethodDeclaration is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because nonAbstractMethodDeclaration is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because constructorDeclaration is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because statement is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because multiLineStatement is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because addImport is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because addStaticImport is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because addStaticWildcardImport is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because emptyImports is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because emptyStaticImports is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because addImportFromSubpackage is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because ifControlFlow is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because doWhileControlFlow is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because tryCatchFinallyControlFlow is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedType is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedMember is more interested in members of the type: JavaWriter
javawriter-1.0.5,fee0bc45e6885e614157dfc2f54e871f1079eba6,javapoet,javapoet-clone0,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedWithAttributes is more interested in members of the type: JavaWriter
