NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v2.0.0-gradle,a059e11fbf969dab84f1ed3743df816036c34b35,Tue Jan 28 19:29:24 CET 2020,jib,com.test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Empty]; [HelloWorld; HelloWorld; HelloWorld; HelloWorld; HelloWorld; HelloWorld]; [HelloWorld]; [HelloWorld]; [HelloWorld]; [HelloWorld]; [HelloWorld]; [Empty]; [Empty]; [Empty]. LCC (Lack of Component Cohesion) = 0.67
v2.0.0-gradle,a059e11fbf969dab84f1ed3743df816036c34b35,Tue Jan 28 19:29:24 CET 2020,jib,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.7. All the dependencies among components: from: example to: example.health; from: example to: example.resources; from: example to: example.config; from: com.google.cloud.tools.jib.maven to: com.google.cloud.tools.jib.event; from: com.google.cloud.tools.jib.maven to: com.google.cloud.tools.jib.plugins.common; from: com.google.cloud.tools.jib.maven to: com.google.cloud.tools.jib.blob; from: com.google.cloud.tools.jib.maven to: com.google.cloud.tools.jib.filesystem; from: com.google.cloud.tools.jib.maven to: com.google.cloud.tools.jib.configuration; from: com.google.cloud.tools.jib.maven to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.maven to: com.google.cloud.tools.jib.registry; from: com.google.cloud.tools.jib.maven to: com.google.cloud.tools.jib; from: com.google.cloud.tools.jib.maven to: com.google.cloud.tools.jib.docker; from: com.google.cloud.tools.jib.maven to: com.google.cloud.tools.jib.plugins.common.logging; from: com.google.cloud.tools.jib.maven to: com.google.cloud.tools.jib.event.events; from: com.google.cloud.tools.jib.maven.skaffold to: com.google.cloud.tools.jib.maven; from: com.google.cloud.tools.jib.maven.skaffold to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.maven.skaffold to: com.google.cloud.tools.jib.plugins.common; from: com.google.cloud.tools.jib.configuration to: com.google.cloud.tools.jib.event; from: com.google.cloud.tools.jib.configuration to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.configuration to: com.google.cloud.tools.jib.image.json; from: com.google.cloud.tools.jib.configuration to: com.google.cloud.tools.jib.cache; from: com.google.cloud.tools.jib.configuration to: com.google.cloud.tools.jib.http; from: com.google.cloud.tools.jib.configuration to: com.google.cloud.tools.jib.global; from: com.google.cloud.tools.jib.configuration to: com.google.cloud.tools.jib.registry; from: com.google.cloud.tools.jib.configuration to: com.google.cloud.tools.jib.docker; from: com.google.cloud.tools.jib.docker.json to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.docker.json to: com.google.cloud.tools.jib.json; from: com.google.cloud.tools.jib.docker to: com.google.cloud.tools.jib.image; from: com.google.cloud.tools.jib.docker to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.docker to: com.google.cloud.tools.jib.json; from: com.google.cloud.tools.jib.cache to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.cache to: com.google.cloud.tools.jib.image.json; from: com.google.cloud.tools.jib.cache to: com.google.cloud.tools.jib.blob; from: com.google.cloud.tools.jib.cache to: com.google.cloud.tools.jib.json; from: com.google.cloud.tools.jib.cache to: com.google.cloud.tools.jib.hash; from: com.google.cloud.tools.jib.cache to: com.google.cloud.tools.jib.filesystem; from: com.google.cloud.tools.jib.cache to: com.google.cloud.tools.jib; from: com.google.cloud.tools.jib.frontend to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.frontend to: com.google.cloud.tools.jib.registry.credentials; from: com.google.cloud.tools.jib.hash to: com.google.cloud.tools.jib.blob; from: com.google.cloud.tools.jib.hash to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.hash to: com.google.cloud.tools.jib.json; from: com.google.cloud.tools.jib.image to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.image to: com.google.cloud.tools.jib.image.json; from: com.google.cloud.tools.jib.image to: com.google.cloud.tools.jib.blob; from: com.google.cloud.tools.jib.image to: com.google.cloud.tools.jib.docker.json; from: com.google.cloud.tools.jib.image to: com.google.cloud.tools.jib.json; from: com.google.cloud.tools.jib.image to: com.google.cloud.tools.jib.configuration; from: com.google.cloud.tools.jib.image to: com.google.cloud.tools.jib.tar; from: com.google.cloud.tools.jib.image to: com.google.cloud.tools.jib.hash; from: com.google.cloud.tools.jib.image.json to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.image.json to: com.google.cloud.tools.jib.json; from: com.google.cloud.tools.jib.image.json to: com.google.cloud.tools.jib.image; from: com.google.cloud.tools.jib.image.json to: com.google.cloud.tools.jib.blob; from: com.google.cloud.tools.jib.image.json to: com.google.cloud.tools.jib.configuration; from: com.google.cloud.tools.jib.image.json to: com.google.cloud.tools.jib.hash; from: com.google.cloud.tools.jib.json to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.http to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.http to: com.google.cloud.tools.jib.blob; from: com.google.cloud.tools.jib.registry to: com.google.cloud.tools.jib.blob; from: com.google.cloud.tools.jib.registry to: com.google.cloud.tools.jib.http; from: com.google.cloud.tools.jib.registry to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.registry to: com.google.cloud.tools.jib.event; from: com.google.cloud.tools.jib.registry to: com.google.cloud.tools.jib.global; from: com.google.cloud.tools.jib.registry to: com.google.cloud.tools.jib.image.json; from: com.google.cloud.tools.jib.registry to: com.google.cloud.tools.jib.json; from: com.google.cloud.tools.jib.registry to: com.google.cloud.tools.jib.hash; from: com.google.cloud.tools.jib.registry to: com.google.cloud.tools.jib.registry.json; from: com.google.cloud.tools.jib.registry to: com.google.cloud.tools.jib; from: com.google.cloud.tools.jib.registry.credentials to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.registry.credentials to: com.google.cloud.tools.jib.json; from: com.google.cloud.tools.jib.registry.credentials to: com.google.cloud.tools.jib.registry.credentials.json; from: com.google.cloud.tools.jib.registry.credentials to: com.google.cloud.tools.jib.registry; from: com.google.cloud.tools.jib.api to: com.google.cloud.tools.jib.configuration; from: com.google.cloud.tools.jib.api to: com.google.cloud.tools.jib.image.json; from: com.google.cloud.tools.jib.api to: com.google.cloud.tools.jib.docker; from: com.google.cloud.tools.jib.api to: com.google.cloud.tools.jib.registry; from: com.google.cloud.tools.jib.api to: com.google.cloud.tools.jib.event.progress; from: com.google.cloud.tools.jib.api to: com.google.cloud.tools.jib; from: com.google.cloud.tools.jib.api to: com.google.cloud.tools.jib.event.events; from: com.google.cloud.tools.jib.api to: com.google.cloud.tools.jib.builder.steps; from: com.google.cloud.tools.jib.api to: com.google.cloud.tools.jib.event; from: com.google.cloud.tools.jib.api to: com.google.cloud.tools.jib.filesystem; from: com.google.cloud.tools.jib.api to: com.google.cloud.tools.jib.http; from: com.google.cloud.tools.jib.builder to: com.google.cloud.tools.jib.event; from: com.google.cloud.tools.jib.builder to: com.google.cloud.tools.jib.event.events; from: com.google.cloud.tools.jib.builder to: com.google.cloud.tools.jib.event.progress; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.image; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.image.json; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.registry; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.configuration; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.builder; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.blob; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.cache; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.event; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.filesystem; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.registry.credentials; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.json; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.hash; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.event.progress; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.docker; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.docker.json; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.tar; from: com.google.cloud.tools.jib.builder.steps to: com.google.cloud.tools.jib.global; from: com.google.cloud.tools.jib.blob to: com.google.cloud.tools.jib.hash; from: com.google.cloud.tools.jib.blob to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.blob to: com.google.cloud.tools.jib.json; from: com.google.cloud.tools.jib.tar to: com.google.cloud.tools.jib.blob; from: com.google.cloud.tools.jib.event.progress to: com.google.cloud.tools.jib.event; from: com.google.cloud.tools.jib.event.progress to: com.google.cloud.tools.jib.event.events; from: com.google.cloud.tools.jib.event to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.event.events to: com.google.cloud.tools.jib.event; from: com.google.cloud.tools.jib.event.events to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.event.events to: com.google.cloud.tools.jib.event.progress; from: com.google.cloud.tools.jib.plugins.common to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.plugins.common to: com.google.cloud.tools.jib.configuration; from: com.google.cloud.tools.jib.plugins.common to: com.google.cloud.tools.jib.filesystem; from: com.google.cloud.tools.jib.plugins.common to: com.google.cloud.tools.jib.registry; from: com.google.cloud.tools.jib.plugins.common to: com.google.cloud.tools.jib.http; from: com.google.cloud.tools.jib.plugins.common to: com.google.cloud.tools.jib.frontend; from: com.google.cloud.tools.jib.plugins.common to: com.google.cloud.tools.jib.event.events; from: com.google.cloud.tools.jib.plugins.common to: com.google.cloud.tools.jib; from: com.google.cloud.tools.jib.plugins.common to: com.google.cloud.tools.jib.json; from: com.google.cloud.tools.jib.plugins.common to: com.google.cloud.tools.jib.global; from: com.google.cloud.tools.jib.plugins.common.logging to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.gradle.skaffold to: com.google.cloud.tools.jib.gradle; from: com.google.cloud.tools.jib.gradle.skaffold to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.gradle.skaffold to: com.google.cloud.tools.jib.plugins.common; from: com.google.cloud.tools.jib.gradle to: com.google.cloud.tools.jib.filesystem; from: com.google.cloud.tools.jib.gradle to: com.google.cloud.tools.jib.configuration; from: com.google.cloud.tools.jib.gradle to: com.google.cloud.tools.jib.api; from: com.google.cloud.tools.jib.gradle to: com.google.cloud.tools.jib.plugins.common; from: com.google.cloud.tools.jib.gradle to: com.google.cloud.tools.jib; from: com.google.cloud.tools.jib.gradle to: com.google.cloud.tools.jib.blob; from: com.google.cloud.tools.jib.gradle to: com.google.cloud.tools.jib.registry; from: com.google.cloud.tools.jib.gradle to: com.google.cloud.tools.jib.gradle.skaffold; from: com.google.cloud.tools.jib.gradle to: com.google.cloud.tools.jib.plugins.common.logging; from: com.google.cloud.tools.jib.gradle to: com.google.cloud.tools.jib.event.events; from: com.google.cloud.tools.jib.gradle to: com.google.cloud.tools.jib.docker; from: example.resources to: example; from: example.resources to: example.config; from: name to: common.
v2.0.0-gradle,a059e11fbf969dab84f1ed3743df816036c34b35,Tue Jan 28 19:29:24 CET 2020,jib,example,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: example; example.resources
v2.0.0-gradle,a059e11fbf969dab84f1ed3743df816036c34b35,Tue Jan 28 19:29:24 CET 2020,jib,example,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HelloWorld; HelloWorld]; [HelloWorld]; [HelloWorld]; [JibExampleApplication; JibExampleConfiguration]; [HelloWorld]. LCC (Lack of Component Cohesion) = 0.71
v2.0.0-gradle,a059e11fbf969dab84f1ed3743df816036c34b35,Tue Jan 28 19:29:24 CET 2020,jib,hello,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HelloController]; [Application; Application; Application; Application]; [HelloController]; [HelloController]; [HelloController]. LCC (Lack of Component Cohesion) = 0.63
v2.0.0-gradle,a059e11fbf969dab84f1ed3743df816036c34b35,Tue Jan 28 19:29:24 CET 2020,jib,com.google.cloud.tools.jib.maven,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34
v2.0.0-gradle,a059e11fbf969dab84f1ed3743df816036c34b35,Tue Jan 28 19:29:24 CET 2020,jib,com.google.cloud.tools.jib.maven.skaffold,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SyncMapMojoTest; SyncMapMojo]; [PackageGoalsMojoTest; PackageGoalsMojo; SkaffoldBindingMojo; FilesMojoV2KotlinTest; FilesMojoV2; FilesMojoV2Test; CheckJibVersionMojoTest; CheckJibVersionMojo; FilesMojo]; [InitMojoTest; InitMojo]. LCC (Lack of Component Cohesion) = 0.23
v2.0.0-gradle,a059e11fbf969dab84f1ed3743df816036c34b35,Tue Jan 28 19:29:24 CET 2020,jib,com.google.cloud.tools.jib.configuration,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.cloud.tools.jib.configuration; com.google.cloud.tools.jib.api
v2.0.0-gradle,a059e11fbf969dab84f1ed3743df816036c34b35,Tue Jan 28 19:29:24 CET 2020,jib,com.google.cloud.tools.jib.configuration,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.cloud.tools.jib.configuration; com.google.cloud.tools.jib.event; com.google.cloud.tools.jib.api
v2.0.0-gradle,a059e11fbf969dab84f1ed3743df816036c34b35,Tue Jan 28 19:29:24 CET 2020,jib,com.google.cloud.tools.jib.configuration,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.cloud.tools.jib.configuration; com.google.cloud.tools.jib.event; com.google.cloud.tools.jib.api; com.google.cloud.tools.jib.image.json
