"name","fork project","commits","branches","default branch","releases","contributors","license","watchers","stargazers","forks","size","created","pushed","updated","homepage","main language","total issues","open issues","total pull requests","open pull requests","last commit","last commit SHA","has wiki","is archived","languages","labels"
"airbnb/lottie-android","false","1286","26","master","29","95","Apache License 2.0","873","30853","4935","134854","2016-10-06 22:42:42.0","2021-03-25 18:08:59.0","2021-03-26 03:08:41.0","http://airbnb.io/lottie/","Java","1260","25","494","3","2021-03-25 17:32:57.0","c50f672cbf0ce3ebbfceb8309a9c20c42b5120fe","false","false","Java,Kotlin,Shell,JavaScript","Crash,Good first issue,Help wanted,Incorrect Template Usage,Needs more info,New feature,Non-Rendering Bug,Rendering bug,Sample App,Text,compose,duplicate"
"alibaba/arouter","false","292","3","develop","19","19","Apache License 2.0","372","12858","2248","26563","2016-12-14 01:27:49.0","2021-02-06 18:13:23.0","2021-02-09 16:25:56.0","","Java","766","23","129","5","2021-01-04 10:15:30.0","38c0eeae79253a9bfb0d5f1b19f63c31c4364b9c","true","false","Java,Groovy,Kotlin,HTML","bug,duplicate,enhancement (新需求),help wanted,invalid,question (待确认),wontfix,挺好"
"alibaba/arthas","false","1510","10","master","33","127","Apache License 2.0","1138","25155","5515","22897","2018-08-29 17:15:57.0","2021-03-29 09:32:03.0","2021-03-29 12:51:47.0","https://arthas.aliyun.com/","Java","1250","143","497","30","2021-03-29 09:31:48.0","fccdd5c313d28f29e6ec2705a929d695eb2877b4","true","false","Java,JavaScript,HTML,Shell,Python,CSS,Batchfile,Roff,Makefile,Dockerfile,ActionScript,Groovy","4.0,SoC2019,SoC2020,bug,dependencies,disscuss,duplicate,enhancement,feature,help wanted,invalid,kind/feature-request,kind/research,not-a-bug,question-answered,question-unanswered,someday,user-case,wontfix"
"alibaba/canal","false","1411","9","master","26","121","Apache License 2.0","1185","17858","5555","18359","2013-01-13 10:59:52.0","2021-02-22 06:30:47.0","2021-02-22 13:06:26.0","","Java","2905","547","470","53","2020-12-31 03:33:01.0","8cfb07f07ec9c321500e869559d6e78419ba27a1","true","false","Java,Vue,JavaScript,Shell,PLpgSQL,SCSS,HTML,Batchfile,Dockerfile,Python,CSS","bug,document,duplicate,enhancement,feature,invalid,note,question,type/SoC2019,wontfix"
"alibaba/druid","false","6395","10","master","41","147","Other","1809","23522","7660","64359","2011-11-03 05:12:51.0","2021-03-22 06:34:13.0","2021-03-22 11:17:08.0","https://github.com/alibaba/druid/wiki","Java","3131","1904","1066","56","2021-03-21 15:49:03.0","49be9ac6042fdac81616f7c57de54395bc6dfcf2","true","false","Java,HTML,TSQL,JavaScript,PLSQL,CSS,Batchfile,Shell","Alibaba,Bug,Enhancement,Need Infos,New Feature,OldVersion,Pool,Question,SQLParser,SpringBoot,type/SoC2019"
"alibaba/fastjson","false","3810","19","master","81","149","Apache License 2.0","1376","23162","6205","14943","2011-11-03 06:58:52.0","2021-03-29 09:17:04.0","2021-03-29 13:17:44.0","https://github.com/alibaba/fastjson/wiki","Java","2990","1505","685","97","2021-03-23 15:00:58.0","9b8b186772e40a1229c2212bbf40a23e45d1f0f2","true","false","Java,Kotlin,JavaScript,Shell","Android,New Feature,OldVersion,bug,dependencies,enhancement,needs info,question,type/SoC2019"
"alibaba/nacos","false","3031","31","develop","36","159","Apache License 2.0","812","16903","6567","40952","2018-06-15 06:49:27.0","2021-03-29 15:04:10.0","2021-03-30 00:39:07.0","https://nacos.io","Java","3680","255","1522","15","2021-03-29 07:23:55.0","6d500c92ab0044aa080596f8469b9166706781d7","true","false","Java,SCSS,Shell,JavaScript,TypeScript,Batchfile","SoC2020,Soc2019,area/Client,area/Config,area/DNS-Server,area/Document,area/Dubbo,area/Istio,area/Kubernetes,area/Nacos Core,area/Nacos console,area/Naming,area/Service Mesh,area/Spring,area/Spring Boot,area/Spring Cloud,area/Test,contribution welcome,dependencies,expired,follow up,go,good first issue,help wanted,java,kind/bug,kind/code quality,kind/discussion,kind/enhancement,kind/feature,kind/notice,kind/performance,kind/proposal,kind/question,kind/refactor,kind/research,kind/typo,kind/user experience,os/windows,pending,priority/blocker,priority/high,priority/low,priority/normal,priority/urgent,status/duplicate,status/inactive,status/invalid,status/lack env information,status/merge-conflict,status/more-info-needed,status/need discuss,status/need feedback,status/wontfix,version/2.x,weekly-report"
"alibaba/sentinel","false","684","21","master","17","133","Apache License 2.0","750","15643","5360","7091","2018-04-04 06:37:33.0","2021-03-27 02:25:45.0","2021-03-27 18:48:59.0","https://sentinelguard.io/","Java","1438","261","642","68","2021-03-23 02:46:01.0","744be07a573a5d060f90f99226b3b171f384844a","true","false","Java,JavaScript,HTML,CSS,Shell,Dockerfile","ASoC2020,SoC2019,api-change,area/adaptive-traffic-shaping,area/annotation,area/benchmark,area/ci,area/circuit-breaking,area/cloud-native,area/cluster-flow,area/concurrency-limiting,area/configuration,area/dashboard,area/data-source,area/document,area/example,area/flow-control,area/gateway-flow-control,area/hotspot-param-flow,area/integrations,area/logging,area/metrics,area/performance,area/polyglot,area/test,dependencies,duplicate,good first issue,help wanted,inactive,integration/spring-cloud,invalid,java,javascript,kind/bug,kind/discussion,kind/enhancement,kind/feature,kind/notice,kind/question,kind/refactor,merge-conflict,priority/high,priority/low,priority/normal,priority/urgent,size/L,size/M,size/S,size/XL,size/XS,size/XXL,size/∞,to-review,typo/format,weekly-report,wontfix"
"alibaba/spring-cloud-alibaba","false","1744","7","master","21","100","Apache License 2.0","962","18101","5512","6378","2017-12-01 20:49:15.0","2021-03-29 12:40:11.0","2021-03-30 00:37:55.0","https://spring.io/projects/spring-cloud-alibaba","Java","1349","271","649","50","2021-03-25 02:20:17.0","51a8b32ff39e6cac29ba80db36cbed5f31683a9e","true","false","Java,Shell,JavaScript,HTML","SoC2019,SoC2020,alicloud,bug,component bug,conflicts,dependencies,discussion,docs,dubbo,duplicate,enhancement,good first issue,help wanted,initializr,invalid,nacos,question,rocketmq,seata,sentinel,sidecar,to review,typo/format,waiting for feedback,wontfix"
"alibaba/vlayout","false","364","12","master","43","16","MIT License","345","10625","1799","1716","2017-02-27 08:11:47.0","2020-07-07 02:01:19.0","2020-12-07 09:45:12.0","http://tangram.pingguohe.net/","Java","494","183","23","5","2020-05-14 06:31:24.0","54687a7eb56a920dd1d3606585ce4ef15e716c6a","true","false","",""
