NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.adminservice.controller.AppControllerTest;com.ctrip.framework.apollo.adminservice.controller.AppController;75;8;12;59;5.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.adminservice.controller.AppNamespaceControllerTest;com.ctrip.framework.apollo.adminservice.controller.AppNamespaceController;22;1;3;17;7.0;0.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.adminservice.controller.InstanceConfigControllerTest;com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController;218;10;34;99;5.0;2.0;1.0;13.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.adminservice.controller.ItemSetControllerTest;com.ctrip.framework.apollo.adminservice.controller.ItemSetController;119;3;9;73;3.0;0.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.adminservice.controller.ReleaseControllerTest;com.ctrip.framework.apollo.adminservice.controller.ReleaseController;54;2;4;26;3.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.eureka.ApolloEurekaClientConfigTest;com.ctrip.framework.apollo.biz.eureka.ApolloEurekaClientConfig;37;3;9;20;2.0;2.0;0.0;1.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.grayReleaseRule.GrayReleaseRulesHolderTest;com.ctrip.framework.apollo.biz.grayReleaseRule.GrayReleaseRulesHolder;71;5;11;30;16.0;4.0;0.0;13.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.message.DatabaseMessageSenderTest;com.ctrip.framework.apollo.biz.message.DatabaseMessageSender;24;3;10;15;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.message.ReleaseMessageScannerTest;com.ctrip.framework.apollo.biz.message.ReleaseMessageScanner;45;3;8;19;4.0;1.0;0.0;6.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.repository.AppNamespaceRepositoryTest;com.ctrip.framework.apollo.biz.repository.AppNamespaceRepository;11;2;4;5;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.repository.AppRepositoryTest;com.ctrip.framework.apollo.biz.repository.AppRepository;33;2;2;16;2.0;0.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.service.AdminServiceTest;com.ctrip.framework.apollo.biz.service.AdminService;43;2;4;26;6.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.service.ClusterServiceTest;com.ctrip.framework.apollo.biz.service.ClusterService;18;1;2;9;0.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.service.InstanceServiceTest;com.ctrip.framework.apollo.biz.service.InstanceService;145;10;21;71;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.service.NamespaceBranchServiceTest;com.ctrip.framework.apollo.biz.service.NamespaceBranchService;97;7;8;75;2.0;3.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.service.NamespaceServiceTest;com.ctrip.framework.apollo.biz.service.NamespaceService;42;1;1;17;8.0;3.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.service.PrivilegeServiceTest;com.ctrip.framework.apollo.biz.service.PrivilegeService;53;2;4;45;4.0;3.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.service.ReleaseServiceTest;com.ctrip.framework.apollo.biz.service.ReleaseService;104;9;18;67;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.service.ServerConfigServiceTest;com.ctrip.framework.apollo.biz.service.ServerConfigService;63;9;19;36;2.0;3.0;0.0;36.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.biz.utils.ReleaseKeyGeneratorTest;com.ctrip.framework.apollo.biz.utils.ReleaseKeyGenerator;34;3;6;13;1.0;0.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.ConfigServiceTest;com.ctrip.framework.apollo.ConfigService;91;5;11;22;1.0;3.0;0.0;4.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.internals.DefaultConfigTest;com.ctrip.framework.apollo.internals.DefaultConfig;294;21;43;128;3.0;2.0;0.0;27.0;0.0;2.0;2.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.internals.DefaultConfigManagerTest;com.ctrip.framework.apollo.internals.DefaultConfigManager;75;5;13;15;2.0;2.0;0.0;3.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.internals.JsonConfigFileTest;com.ctrip.framework.apollo.internals.JsonConfigFile;61;6;13;42;4.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.internals.LocalFileConfigRepositoryTest;com.ctrip.framework.apollo.internals.LocalFileConfigRepository;114;10;29;54;2.0;2.0;0.0;27.0;0.0;2.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.internals.PropertiesConfigFileTest;com.ctrip.framework.apollo.internals.PropertiesConfigFile;62;6;16;48;3.0;3.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.internals.RemoteConfigLongPollServiceTest;com.ctrip.framework.apollo.internals.RemoteConfigLongPollService;242;15;67;123;2.0;2.0;0.0;58.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.internals.RemoteConfigRepositoryTest;com.ctrip.framework.apollo.internals.RemoteConfigRepository;148;8;23;72;2.0;2.0;0.0;9.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.internals.SimpleConfigTest;com.ctrip.framework.apollo.internals.SimpleConfig;65;5;10;31;2.0;2.0;0.0;1.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.internals.XmlConfigFileTest;com.ctrip.framework.apollo.internals.XmlConfigFile;61;6;13;42;4.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.spi.DefaultConfigFactoryTest;com.ctrip.framework.apollo.spi.DefaultConfigFactory;68;4;10;31;6.0;2.0;0.0;5.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.spi.DefaultConfigFactoryManagerTest;com.ctrip.framework.apollo.spi.DefaultConfigFactoryManager;70;5;14;16;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.spi.DefaultConfigRegistryTest;com.ctrip.framework.apollo.spi.DefaultConfigRegistry;28;3;8;7;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.util.ExceptionUtilTest;com.ctrip.framework.apollo.util.ExceptionUtil;31;4;8;8;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.4.0;2219b0a23544b06a138fdfbc34a4320b2d9e00b5;Tue Dec 06 15:38:42 CET 2016;com.ctrip.framework.apollo.common.utils.InputValidatorTest;com.ctrip.framework.apollo.common.utils.InputValidator;15;2;4;4;3.0;2.0;0.0;0.0;0.0;0.0;0.0
