NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
butterknife-parent-1.3.0;ccdb93e3034e80c000273fd77e28ac5d34ab4783;Tue Mar 26 19:08:19 CET 2013;butterknife.ViewsTest;butterknife.Views;8;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
butterknife-parent-1.3.1;6bb4c5c9195ca9860604fe11c83bc30ed7a641c5;Sat Apr 13 02:51:25 CEST 2013;butterknife.ViewsTest;butterknife.Views;8;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
butterknife-parent-1.3.1;6bb4c5c9195ca9860604fe11c83bc30ed7a641c5;Sat Apr 13 02:51:25 CEST 2013;com.example.butterknife.SimpleActivityTest;com.example.butterknife.SimpleActivity;11;1;2;4;5.0;0.0;0.0;0.0;0.0;0.0;0.0
butterknife-parent-1.3.1;6bb4c5c9195ca9860604fe11c83bc30ed7a641c5;Sat Apr 13 02:51:25 CEST 2013;com.example.butterknife.SimpleAdapterTest;com.example.butterknife.SimpleAdapter;10;1;2;4;3.0;0.0;0.0;0.0;0.0;0.0;0.0
butterknife-parent-1.3.2;0ce136ddde5a6c0bc51bde03808b3693451897c9;Sun Apr 28 08:55:40 CEST 2013;butterknife.ViewsTest;butterknife.Views;18;3;4;8;3.0;5.0;0.0;0.0;0.0;0.0;0.0
butterknife-parent-1.3.2;0ce136ddde5a6c0bc51bde03808b3693451897c9;Sun Apr 28 08:55:40 CEST 2013;test.TargetTest;test.Target;9;1;1;3;3.0;0.0;0.0;0.0;0.0;0.0;0.0
butterknife-parent-1.3.2;0ce136ddde5a6c0bc51bde03808b3693451897c9;Sun Apr 28 08:55:40 CEST 2013;test.TargetTest;test.Target;10;1;1;4;4.0;0.0;0.0;0.0;0.0;0.0;0.0
butterknife-parent-1.3.2;0ce136ddde5a6c0bc51bde03808b3693451897c9;Sun Apr 28 08:55:40 CEST 2013;com.example.butterknife.SimpleActivityTest;com.example.butterknife.SimpleActivity;11;1;2;4;5.0;0.0;0.0;0.0;0.0;0.0;0.0
butterknife-parent-1.3.2;0ce136ddde5a6c0bc51bde03808b3693451897c9;Sun Apr 28 08:55:40 CEST 2013;com.example.butterknife.SimpleAdapterTest;com.example.butterknife.SimpleAdapter;10;1;2;4;3.0;0.0;0.0;0.0;0.0;0.0;0.0
butterknife-parent-1.4.0;e67af0b892bc08aed4aab4aa5a53ec6b6f7306b4;Tue Jun 04 07:29:53 CEST 2013;butterknife.ViewsTest;butterknife.Views;30;4;5;13;2.0;5.0;0.0;0.0;0.0;0.0;0.0
