NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.AggregateEventHandlerTest;com.lmax.disruptor.AggregateEventHandler;74;4;8;15;0.0;2.0;0.0;0.0;0.0;0.0;0.0
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.BatchEventProcessorTest;com.lmax.disruptor.BatchEventProcessor;84;6;13;48;1.0;2.0;0.0;0.0;0.0;0.0;0.0
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.BusySpinWaitStrategyTest;com.lmax.disruptor.BusySpinWaitStrategy;5;1;2;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.EventTranslatorTest;com.lmax.disruptor.EventTranslator;18;1;1;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.FatalExceptionHandlerTest;com.lmax.disruptor.FatalExceptionHandler;24;2;3;8;1.0;1.0;0.0;0.0;0.0;0.0;0.0
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.FixedSequenceGroupTest;com.lmax.disruptor.FixedSequenceGroup;12;1;2;4;3.0;2.0;0.0;0.0;0.0;0.0;0.0
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.IgnoreExceptionHandlerTest;com.lmax.disruptor.IgnoreExceptionHandler;19;2;2;6;0.0;1.0;0.0;0.0;0.0;0.0;0.0
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.LifecycleAwareTest;com.lmax.disruptor.LifecycleAware;30;1;3;6;2.0;0.0;0.0;0.0;0.0;0.0;0.0
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.MultiProducerPublisherTest;com.lmax.disruptor.MultiProducerPublisher;31;3;8;13;2.0;2.0;0.0;0.0;0.0;0.0;0.0
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.OffHeapRingBufferTest;com.lmax.disruptor.OffHeapRingBuffer;29;2;4;19;2.0;5.0;0.0;0.0;0.0;0.0;0.0
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.PhasedBackoffWaitStrategyTest;com.lmax.disruptor.PhasedBackoffWaitStrategy;18;4;8;12;2.0;2.0;0.0;0.0;0.0;0.0;0.0
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.PreallocatedRingBufferTest;com.lmax.disruptor.PreallocatedRingBuffer;139;9;24;76;4.0;5.0;0.0;0.0;0.0;0.0;0.0
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.SequenceBarrierTest;com.lmax.disruptor.SequenceBarrier;161;10;24;65;2.0;2.0;0.0;0.0;0.0;0.0;0.0
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.SequenceGroupTest;com.lmax.disruptor.SequenceGroup;49;6;6;21;2.0;3.0;0.0;0.0;0.0;0.0;0.0
mike_3x_experimental;ba1f83ad7820a94906048205361a743a8ec1ade1;Thu Oct 11 13:36:04 CEST 2012;com.lmax.disruptor.SingleProducerPublisherTest;com.lmax.disruptor.SingleProducerPublisher;23;2;6;9;3.0;2.0;0.0;0.0;0.0;0.0;0.0
