NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.integration.gifencoder.ReEncodingGifResourceEncoderTest;com.bumptech.glide.integration.gifencoder.ReEncodingGifResourceEncoder;199;21;65;219;2.0;2.0;0.0;91.0;0.0;1.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.GlideTest;com.bumptech.glide.Glide;425;58;116;310;2.0;2.0;2.0;113.0;0.0;2.0;1.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.ListPreloaderTest;com.bumptech.glide.ListPreloader;263;33;81;105;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.RequestBuilderTest;com.bumptech.glide.RequestBuilder;63;14;22;46;0.0;4.0;0.0;11.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.RequestManagerTest;com.bumptech.glide.RequestManager;79;16;35;47;2.0;2.0;0.0;64.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.data.ExifOrientationStreamTest;com.bumptech.glide.load.data.ExifOrientationStream;23;3;9;6;2.0;0.0;0.0;1.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.data.FileDescriptorAssetPathFetcherTest;com.bumptech.glide.load.data.FileDescriptorAssetPathFetcher;34;5;15;24;0.0;2.0;0.0;12.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.data.resource.FileDescriptorLocalUriFetcherTest;com.bumptech.glide.load.data.FileDescriptorLocalUriFetcher;29;3;8;21;0.0;0.0;0.0;0.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.data.HttpUrlFetcherTest;com.bumptech.glide.load.data.HttpUrlFetcher;61;10;30;45;0.0;2.0;0.0;35.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.data.LocalUriFetcherTest;com.bumptech.glide.load.data.LocalUriFetcher;38;4;11;16;0.0;3.0;0.0;0.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.data.StreamAssetPathFetcherTest;com.bumptech.glide.load.data.StreamAssetPathFetcher;31;5;15;22;0.0;2.0;0.0;8.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.data.resource.StreamLocalUriFetcherTest;com.bumptech.glide.load.data.StreamLocalUriFetcher;26;3;8;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.data.mediastore.ThumbFetcherTest;com.bumptech.glide.load.data.mediastore.ThumbFetcher;26;4;9;19;0.0;3.0;0.0;2.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.data.mediastore.ThumbnailStreamOpenerTest;com.bumptech.glide.load.data.mediastore.ThumbnailStreamOpener;76;11;20;59;2.0;2.0;0.0;1.0;0.0;0.0;1.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.MultiTransformationTest;com.bumptech.glide.load.MultiTransformation;59;8;23;60;3.0;2.0;0.0;1.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.OptionsTest;com.bumptech.glide.load.Options;9;1;1;4;0.0;1.0;0.0;0.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.engine.bitmap_recycle.AttributeStrategyTest;com.bumptech.glide.load.engine.bitmap_recycle.AttributeStrategy;63;10;18;38;2.0;3.0;0.0;0.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.engine.bitmap_recycle.GroupedLinkedMapTest;com.bumptech.glide.load.engine.bitmap_recycle.GroupedLinkedMap;72;6;8;21;2.0;3.0;0.0;0.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.engine.bitmap_recycle.LruArrayPoolTest;com.bumptech.glide.load.engine.bitmap_recycle.LruArrayPool;71;12;19;36;5.0;3.0;0.0;8.0;0.0;0.0;0.0
v4.0.0-RC0;ab534710686611e09527d9743f1ffafee21cdb76;Wed May 17 16:42:52 CEST 2017;com.bumptech.glide.load.engine.bitmap_recycle.LruBitmapPoolTest;com.bumptech.glide.load.engine.bitmap_recycle.LruBitmapPool;165;24;33;79;2.0;2.0;0.0;46.0;0.0;0.0;0.0
