NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
5.3.4;c2d70a4613954fd13484b2ba849dae891c539f6e;Sat May 09 18:14:29 CEST 2020;cn.hutool.bloomfilter.BitMapBloomFilterTest;cn.hutool.bloomfilter.BitMapBloomFilter;31;3;5;11;0.0;2.0;0.0;0.0;0.0;0.0;0.0
5.3.4;c2d70a4613954fd13484b2ba849dae891c539f6e;Sat May 09 18:14:29 CEST 2020;cn.hutool.cache.test.CacheTest;cn.hutool.cache.Cache;61;4;5;26;4.0;5.0;0.0;0.0;0.0;0.0;0.0
5.3.4;c2d70a4613954fd13484b2ba849dae891c539f6e;Sat May 09 18:14:29 CEST 2020;cn.hutool.captcha.CaptchaUtilTest;cn.hutool.captcha.CaptchaUtil;7;1;2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5.3.4;c2d70a4613954fd13484b2ba849dae891c539f6e;Sat May 09 18:14:29 CEST 2020;cn.hutool.core.annotation.AnnotationUtilTest;cn.hutool.core.annotation.AnnotationUtil;8;1;1;2;0.0;2.0;0.0;0.0;0.0;0.0;0.0
5.3.4;c2d70a4613954fd13484b2ba849dae891c539f6e;Sat May 09 18:14:29 CEST 2020;cn.hutool.core.bean.BeanDescTest;cn.hutool.core.bean.BeanDesc;88;5;5;32;2.0;5.0;0.0;0.0;0.0;0.0;0.0
5.3.4;c2d70a4613954fd13484b2ba849dae891c539f6e;Sat May 09 18:14:29 CEST 2020;cn.hutool.core.bean.BeanPathTest;cn.hutool.core.bean.BeanPath;71;7;8;24;2.0;2.0;0.0;0.0;0.0;0.0;0.0
5.3.4;c2d70a4613954fd13484b2ba849dae891c539f6e;Sat May 09 18:14:29 CEST 2020;cn.hutool.core.bean.BeanUtilTest;cn.hutool.core.bean.BeanUtil;254;22;28;128;2.0;2.0;0.0;0.0;0.0;0.0;0.0
5.3.4;c2d70a4613954fd13484b2ba849dae891c539f6e;Sat May 09 18:14:29 CEST 2020;cn.hutool.core.bean.DynaBeanTest;cn.hutool.core.bean.DynaBean;43;1;2;8;3.0;6.0;0.0;0.0;0.0;0.0;0.0
5.3.4;c2d70a4613954fd13484b2ba849dae891c539f6e;Sat May 09 18:14:29 CEST 2020;cn.hutool.core.codec.Base32Test;cn.hutool.core.codec.Base32;9;1;1;3;1.0;7.0;0.0;0.0;0.0;0.0;0.0
5.3.4;c2d70a4613954fd13484b2ba849dae891c539f6e;Sat May 09 18:14:29 CEST 2020;cn.hutool.core.codec.Base62Test;cn.hutool.core.codec.Base62;13;1;1;3;1.0;7.0;0.0;0.0;0.0;0.0;0.0
5.3.4;c2d70a4613954fd13484b2ba849dae891c539f6e;Sat May 09 18:14:29 CEST 2020;cn.hutool.core.codec.Base64Test;cn.hutool.core.codec.Base64;34;4;4;14;2.0;13.0;0.0;0.0;0.0;1.0;0.0
5.3.4;c2d70a4613954fd13484b2ba849dae891c539f6e;Sat May 09 18:14:29 CEST 2020;cn.hutool.core.codec.BCDTest;cn.hutool.core.codec.BCD;8;1;1;3;1.0;2.0;0.0;0.0;0.0;0.0;0.0
5.3.4;c2d70a4613954fd13484b2ba849dae891c539f6e;Sat May 09 18:14:29 CEST 2020;cn.hutool.core.codec.CaesarTest;cn.hutool.core.codec.Caesar;9;1;1;3;1.0;2.0;0.0;0.0;0.0;0.0;0.0
5.3.4;c2d70a4613954fd13484b2ba849dae891c539f6e;Sat May 09 18:14:29 CEST 2020;cn.hutool.core.codec.MorseTest;cn.hutool.core.codec.Morse;21;3;3;10;2.0;2.0;0.0;0.0;0.0;0.0;0.0
