NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
v1.4.23;b7ef9b1fecbc287283c33229d354a5c67c7e2bb7;Wed Jan 13 22:08:54 CET 2016;com.netflix.hystrix.contrib.codahalemetricspublisher.ConfigurableCodaHaleMetricFilterTest;com.netflix.hystrix.contrib.codahalemetricspublisher.ConfigurableCodaHaleMetricFilter;39;6;8;35;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.4.23;b7ef9b1fecbc287283c33229d354a5c67c7e2bb7;Wed Jan 13 22:08:54 CET 2016;com.netflix.hystrix.contrib.javanica.cache.CacheInvocationContextFactoryTest;com.netflix.hystrix.contrib.javanica.cache.CacheInvocationContextFactory;77;6;12;54;10.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.4.23;b7ef9b1fecbc287283c33229d354a5c67c7e2bb7;Wed Jan 13 22:08:54 CET 2016;com.netflix.hystrix.contrib.javanica.cache.CacheInvocationParameterTest;com.netflix.hystrix.contrib.javanica.cache.CacheInvocationParameter;24;2;4;13;6.0;5.0;0.0;0.0;0.0;0.0;0.0
v1.4.23;b7ef9b1fecbc287283c33229d354a5c67c7e2bb7;Wed Jan 13 22:08:54 CET 2016;com.netflix.hystrix.contrib.javanica.cache.HystrixCacheKeyGeneratorTest;com.netflix.hystrix.contrib.javanica.cache.HystrixCacheKeyGenerator;75;3;6;38;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.4.23;b7ef9b1fecbc287283c33229d354a5c67c7e2bb7;Wed Jan 13 22:08:54 CET 2016;com.netflix.hystrix.contrib.javanica.test.common.CommonUtils;com.netflix.hystrix.contrib.javanica.utils.CommonUtils;39;7;18;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
v1.4.23;b7ef9b1fecbc287283c33229d354a5c67c7e2bb7;Wed Jan 13 22:08:54 CET 2016;com.netflix.hystrix.contrib.javanica.util.FallbackMethodTest;com.netflix.hystrix.contrib.javanica.utils.FallbackMethod;52;5;9;23;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.4.23;b7ef9b1fecbc287283c33229d354a5c67c7e2bb7;Wed Jan 13 22:08:54 CET 2016;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsPollerTest;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsPoller;54;3;6;13;3.0;3.0;0.0;0.0;0.0;0.0;0.0
v1.4.23;b7ef9b1fecbc287283c33229d354a5c67c7e2bb7;Wed Jan 13 22:08:54 CET 2016;com.netflix.hystrix.contrib.rxnetty.metricsstream.HystrixMetricsStreamHandlerTest;com.netflix.hystrix.contrib.rxnetty.metricsstream.HystrixMetricsStreamHandler;57;6;19;38;0.0;0.0;2.0;13.0;0.0;0.0;0.0
v1.5.0-rc.1;56ef8c2d2a5b840aa9f7533c0fd1b865c6ec59ef;Tue Jan 19 21:32:07 CET 2016;com.netflix.hystrix.contrib.codahalemetricspublisher.ConfigurableCodaHaleMetricFilterTest;com.netflix.hystrix.contrib.codahalemetricspublisher.ConfigurableCodaHaleMetricFilter;39;6;8;35;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.5.0-rc.1;56ef8c2d2a5b840aa9f7533c0fd1b865c6ec59ef;Tue Jan 19 21:32:07 CET 2016;com.netflix.hystrix.contrib.javanica.cache.CacheInvocationContextFactoryTest;com.netflix.hystrix.contrib.javanica.cache.CacheInvocationContextFactory;77;6;12;54;10.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.5.0-rc.1;56ef8c2d2a5b840aa9f7533c0fd1b865c6ec59ef;Tue Jan 19 21:32:07 CET 2016;com.netflix.hystrix.contrib.javanica.cache.CacheInvocationParameterTest;com.netflix.hystrix.contrib.javanica.cache.CacheInvocationParameter;24;2;4;13;6.0;5.0;0.0;0.0;0.0;0.0;0.0
v1.5.0-rc.1;56ef8c2d2a5b840aa9f7533c0fd1b865c6ec59ef;Tue Jan 19 21:32:07 CET 2016;com.netflix.hystrix.contrib.javanica.cache.HystrixCacheKeyGeneratorTest;com.netflix.hystrix.contrib.javanica.cache.HystrixCacheKeyGenerator;75;3;6;38;2.0;2.0;0.0;0.0;0.0;0.0;0.0
