NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
v0.4;1eb3555fed815eff9d317914be03f859bf9eecc9;Sun Mar 31 10:02:50 CEST 2013;jadx.tests.StringUtilsTest;jadx.utils.StringUtils;20;3;3;6;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.4.1;5a40d960b2ad9aeae74f984625ae4a7a5b0af5ea;Mon Jun 17 21:07:35 CEST 2013;jadx.tests.StringUtilsTest;jadx.utils.StringUtils;20;3;3;6;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.5.0-beta1;6bac5c162e2e91c1ec2b72bf6f2587f204b20f83;Wed Dec 25 20:55:02 CET 2013;jadx.tests.functional.StringUtilsTest;jadx.core.utils.StringUtils;20;3;3;6;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.5.0-beta1;6bac5c162e2e91c1ec2b72bf6f2587f204b20f83;Wed Dec 25 20:55:02 CET 2013;jadx.gui.treemodel.JRootTest;jadx.gui.treemodel.JRoot;16;1;1;11;3.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.5.0;18a1788d2d4704e8a404c7bbb4b33e660abbb713;Tue Mar 25 19:57:56 CET 2014;jadx.core.dex.nodes.parser.TestSignatureParser;jadx.core.dex.nodes.parser.SignatureParser;48;9;10;47;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.5.0;18a1788d2d4704e8a404c7bbb4b33e660abbb713;Tue Mar 25 19:57:56 CET 2014;jadx.tests.functional.TestIfCondition;jadx.core.dex.regions.IfCondition;62;10;19;44;3.0;3.0;0.0;0.0;0.0;0.0;0.0
v0.5.0;18a1788d2d4704e8a404c7bbb4b33e660abbb713;Tue Mar 25 19:57:56 CET 2014;jadx.tests.functional.StringUtilsTest;jadx.core.utils.StringUtils;20;3;3;6;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.5.0;18a1788d2d4704e8a404c7bbb4b33e660abbb713;Tue Mar 25 19:57:56 CET 2014;jadx.api.TestUtils;jadx.core.utils.Utils;18;2;6;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
v0.5.0;18a1788d2d4704e8a404c7bbb4b33e660abbb713;Tue Mar 25 19:57:56 CET 2014;jadx.gui.treemodel.JRootTest;jadx.gui.treemodel.JRoot;50;7;10;40;3.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.5.1;eaf623a560ec731aa006e42f4c9e0ea0e2985fa1;Fri Jun 20 18:20:35 CEST 2014;jadx.tests.internal.TestClassGen;jadx.core.codegen.ClassGen;22;1;1;8;0.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.5.1;eaf623a560ec731aa006e42f4c9e0ea0e2985fa1;Fri Jun 20 18:20:35 CEST 2014;jadx.tests.functional.TestIfCondition;jadx.core.dex.regions.IfCondition;62;10;19;44;3.0;3.0;0.0;0.0;0.0;0.0;0.0
v0.5.1;eaf623a560ec731aa006e42f4c9e0ea0e2985fa1;Fri Jun 20 18:20:35 CEST 2014;jadx.api.TestUtils;jadx.core.utils.Utils;18;2;6;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
v0.5.1;eaf623a560ec731aa006e42f4c9e0ea0e2985fa1;Fri Jun 20 18:20:35 CEST 2014;jadx.gui.treemodel.JRootTest;jadx.gui.treemodel.JRoot;50;7;10;40;3.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.5.2;671be0af0a497d71c11ae0674e0e66aa68cad40c;Fri Aug 15 21:08:18 CEST 2014;jadx.tests.internal.TestClassGen;jadx.core.codegen.ClassGen;22;1;1;8;0.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.5.2;671be0af0a497d71c11ae0674e0e66aa68cad40c;Fri Aug 15 21:08:18 CEST 2014;jadx.tests.functional.TestIfCondition;jadx.core.dex.regions.IfCondition;62;10;19;44;3.0;3.0;0.0;0.0;0.0;0.0;0.0
v0.5.2;671be0af0a497d71c11ae0674e0e66aa68cad40c;Fri Aug 15 21:08:18 CEST 2014;jadx.api.TestUtils;jadx.core.utils.Utils;21;2;7;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
v0.5.2;671be0af0a497d71c11ae0674e0e66aa68cad40c;Fri Aug 15 21:08:18 CEST 2014;jadx.gui.treemodel.JRootTest;jadx.gui.treemodel.JRoot;50;7;10;40;3.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.5.4;fcb120a3edff42a423d037eb4cb22105d37630b6;Sun Nov 09 13:34:19 CET 2014;jadx.tests.integration.TestClassGen;jadx.core.codegen.ClassGen;21;1;1;7;0.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.5.4;fcb120a3edff42a423d037eb4cb22105d37630b6;Sun Nov 09 13:34:19 CET 2014;jadx.tests.functional.TestIfCondition;jadx.core.dex.regions.conditions.IfCondition;62;10;19;44;3.0;3.0;0.0;0.0;0.0;0.0;0.0
v0.5.4;fcb120a3edff42a423d037eb4cb22105d37630b6;Sun Nov 09 13:34:19 CET 2014;jadx.tests.api.utils.TestUtils;jadx.core.utils.Utils;21;2;7;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
v0.5.4;fcb120a3edff42a423d037eb4cb22105d37630b6;Sun Nov 09 13:34:19 CET 2014;jadx.gui.treemodel.JRootTest;jadx.gui.treemodel.JRoot;50;7;10;40;3.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.6.0;3782aa7d0abbccb27cc338def860cd5573c33b41;Tue Apr 07 22:03:29 CEST 2015;jadx.tests.integration.TestClassGen;jadx.core.codegen.ClassGen;21;1;1;7;0.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.6.0;3782aa7d0abbccb27cc338def860cd5573c33b41;Tue Apr 07 22:03:29 CEST 2015;jadx.tests.functional.TestIfCondition;jadx.core.dex.regions.conditions.IfCondition;62;10;19;44;3.0;3.0;0.0;0.0;0.0;0.0;0.0
v0.6.0;3782aa7d0abbccb27cc338def860cd5573c33b41;Tue Apr 07 22:03:29 CEST 2015;jadx.tests.api.utils.TestUtils;jadx.core.utils.Utils;21;2;7;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
v0.6.0;3782aa7d0abbccb27cc338def860cd5573c33b41;Tue Apr 07 22:03:29 CEST 2015;jadx.gui.treemodel.JSourcesTest;jadx.gui.treemodel.JSources;53;7;10;43;3.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.6.1;913a5b5d0fa54b74058f5f2a6f3eccc87456a912;Mon Dec 05 08:51:43 CET 2016;jadx.cli.JadxCLIArgsTest;jadx.cli.JadxCLIArgs;12;2;4;7;1.0;2.0;1.0;0.0;0.0;0.0;0.0
v0.6.1;913a5b5d0fa54b74058f5f2a6f3eccc87456a912;Mon Dec 05 08:51:43 CET 2016;jadx.tests.integration.TestClassGen;jadx.core.codegen.ClassGen;21;1;1;7;0.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.6.1;913a5b5d0fa54b74058f5f2a6f3eccc87456a912;Mon Dec 05 08:51:43 CET 2016;jadx.tests.functional.TestIfCondition;jadx.core.dex.regions.conditions.IfCondition;62;10;19;44;3.0;3.0;0.0;0.0;0.0;0.0;0.0
v0.6.1;913a5b5d0fa54b74058f5f2a6f3eccc87456a912;Mon Dec 05 08:51:43 CET 2016;jadx.tests.functional.TemplateFileTest;jadx.core.export.TemplateFile;12;1;2;6;0.0;3.0;0.0;0.0;0.0;0.0;0.0
