NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
v1.5.1;36b5f333a4ceda35a978d8739b6e86d6da0c0f7f;Wed May 29 12:41:35 CEST 2019;me.zhyd.oauth.AuthRequestTest;me.zhyd.oauth.request.AuthRequest;77;14;14;98;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.6.0-beta;fde490a2057e74c61fb42e530f595fb00bf980ac;Thu Jun 06 13:23:01 CEST 2019;me.zhyd.oauth.AuthRequestTest;me.zhyd.oauth.request.AuthRequest;77;14;14;98;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.6.1-beta;cf74f811fafd1293f026a5535fe6e15022e1d91a;Wed Jun 19 14:01:03 CEST 2019;me.zhyd.oauth.AuthRequestTest;me.zhyd.oauth.request.AuthRequest;77;14;14;98;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.7.0;12ec6226bc28b3d12f7e9c49dd3da458e4b2a5c2;Thu Jun 20 04:28:29 CEST 2019;me.zhyd.oauth.AuthRequestTest;me.zhyd.oauth.request.AuthRequest;77;14;14;98;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.8.0;88048b763772318bd307a4c3dc745c6096397dc9;Sat Jun 29 09:12:49 CEST 2019;me.zhyd.oauth.AuthRequestTest;me.zhyd.oauth.request.AuthRequest;102;19;19;152;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.8.1;3b80e11824305da6daae5587d27833851000dfd2;Mon Jul 15 13:17:22 CEST 2019;me.zhyd.oauth.AuthRequestTest;me.zhyd.oauth.request.AuthRequest;102;19;19;152;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.8.1;3b80e11824305da6daae5587d27833851000dfd2;Mon Jul 15 13:17:22 CEST 2019;me.zhyd.oauth.utils.AuthStateTest;me.zhyd.oauth.utils.AuthState;134;4;4;30;3.0;5.0;4.0;0.0;0.0;0.0;0.0
v1.8.1;3b80e11824305da6daae5587d27833851000dfd2;Mon Jul 15 13:17:22 CEST 2019;me.zhyd.oauth.utils.GlobalAuthUtilTest;me.zhyd.oauth.utils.GlobalAuthUtil;31;6;6;16;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.9.0;1244524da0f7c1ed9dcd5fcb0ecb2314a76890ef;Fri Jul 19 16:28:35 CEST 2019;me.zhyd.oauth.AuthRequestTest;me.zhyd.oauth.request.AuthRequest;102;19;19;152;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.9.0;1244524da0f7c1ed9dcd5fcb0ecb2314a76890ef;Fri Jul 19 16:28:35 CEST 2019;me.zhyd.oauth.utils.AuthStateTest;me.zhyd.oauth.utils.AuthState;134;4;4;30;3.0;7.0;5.0;0.0;0.0;0.0;0.0
v1.9.0;1244524da0f7c1ed9dcd5fcb0ecb2314a76890ef;Fri Jul 19 16:28:35 CEST 2019;me.zhyd.oauth.utils.GlobalAuthUtilTest;me.zhyd.oauth.utils.GlobalAuthUtil;31;6;6;16;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.9.0;1244524da0f7c1ed9dcd5fcb0ecb2314a76890ef;Fri Jul 19 16:28:35 CEST 2019;me.zhyd.oauth.utils.UrlBuilderTest;me.zhyd.oauth.utils.UrlBuilder;15;1;1;16;1.0;4.0;0.0;0.0;0.0;0.0;0.0
v1.9.2;a75bac2cf743f32edc34deca477925b60042da0c;Mon Jul 22 11:30:18 CEST 2019;me.zhyd.oauth.AuthRequestTest;me.zhyd.oauth.request.AuthRequest;102;19;19;152;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.9.2;a75bac2cf743f32edc34deca477925b60042da0c;Mon Jul 22 11:30:18 CEST 2019;me.zhyd.oauth.utils.AuthStateTest;me.zhyd.oauth.utils.AuthState;134;4;4;30;3.0;7.0;5.0;0.0;0.0;0.0;0.0
v1.9.2;a75bac2cf743f32edc34deca477925b60042da0c;Mon Jul 22 11:30:18 CEST 2019;me.zhyd.oauth.utils.GlobalAuthUtilTest;me.zhyd.oauth.utils.GlobalAuthUtil;31;6;6;16;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.9.2;a75bac2cf743f32edc34deca477925b60042da0c;Mon Jul 22 11:30:18 CEST 2019;me.zhyd.oauth.utils.UrlBuilderTest;me.zhyd.oauth.utils.UrlBuilder;15;1;1;16;1.0;4.0;0.0;0.0;0.0;0.0;0.0
v1.9.3;e5900777016c0fc495840894e109cff9a36c0f11;Tue Jul 30 04:34:48 CEST 2019;me.zhyd.oauth.cache.AuthStateCacheTest;me.zhyd.oauth.cache.AuthStateCache;16;2;4;9;0.0;3.0;0.0;0.0;0.0;0.0;0.0
v1.9.3;e5900777016c0fc495840894e109cff9a36c0f11;Tue Jul 30 04:34:48 CEST 2019;me.zhyd.oauth.AuthRequestTest;me.zhyd.oauth.request.AuthRequest;100;19;19;134;0.0;3.0;0.0;0.0;0.0;0.0;0.0
v1.9.3;e5900777016c0fc495840894e109cff9a36c0f11;Tue Jul 30 04:34:48 CEST 2019;me.zhyd.oauth.utils.GlobalAuthUtilTest;me.zhyd.oauth.utils.GlobalAuthUtil;31;6;6;16;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.9.3;e5900777016c0fc495840894e109cff9a36c0f11;Tue Jul 30 04:34:48 CEST 2019;me.zhyd.oauth.utils.UrlBuilderTest;me.zhyd.oauth.utils.UrlBuilder;27;3;3;19;0.0;4.0;2.0;0.0;0.0;0.0;0.0
v1.9.3;e5900777016c0fc495840894e109cff9a36c0f11;Tue Jul 30 04:34:48 CEST 2019;me.zhyd.oauth.utils.UuidUtilsTest;me.zhyd.oauth.utils.UuidUtils;6;1;1;2;0.0;1.0;0.0;0.0;0.0;0.0;0.0
v1.9.4;eec26580c988873b72a37a50dfb32547de8e624a;Tue Jul 30 15:26:54 CEST 2019;me.zhyd.oauth.cache.AuthStateCacheTest;me.zhyd.oauth.cache.AuthStateCache;16;2;4;9;0.0;3.0;0.0;0.0;0.0;0.0;0.0
v1.9.4;eec26580c988873b72a37a50dfb32547de8e624a;Tue Jul 30 15:26:54 CEST 2019;me.zhyd.oauth.AuthRequestTest;me.zhyd.oauth.request.AuthRequest;100;19;19;134;0.0;3.0;0.0;0.0;0.0;0.0;0.0
v1.9.4;eec26580c988873b72a37a50dfb32547de8e624a;Tue Jul 30 15:26:54 CEST 2019;me.zhyd.oauth.utils.GlobalAuthUtilTest;me.zhyd.oauth.utils.GlobalAuthUtil;31;6;6;16;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.9.4;eec26580c988873b72a37a50dfb32547de8e624a;Tue Jul 30 15:26:54 CEST 2019;me.zhyd.oauth.utils.UrlBuilderTest;me.zhyd.oauth.utils.UrlBuilder;27;3;3;19;0.0;4.0;2.0;0.0;0.0;0.0;0.0
v1.9.4;eec26580c988873b72a37a50dfb32547de8e624a;Tue Jul 30 15:26:54 CEST 2019;me.zhyd.oauth.utils.UuidUtilsTest;me.zhyd.oauth.utils.UuidUtils;6;1;1;2;0.0;1.0;0.0;0.0;0.0;0.0;0.0
