NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
v11;7a73cbf4bb30e128990efff796696c1f5c94fa53;Sun Aug 02 11:59:14 CEST 2015;com.orhanobut.logger.LoggerTest;com.orhanobut.logger.Logger;22;2;2;10;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v11;7a73cbf4bb30e128990efff796696c1f5c94fa53;Sun Aug 02 11:59:14 CEST 2015;com.orhanobut.logger.SettingsTest;com.orhanobut.logger.Settings;42;8;9;22;2.0;3.0;0.0;0.0;0.0;0.0;0.0
1.12;63257eb8de57b68068bf107a7095dca8128182da;Tue Oct 06 14:06:42 CEST 2015;com.orhanobut.logger.LoggerTest;com.orhanobut.logger.Logger;154;18;20;154;0.0;3.0;0.0;0.0;0.0;0.0;0.0
1.12;63257eb8de57b68068bf107a7095dca8128182da;Tue Oct 06 14:06:42 CEST 2015;com.orhanobut.logger.SettingsTest;com.orhanobut.logger.Settings;39;8;9;22;2.0;3.0;0.0;0.0;0.0;0.0;0.0
1.15;865f69ab304bd8bd79925986e88f7b9a4de447ba;Tue Jun 28 18:28:31 CEST 2016;com.orhanobut.logger.HelperTest;com.orhanobut.logger.Helper;23;5;6;16;2.0;2.0;2.0;0.0;0.0;0.0;0.0
1.15;865f69ab304bd8bd79925986e88f7b9a4de447ba;Tue Jun 28 18:28:31 CEST 2016;com.orhanobut.logger.LoggerTest;com.orhanobut.logger.Logger;186;36;42;185;2.0;2.0;0.0;30.0;2.0;0.0;0.0
1.15;865f69ab304bd8bd79925986e88f7b9a4de447ba;Tue Jun 28 18:28:31 CEST 2016;com.orhanobut.logger.SettingsTest;com.orhanobut.logger.Settings;49;8;8;39;2.0;3.0;0.0;0.0;0.0;0.0;0.0
2.0.0;c9b7b5a7540ec7d9780cf36cd5db67e5f102e1e6;Sat May 27 17:02:45 CEST 2017;com.orhanobut.logger.AndroidLogAdapterTest;com.orhanobut.logger.AndroidLogAdapter;12;2;4;6;0.0;2.0;1.0;0.0;0.0;0.0;0.0
2.0.0;c9b7b5a7540ec7d9780cf36cd5db67e5f102e1e6;Sat May 27 17:02:45 CEST 2017;com.orhanobut.logger.CsvFormatStrategyTest;com.orhanobut.logger.CsvFormatStrategy;31;6;9;27;2.0;2.0;0.0;0.0;0.0;0.0;0.0
2.0.0;c9b7b5a7540ec7d9780cf36cd5db67e5f102e1e6;Sat May 27 17:02:45 CEST 2017;com.orhanobut.logger.DiskLogAdapterTest;com.orhanobut.logger.DiskLogAdapter;24;5;15;9;0.0;2.0;2.0;0.0;0.0;0.0;0.0
