NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
v3.0.0-beta;0789628197d9b05756a83d179889d37bba2d8abc;Fri Jul 01 18:54:59 CEST 2016;com.github.mikephil.charting.test.BarDataTest;com.github.mikephil.charting.data.BarData;42;1;2;7;16.0;3.0;0.0;0.0;0.0;0.0;0.0
v3.0.0-beta;0789628197d9b05756a83d179889d37bba2d8abc;Fri Jul 01 18:54:59 CEST 2016;com.github.mikephil.charting.test.ChartDataTest;com.github.mikephil.charting.data.ChartData;127;1;1;16;86.0;15.0;0.0;0.0;0.0;0.0;0.0
v3.0.0-beta;0789628197d9b05756a83d179889d37bba2d8abc;Fri Jul 01 18:54:59 CEST 2016;com.github.mikephil.charting.test.DataSetTest;com.github.mikephil.charting.data.DataSet;106;3;3;30;14.0;7.0;0.0;0.0;0.0;0.0;0.0
v3.0.0-beta;0789628197d9b05756a83d179889d37bba2d8abc;Fri Jul 01 18:54:59 CEST 2016;com.github.mikephil.charting.test.ApproximatorTest;com.github.mikephil.charting.data.filter.Approximator;12;1;1;2;2.0;1.0;0.0;0.0;0.0;0.0;0.0
v3.0.0-beta;0789628197d9b05756a83d179889d37bba2d8abc;Fri Jul 01 18:54:59 CEST 2016;com.github.mikephil.charting.test.LargeValueFormatterTest;com.github.mikephil.charting.formatter.LargeValueFormatter;59;1;2;3;0.0;3.0;0.0;0.0;0.0;0.0;0.0
v3.0.0-beta;0789628197d9b05756a83d179889d37bba2d8abc;Fri Jul 01 18:54:59 CEST 2016;com.github.mikephil.charting.test.AxisRendererTest;com.github.mikephil.charting.renderer.AxisRenderer;71;1;1;4;28.0;1.0;0.0;0.0;0.0;0.0;0.0
v3.0.0-beta1;6d21817c8aed43dae6deb1bf7bb835518ecbe2f6;Sat Jul 02 12:36:16 CEST 2016;com.github.mikephil.charting.test.BarDataTest;com.github.mikephil.charting.data.BarData;42;1;2;7;16.0;3.0;0.0;0.0;0.0;0.0;0.0
v3.0.0-beta1;6d21817c8aed43dae6deb1bf7bb835518ecbe2f6;Sat Jul 02 12:36:16 CEST 2016;com.github.mikephil.charting.test.ChartDataTest;com.github.mikephil.charting.data.ChartData;127;1;1;16;86.0;15.0;0.0;0.0;0.0;0.0;0.0
v3.0.0-beta1;6d21817c8aed43dae6deb1bf7bb835518ecbe2f6;Sat Jul 02 12:36:16 CEST 2016;com.github.mikephil.charting.test.DataSetTest;com.github.mikephil.charting.data.DataSet;106;3;3;30;14.0;7.0;0.0;0.0;0.0;0.0;0.0
v3.0.0-beta1;6d21817c8aed43dae6deb1bf7bb835518ecbe2f6;Sat Jul 02 12:36:16 CEST 2016;com.github.mikephil.charting.test.ApproximatorTest;com.github.mikephil.charting.data.filter.Approximator;12;1;1;2;2.0;1.0;0.0;0.0;0.0;0.0;0.0
v3.0.0-beta1;6d21817c8aed43dae6deb1bf7bb835518ecbe2f6;Sat Jul 02 12:36:16 CEST 2016;com.github.mikephil.charting.test.FormattedStringCacheTest;com.github.mikephil.charting.formatter.FormattedStringCache;224;7;19;27;0.0;0.0;0.0;0.0;0.0;0.0;0.0
v3.0.0-beta1;6d21817c8aed43dae6deb1bf7bb835518ecbe2f6;Sat Jul 02 12:36:16 CEST 2016;com.github.mikephil.charting.test.LargeValueFormatterTest;com.github.mikephil.charting.formatter.LargeValueFormatter;59;1;2;3;0.0;3.0;0.0;0.0;0.0;0.0;0.0
v3.0.0-beta1;6d21817c8aed43dae6deb1bf7bb835518ecbe2f6;Sat Jul 02 12:36:16 CEST 2016;com.github.mikephil.charting.test.AxisRendererTest;com.github.mikephil.charting.renderer.AxisRenderer;71;1;1;4;28.0;1.0;0.0;0.0;0.0;0.0;0.0
v3.0.0-beta1;6d21817c8aed43dae6deb1bf7bb835518ecbe2f6;Sat Jul 02 12:36:16 CEST 2016;com.github.mikephil.charting.test.ObjectPoolTest;com.github.mikephil.charting.utils.ObjectPool;177;1;4;12;63.0;4.0;0.0;0.0;0.0;0.0;0.0
v3.0.0;810c99c579aa99f2b99174b23380272291bd3931;Wed Oct 19 09:08:42 CEST 2016;com.github.mikephil.charting.test.BarDataTest;com.github.mikephil.charting.data.BarData;42;1;2;7;16.0;3.0;0.0;0.0;0.0;0.0;0.0
v3.0.0;810c99c579aa99f2b99174b23380272291bd3931;Wed Oct 19 09:08:42 CEST 2016;com.github.mikephil.charting.test.ChartDataTest;com.github.mikephil.charting.data.ChartData;127;1;1;16;86.0;15.0;0.0;0.0;0.0;0.0;0.0
v3.0.0;810c99c579aa99f2b99174b23380272291bd3931;Wed Oct 19 09:08:42 CEST 2016;com.github.mikephil.charting.test.DataSetTest;com.github.mikephil.charting.data.DataSet;149;4;4;38;14.0;7.0;0.0;0.0;0.0;0.0;0.0
v3.0.0;810c99c579aa99f2b99174b23380272291bd3931;Wed Oct 19 09:08:42 CEST 2016;com.github.mikephil.charting.test.ApproximatorTest;com.github.mikephil.charting.data.filter.Approximator;12;1;1;2;2.0;1.0;0.0;0.0;0.0;0.0;0.0
v3.0.0;810c99c579aa99f2b99174b23380272291bd3931;Wed Oct 19 09:08:42 CEST 2016;com.github.mikephil.charting.test.LargeValueFormatterTest;com.github.mikephil.charting.formatter.LargeValueFormatter;59;1;2;3;0.0;3.0;0.0;0.0;0.0;0.0;0.0
v3.0.0;810c99c579aa99f2b99174b23380272291bd3931;Wed Oct 19 09:08:42 CEST 2016;com.github.mikephil.charting.test.AxisRendererTest;com.github.mikephil.charting.renderer.AxisRenderer;71;1;1;4;28.0;1.0;0.0;0.0;0.0;0.0;0.0
v3.0.0;810c99c579aa99f2b99174b23380272291bd3931;Wed Oct 19 09:08:42 CEST 2016;com.github.mikephil.charting.test.ObjectPoolTest;com.github.mikephil.charting.utils.ObjectPool;177;1;4;12;63.0;4.0;0.0;0.0;0.0;0.0;0.0
v3.0.1;08f295eae1279ba69a18184ee4db86f770df0e18;Thu Nov 17 19:01:53 CET 2016;com.github.mikephil.charting.test.BarDataTest;com.github.mikephil.charting.data.BarData;42;1;2;7;16.0;3.0;0.0;0.0;0.0;0.0;0.0
v3.0.1;08f295eae1279ba69a18184ee4db86f770df0e18;Thu Nov 17 19:01:53 CET 2016;com.github.mikephil.charting.test.ChartDataTest;com.github.mikephil.charting.data.ChartData;127;1;1;16;86.0;15.0;0.0;0.0;0.0;0.0;0.0
v3.0.1;08f295eae1279ba69a18184ee4db86f770df0e18;Thu Nov 17 19:01:53 CET 2016;com.github.mikephil.charting.test.DataSetTest;com.github.mikephil.charting.data.DataSet;149;4;4;38;14.0;7.0;0.0;0.0;0.0;0.0;0.0
v3.0.1;08f295eae1279ba69a18184ee4db86f770df0e18;Thu Nov 17 19:01:53 CET 2016;com.github.mikephil.charting.test.ApproximatorTest;com.github.mikephil.charting.data.filter.Approximator;12;1;1;2;2.0;1.0;0.0;0.0;0.0;0.0;0.0
v3.0.1;08f295eae1279ba69a18184ee4db86f770df0e18;Thu Nov 17 19:01:53 CET 2016;com.github.mikephil.charting.test.LargeValueFormatterTest;com.github.mikephil.charting.formatter.LargeValueFormatter;59;1;2;3;0.0;3.0;0.0;0.0;0.0;0.0;0.0
v3.0.1;08f295eae1279ba69a18184ee4db86f770df0e18;Thu Nov 17 19:01:53 CET 2016;com.github.mikephil.charting.test.AxisRendererTest;com.github.mikephil.charting.renderer.AxisRenderer;71;1;1;4;28.0;1.0;0.0;0.0;0.0;0.0;0.0
v3.0.1;08f295eae1279ba69a18184ee4db86f770df0e18;Thu Nov 17 19:01:53 CET 2016;com.github.mikephil.charting.test.ObjectPoolTest;com.github.mikephil.charting.utils.ObjectPool;177;1;4;12;63.0;4.0;0.0;0.0;0.0;0.0;0.0
v3.0.2;557e55653bd7cab2c8f51c1d89ed9b437c35f1da;Thu Mar 23 16:15:16 CET 2017;com.github.mikephil.charting.test.BarDataTest;com.github.mikephil.charting.data.BarData;42;1;2;7;16.0;3.0;0.0;0.0;0.0;0.0;0.0
v3.0.2;557e55653bd7cab2c8f51c1d89ed9b437c35f1da;Thu Mar 23 16:15:16 CET 2017;com.github.mikephil.charting.test.ChartDataTest;com.github.mikephil.charting.data.ChartData;127;1;1;16;86.0;15.0;0.0;0.0;0.0;0.0;0.0
v3.0.2;557e55653bd7cab2c8f51c1d89ed9b437c35f1da;Thu Mar 23 16:15:16 CET 2017;com.github.mikephil.charting.test.DataSetTest;com.github.mikephil.charting.data.DataSet;149;4;4;38;14.0;7.0;0.0;0.0;0.0;0.0;0.0
v3.0.2;557e55653bd7cab2c8f51c1d89ed9b437c35f1da;Thu Mar 23 16:15:16 CET 2017;com.github.mikephil.charting.test.ApproximatorTest;com.github.mikephil.charting.data.filter.Approximator;12;1;1;2;2.0;1.0;0.0;0.0;0.0;0.0;0.0
v3.0.2;557e55653bd7cab2c8f51c1d89ed9b437c35f1da;Thu Mar 23 16:15:16 CET 2017;com.github.mikephil.charting.test.LargeValueFormatterTest;com.github.mikephil.charting.formatter.LargeValueFormatter;59;1;2;3;0.0;3.0;0.0;0.0;0.0;0.0;0.0
v3.0.2;557e55653bd7cab2c8f51c1d89ed9b437c35f1da;Thu Mar 23 16:15:16 CET 2017;com.github.mikephil.charting.test.AxisRendererTest;com.github.mikephil.charting.renderer.AxisRenderer;71;1;1;4;28.0;1.0;0.0;0.0;0.0;0.0;0.0
v3.0.2;557e55653bd7cab2c8f51c1d89ed9b437c35f1da;Thu Mar 23 16:15:16 CET 2017;com.github.mikephil.charting.test.ObjectPoolTest;com.github.mikephil.charting.utils.ObjectPool;177;1;4;12;63.0;4.0;0.0;0.0;0.0;0.0;0.0
v3.0.3;0868d9bf89ebff78ba8e0108954cc343bc8b711d;Wed Nov 29 15:57:30 CET 2017;com.github.mikephil.charting.test.BarDataTest;com.github.mikephil.charting.data.BarData;42;1;2;7;16.0;3.0;0.0;0.0;0.0;0.0;0.0
