NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
v2.1.1;ac67a4a62f92c48d4982722d0d783c99824cce17;Tue Sep 12 02:07:34 CEST 2017;com.baomidou.mybatisplus.test.GlobalConfigurationTest;com.baomidou.mybatisplus.entity.GlobalConfiguration;50;1;2;28;7.0;0.0;0.0;0.0;0.0;0.0;0.0
v2.1.1;ac67a4a62f92c48d4982722d0d783c99824cce17;Tue Sep 12 02:07:34 CEST 2017;com.baomidou.mybatisplus.test.EntityWrapperTest;com.baomidou.mybatisplus.mapper.EntityWrapper;265;30;30;172;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.1.1;ac67a4a62f92c48d4982722d0d783c99824cce17;Tue Sep 12 02:07:34 CEST 2017;com.baomidou.mybatisplus.test.mysql.SqlRunnerTest;com.baomidou.mybatisplus.mapper.SqlRunner;34;1;2;15;4.0;8.0;0.0;0.0;0.0;1.0;0.0
v2.1.1;ac67a4a62f92c48d4982722d0d783c99824cce17;Tue Sep 12 02:07:34 CEST 2017;com.baomidou.mybatisplus.test.plugins.optimisticLocker.OptimisticLockerInterceptorTest;com.baomidou.mybatisplus.plugins.OptimisticLockerInterceptor;118;9;13;69;3.0;0.0;0.0;8.0;0.0;0.0;0.0
v2.1.1;ac67a4a62f92c48d4982722d0d783c99824cce17;Tue Sep 12 02:07:34 CEST 2017;com.baomidou.mybatisplus.test.plugins.paginationInterceptor.PaginationInterceptorTest;com.baomidou.mybatisplus.plugins.PaginationInterceptor;52;5;7;27;4.0;0.0;0.0;6.0;0.0;0.0;0.0
v2.1.1;ac67a4a62f92c48d4982722d0d783c99824cce17;Tue Sep 12 02:07:34 CEST 2017;com.baomidou.mybatisplus.test.mysql.ServiceImplTest;com.baomidou.mybatisplus.service.impl.ServiceImpl;17;1;3;4;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.1.1;ac67a4a62f92c48d4982722d0d783c99824cce17;Tue Sep 12 02:07:34 CEST 2017;com.baomidou.mybatisplus.test.MybatisMapperRefreshTest;com.baomidou.mybatisplus.spring.MybatisMapperRefresh;38;1;5;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0
v2.1.1;ac67a4a62f92c48d4982722d0d783c99824cce17;Tue Sep 12 02:07:34 CEST 2017;com.baomidou.mybatisplus.test.IdWorkerTest;com.baomidou.mybatisplus.toolkit.IdWorker;64;6;20;23;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.1.1;ac67a4a62f92c48d4982722d0d783c99824cce17;Tue Sep 12 02:07:34 CEST 2017;com.baomidou.mybatisplus.test.sql.SqlUtilsTest;com.baomidou.mybatisplus.toolkit.SqlUtils;46;4;5;19;2.0;0.0;0.0;0.0;0.0;0.0;0.0
v2.1.1;ac67a4a62f92c48d4982722d0d783c99824cce17;Tue Sep 12 02:07:34 CEST 2017;com.baomidou.mybatisplus.test.StringUtilsTest;com.baomidou.mybatisplus.toolkit.StringUtils;11;1;1;2;0.0;1.0;0.0;0.0;0.0;0.0;0.0
v2.1.2;2eed0712afdc0e2aed53bbdc6aea9f4dd2914072;Sat Sep 16 18:43:52 CEST 2017;com.baomidou.mybatisplus.test.GlobalConfigurationTest;com.baomidou.mybatisplus.entity.GlobalConfiguration;50;1;2;28;7.0;0.0;0.0;0.0;0.0;0.0;0.0
v2.1.2;2eed0712afdc0e2aed53bbdc6aea9f4dd2914072;Sat Sep 16 18:43:52 CEST 2017;com.baomidou.mybatisplus.test.EntityWrapperTest;com.baomidou.mybatisplus.mapper.EntityWrapper;265;30;30;172;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.1.2;2eed0712afdc0e2aed53bbdc6aea9f4dd2914072;Sat Sep 16 18:43:52 CEST 2017;com.baomidou.mybatisplus.test.mysql.SqlRunnerTest;com.baomidou.mybatisplus.mapper.SqlRunner;34;1;2;15;4.0;8.0;0.0;0.0;0.0;1.0;0.0
v2.1.2;2eed0712afdc0e2aed53bbdc6aea9f4dd2914072;Sat Sep 16 18:43:52 CEST 2017;com.baomidou.mybatisplus.test.plugins.optimisticLocker.OptimisticLockerInterceptorTest;com.baomidou.mybatisplus.plugins.OptimisticLockerInterceptor;118;9;13;69;3.0;0.0;0.0;8.0;0.0;0.0;0.0
v2.1.2;2eed0712afdc0e2aed53bbdc6aea9f4dd2914072;Sat Sep 16 18:43:52 CEST 2017;com.baomidou.mybatisplus.test.plugins.paginationInterceptor.PaginationInterceptorTest;com.baomidou.mybatisplus.plugins.PaginationInterceptor;52;5;7;27;4.0;0.0;0.0;6.0;0.0;0.0;0.0
v2.1.2;2eed0712afdc0e2aed53bbdc6aea9f4dd2914072;Sat Sep 16 18:43:52 CEST 2017;com.baomidou.mybatisplus.test.mysql.ServiceImplTest;com.baomidou.mybatisplus.service.impl.ServiceImpl;17;1;3;4;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.1.2;2eed0712afdc0e2aed53bbdc6aea9f4dd2914072;Sat Sep 16 18:43:52 CEST 2017;com.baomidou.mybatisplus.test.MybatisMapperRefreshTest;com.baomidou.mybatisplus.spring.MybatisMapperRefresh;38;1;5;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0
v2.1.2;2eed0712afdc0e2aed53bbdc6aea9f4dd2914072;Sat Sep 16 18:43:52 CEST 2017;com.baomidou.mybatisplus.test.IdWorkerTest;com.baomidou.mybatisplus.toolkit.IdWorker;64;6;20;23;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.1.2;2eed0712afdc0e2aed53bbdc6aea9f4dd2914072;Sat Sep 16 18:43:52 CEST 2017;com.baomidou.mybatisplus.test.sql.SqlUtilsTest;com.baomidou.mybatisplus.toolkit.SqlUtils;46;4;5;19;2.0;0.0;0.0;0.0;0.0;0.0;0.0
v2.1.2;2eed0712afdc0e2aed53bbdc6aea9f4dd2914072;Sat Sep 16 18:43:52 CEST 2017;com.baomidou.mybatisplus.test.StringUtilsTest;com.baomidou.mybatisplus.toolkit.StringUtils;11;1;1;2;0.0;1.0;0.0;0.0;0.0;0.0;0.0
v.2.1.3;e44072a810290c72ef8c7a0c650f19cce78b1fbe;Sat Oct 14 04:13:47 CEST 2017;com.baomidou.mybatisplus.test.GlobalConfigurationTest;com.baomidou.mybatisplus.entity.GlobalConfiguration;50;1;2;28;7.0;0.0;0.0;0.0;0.0;0.0;0.0
v.2.1.3;e44072a810290c72ef8c7a0c650f19cce78b1fbe;Sat Oct 14 04:13:47 CEST 2017;com.baomidou.mybatisplus.test.EntityWrapperTest;com.baomidou.mybatisplus.mapper.EntityWrapper;265;30;30;172;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v.2.1.3;e44072a810290c72ef8c7a0c650f19cce78b1fbe;Sat Oct 14 04:13:47 CEST 2017;com.baomidou.mybatisplus.test.mysql.SqlRunnerTest;com.baomidou.mybatisplus.mapper.SqlRunner;34;1;2;15;4.0;8.0;0.0;0.0;0.0;1.0;0.0
