NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
v0.19.0;dd682013f94d50884abbaa1f04af92761a198e64;Sun Mar 29 18:57:28 CEST 2020;org.schabi.newpipe.local.subscription.services.ImportExportJsonHelperTest;org.schabi.newpipe.local.subscription.services.ImportExportJsonHelper;70;6;25;35;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.19.0;dd682013f94d50884abbaa1f04af92761a198e64;Sun Mar 29 18:57:28 CEST 2020;org.schabi.newpipe.report.ErrorActivityTest;org.schabi.newpipe.report.ErrorActivity;18;1;2;3;5.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.19.0;dd682013f94d50884abbaa1f04af92761a198e64;Sun Mar 29 18:57:28 CEST 2020;org.schabi.newpipe.settings.tabs.TabTest;org.schabi.newpipe.settings.tabs.Tab;9;1;2;4;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.19.0;dd682013f94d50884abbaa1f04af92761a198e64;Sun Mar 29 18:57:28 CEST 2020;org.schabi.newpipe.settings.tabs.TabsJsonHelperTest;org.schabi.newpipe.settings.tabs.TabsJsonHelper;74;6;17;41;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.19.0;dd682013f94d50884abbaa1f04af92761a198e64;Sun Mar 29 18:57:28 CEST 2020;org.schabi.newpipe.util.ListHelperTest;org.schabi.newpipe.util.ListHelper;134;10;12;42;4.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.19.2;8b2599297b693317b7150dbb0b105ab451e0a747;Fri Apr 03 10:38:03 CEST 2020;org.schabi.newpipe.local.subscription.services.ImportExportJsonHelperTest;org.schabi.newpipe.local.subscription.services.ImportExportJsonHelper;70;6;25;35;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.19.2;8b2599297b693317b7150dbb0b105ab451e0a747;Fri Apr 03 10:38:03 CEST 2020;org.schabi.newpipe.report.ErrorActivityTest;org.schabi.newpipe.report.ErrorActivity;18;1;2;3;5.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.19.2;8b2599297b693317b7150dbb0b105ab451e0a747;Fri Apr 03 10:38:03 CEST 2020;org.schabi.newpipe.settings.tabs.TabTest;org.schabi.newpipe.settings.tabs.Tab;9;1;2;4;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.19.2;8b2599297b693317b7150dbb0b105ab451e0a747;Fri Apr 03 10:38:03 CEST 2020;org.schabi.newpipe.settings.tabs.TabsJsonHelperTest;org.schabi.newpipe.settings.tabs.TabsJsonHelper;74;6;17;41;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.19.2;8b2599297b693317b7150dbb0b105ab451e0a747;Fri Apr 03 10:38:03 CEST 2020;org.schabi.newpipe.util.ListHelperTest;org.schabi.newpipe.util.ListHelper;134;10;12;42;4.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.19.3;dc8d1b0993d854b57287ae0365943e95e37feaf1;Sun May 03 21:22:44 CEST 2020;org.schabi.newpipe.local.subscription.services.ImportExportJsonHelperTest;org.schabi.newpipe.local.subscription.services.ImportExportJsonHelper;70;6;25;35;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.19.3;dc8d1b0993d854b57287ae0365943e95e37feaf1;Sun May 03 21:22:44 CEST 2020;org.schabi.newpipe.report.ErrorActivityTest;org.schabi.newpipe.report.ErrorActivity;18;1;2;3;5.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.19.3;dc8d1b0993d854b57287ae0365943e95e37feaf1;Sun May 03 21:22:44 CEST 2020;org.schabi.newpipe.settings.tabs.TabTest;org.schabi.newpipe.settings.tabs.Tab;9;1;2;4;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.19.3;dc8d1b0993d854b57287ae0365943e95e37feaf1;Sun May 03 21:22:44 CEST 2020;org.schabi.newpipe.settings.tabs.TabsJsonHelperTest;org.schabi.newpipe.settings.tabs.TabsJsonHelper;74;6;17;41;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.19.3;dc8d1b0993d854b57287ae0365943e95e37feaf1;Sun May 03 21:22:44 CEST 2020;org.schabi.newpipe.util.ListHelperTest;org.schabi.newpipe.util.ListHelper;138;10;12;42;4.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.19.4;b2a5ff5f9d38d0bae58f3347a3954a83d746f023;Fri May 29 19:13:09 CEST 2020;org.schabi.newpipe.local.subscription.services.ImportExportJsonHelperTest;org.schabi.newpipe.local.subscription.services.ImportExportJsonHelper;70;6;25;35;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v0.19.4;b2a5ff5f9d38d0bae58f3347a3954a83d746f023;Fri May 29 19:13:09 CEST 2020;org.schabi.newpipe.report.ErrorActivityTest;org.schabi.newpipe.report.ErrorActivity;18;1;2;3;5.0;1.0;0.0;0.0;0.0;0.0;0.0
v0.19.4;b2a5ff5f9d38d0bae58f3347a3954a83d746f023;Fri May 29 19:13:09 CEST 2020;org.schabi.newpipe.settings.tabs.TabTest;org.schabi.newpipe.settings.tabs.Tab;9;1;2;4;0.0;2.0;0.0;0.0;0.0;0.0;0.0
