NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
picasso-parent-1.0.0;dea2e24767ad0c07b88c88b7c7553d2c5045e9f7;Tue May 14 17:21:30 CEST 2013;com.squareup.picasso.LruCacheTest;com.squareup.picasso.LruCache;128;11;16;39;6.0;2.0;1.0;0.0;0.0;0.0;0.0
picasso-parent-1.0.0;dea2e24767ad0c07b88c88b7c7553d2c5045e9f7;Tue May 14 17:21:30 CEST 2013;com.squareup.picasso.PicassoTest;com.squareup.picasso.Picasso;716;62;196;586;2.0;3.0;0.0;178.0;0.0;1.0;3.0
picasso-parent-1.0.0;dea2e24767ad0c07b88c88b7c7553d2c5045e9f7;Tue May 14 17:21:30 CEST 2013;com.squareup.picasso.PicassoDrawableTest;com.squareup.picasso.PicassoDrawable;67;7;7;41;3.0;2.0;0.0;0.0;0.0;0.0;0.0
picasso-parent-1.0.0;dea2e24767ad0c07b88c88b7c7553d2c5045e9f7;Tue May 14 17:21:30 CEST 2013;com.squareup.picasso.RequestBuilderTest;com.squareup.picasso.RequestBuilder;159;11;26;25;4.0;2.0;0.0;0.0;0.0;0.0;0.0
picasso-parent-1.0.0;dea2e24767ad0c07b88c88b7c7553d2c5045e9f7;Tue May 14 17:21:30 CEST 2013;com.squareup.picasso.TargetRequestTest;com.squareup.picasso.TargetRequest;21;3;6;5;1.0;1.0;0.0;0.0;0.0;0.0;0.0
picasso-parent-1.0.0;dea2e24767ad0c07b88c88b7c7553d2c5045e9f7;Tue May 14 17:21:30 CEST 2013;com.squareup.picasso.TestTransformation;com.squareup.picasso.Transformation;18;4;9;2;0.0;0.0;2.0;0.0;0.0;0.0;0.0
picasso-parent-1.0.0;dea2e24767ad0c07b88c88b7c7553d2c5045e9f7;Tue May 14 17:21:30 CEST 2013;com.squareup.picasso.UrlConnectionLoaderTest;com.squareup.picasso.UrlConnectionLoader;52;7;18;28;2.0;2.0;1.0;1.0;0.0;0.0;0.0
picasso-parent-1.0.0;dea2e24767ad0c07b88c88b7c7553d2c5045e9f7;Tue May 14 17:21:30 CEST 2013;com.squareup.picasso.UtilsTest;com.squareup.picasso.Utils;45;2;3;9;4.0;2.0;0.0;0.0;0.0;0.0;0.0
picasso-parent-1.0.1;be18f84e1c21f6287f29b2052aa4a7a36f24bd82;Wed May 15 00:58:43 CEST 2013;com.squareup.picasso.LruCacheTest;com.squareup.picasso.LruCache;128;11;16;39;6.0;2.0;1.0;0.0;0.0;0.0;0.0
picasso-parent-1.0.1;be18f84e1c21f6287f29b2052aa4a7a36f24bd82;Wed May 15 00:58:43 CEST 2013;com.squareup.picasso.PicassoTest;com.squareup.picasso.Picasso;716;62;196;586;2.0;3.0;0.0;178.0;0.0;1.0;3.0
