NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
1.7.0-RC2;3fc762b4906f4108bad46b4bfe67ecfb5596c9a6;Thu Dec 07 06:47:27 CET 2017;com.navercorp.pinpoint.bootstrap.AgentClassLoaderTest;com.navercorp.pinpoint.bootstrap.AgentClassLoader;25;2;6;9;0.0;2.0;0.0;0.0;0.0;0.0;0.0
1.7.0-RC2;3fc762b4906f4108bad46b4bfe67ecfb5596c9a6;Thu Dec 07 06:47:27 CET 2017;com.navercorp.pinpoint.bootstrap.AgentDirBaseClassPathResolverTest;com.navercorp.pinpoint.bootstrap.AgentDirBaseClassPathResolver;83;9;19;33;4.0;7.0;2.0;0.0;0.0;1.0;0.0
1.7.0-RC2;3fc762b4906f4108bad46b4bfe67ecfb5596c9a6;Thu Dec 07 06:47:27 CET 2017;com.navercorp.pinpoint.bootstrap.LoadStateTest;com.navercorp.pinpoint.bootstrap.LoadState;11;1;2;4;3.0;2.0;0.0;0.0;0.0;0.0;0.0
1.7.0-RC2;3fc762b4906f4108bad46b4bfe67ecfb5596c9a6;Thu Dec 07 06:47:27 CET 2017;com.navercorp.pinpoint.bootstrap.classloader.PinpointURLClassLoaderTest;com.navercorp.pinpoint.bootstrap.classloader.PinpointURLClassLoader;20;1;5;7;2.0;2.0;0.0;0.0;0.0;0.0;0.0
1.7.0-RC2;3fc762b4906f4108bad46b4bfe67ecfb5596c9a6;Thu Dec 07 06:47:27 CET 2017;com.navercorp.pinpoint.bootstrap.config.DefaultProfilerConfigTest;com.navercorp.pinpoint.bootstrap.config.DefaultProfilerConfig;67;8;16;42;2.0;2.0;1.0;0.0;0.0;0.0;0.0
1.7.0-RC2;3fc762b4906f4108bad46b4bfe67ecfb5596c9a6;Thu Dec 07 06:47:27 CET 2017;com.navercorp.pinpoint.bootstrap.config.ExcludeMethodFilterTest;com.navercorp.pinpoint.bootstrap.config.ExcludeMethodFilter;16;2;4;4;2.0;2.0;0.0;0.0;0.0;0.0;0.0
1.7.0-RC2;3fc762b4906f4108bad46b4bfe67ecfb5596c9a6;Thu Dec 07 06:47:27 CET 2017;com.navercorp.pinpoint.bootstrap.config.ExcludePathFilterTest;com.navercorp.pinpoint.bootstrap.config.ExcludePathFilter;99;13;19;28;2.0;2.0;0.0;0.0;0.0;0.0;0.0
1.7.0-RC2;3fc762b4906f4108bad46b4bfe67ecfb5596c9a6;Thu Dec 07 06:47:27 CET 2017;com.navercorp.pinpoint.bootstrap.config.InstrumentMatcherCacheConfigTest;com.navercorp.pinpoint.bootstrap.config.InstrumentMatcherCacheConfig;20;1;2;13;6.0;12.0;0.0;0.0;0.0;0.0;0.0
1.7.0-RC2;3fc762b4906f4108bad46b4bfe67ecfb5596c9a6;Thu Dec 07 06:47:27 CET 2017;com.navercorp.pinpoint.bootstrap.config.ProfilableClassFilterTest;com.navercorp.pinpoint.bootstrap.config.ProfilableClassFilter;21;2;4;5;0.0;2.0;0.0;0.0;0.0;0.0;0.0
1.7.0-RC2;3fc762b4906f4108bad46b4bfe67ecfb5596c9a6;Thu Dec 07 06:47:27 CET 2017;com.navercorp.pinpoint.bootstrap.instrument.ClassFiltersTest;com.navercorp.pinpoint.bootstrap.instrument.ClassFilters;29;4;4;35;2.0;2.0;3.0;0.0;0.0;0.0;0.0
