NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedissonMultiLockTest;org.redisson.api.RedissonMultiLock;75;7;15;47;6.0;4.0;0.0;0.0;0.0;1.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedissonRedLockTest;org.redisson.api.RedissonRedLock;173;15;30;90;3.0;2.0;0.0;0.0;0.0;1.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedisClientTest;org.redisson.client.RedisClient;108;13;34;63;2.0;2.0;0.0;0.0;0.0;0.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.client.codec.JsonJacksonMapValueCodecTest;org.redisson.client.codec.JsonJacksonMapValueCodec;27;5;11;26;1.0;2.0;0.0;2.0;0.0;0.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedissonTest;org.redisson.Redisson;226;29;64;161;2.0;2.0;0.0;0.0;0.0;0.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedissonAtomicDoubleTest;org.redisson.RedissonAtomicDouble;43;5;5;35;4.0;2.0;0.0;0.0;0.0;0.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedissonAtomicLongTest;org.redisson.RedissonAtomicLong;51;6;6;32;4.0;3.0;0.0;0.0;0.0;0.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedissonBatchTest;org.redisson.RedissonBatch;125;11;17;77;2.0;3.0;0.0;0.0;0.0;0.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedissonBitSetTest;org.redisson.RedissonBitSet;100;9;9;65;2.0;6.0;0.0;0.0;2.0;0.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedissonBlockingDequeTest;org.redisson.RedissonBlockingDeque;110;10;21;73;3.0;2.0;0.0;0.0;0.0;0.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedissonBlockingQueueTest;org.redisson.RedissonBlockingQueue;285;22;46;210;3.0;3.0;0.0;0.0;0.0;0.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedissonBloomFilterTest;org.redisson.RedissonBloomFilter;42;6;6;29;4.0;5.0;0.0;0.0;0.0;0.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedissonBoundedBlockingQueueTest;org.redisson.RedissonBoundedBlockingQueue;477;36;69;397;7.0;2.0;0.0;0.0;0.0;0.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedissonBucketTest;org.redisson.RedissonBucket;98;11;13;83;2.0;2.0;0.0;0.0;0.0;0.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedissonBucketsTest;org.redisson.RedissonBuckets;55;4;5;36;6.0;2.0;0.0;0.0;0.0;0.0;0.0
redisson-parent-0.9.0;b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92;Wed Aug 10 09:51:21 CEST 2016;org.redisson.RedissonCountDownLatchTest;org.redisson.RedissonCountDownLatch;74;7;13;36;2.0;2.0;0.0;0.0;0.0;0.0;0.0
