NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.appengine.UrlFetchClientTest;retrofit.appengine.UrlFetchClient;75;7;13;82;3.0;2.0;0.0;0.0;2.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.CallbackRunnableTest;retrofit.CallbackRunnable;29;4;9;21;0.0;4.0;1.0;6.0;0.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.ErrorHandlerTest;retrofit.ErrorHandler;70;10;19;50;2.0;2.0;0.0;10.0;0.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.RequestBuilderTest;retrofit.RequestBuilder;510;48;105;605;2.0;4.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.RestAdapterTest;retrofit.RestAdapter;370;38;91;344;3.0;3.0;7.0;105.0;1.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.RestMethodInfoTest;retrofit.RestMethodInfo;973;70;173;345;2.0;2.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.client.ApacheClientTest;retrofit.client.ApacheClient;82;6;10;72;2.0;2.0;0.0;0.0;2.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.client.UrlConnectionClientTest;retrofit.client.UrlConnectionClient;113;10;21;112;2.0;2.0;0.0;0.0;2.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.mime.MimeUtilTest;retrofit.mime.MimeUtil;15;1;1;3;0.0;1.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.mime.MultipartTypedOutputTest;retrofit.mime.MultipartTypedOutput;35;4;11;16;2.0;3.0;1.0;0.0;0.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.mime.TypedByteArrayTest;retrofit.mime.TypedByteArray;12;1;1;4;4.0;1.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.mime.TypedFileTest;retrofit.mime.TypedFile;38;4;6;17;4.0;2.0;1.0;0.0;1.0;2.0;2.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.converter.JacksonConverterTest;retrofit.converter.JacksonConverter;54;5;11;15;2.0;2.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.converter.ProtoConverterTest;retrofit.converter.ProtoConverter;61;9;25;36;2.0;2.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.converter.SimpleXMLConverterTest;retrofit.converter.SimpleXMLConverter;88;6;14;17;2.0;2.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.converter.WireConverterTest;retrofit.converter.WireConverter;61;9;25;37;2.0;2.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.0;6120d8618f861499f886ad3ba53c64ca3cc195a9;Fri Mar 21 07:51:58 CET 2014;retrofit.MockRestAdapterTest;retrofit.MockRestAdapter;378;27;61;209;2.0;2.0;0.0;77.0;0.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.appengine.UrlFetchClientTest;retrofit.appengine.UrlFetchClient;75;7;13;82;3.0;2.0;0.0;0.0;2.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.CallbackRunnableTest;retrofit.CallbackRunnable;29;4;9;21;0.0;4.0;1.0;6.0;0.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.ErrorHandlerTest;retrofit.ErrorHandler;70;10;19;50;2.0;2.0;0.0;10.0;0.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.RequestBuilderTest;retrofit.RequestBuilder;535;49;107;627;2.0;4.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.RestAdapterTest;retrofit.RestAdapter;370;38;91;344;3.0;3.0;7.0;105.0;1.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.RestMethodInfoTest;retrofit.RestMethodInfo;1000;72;178;354;2.0;2.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.RxSupportTest;retrofit.RxSupport;98;8;19;64;0.0;2.0;0.0;9.0;0.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.client.ApacheClientTest;retrofit.client.ApacheClient;82;6;10;72;2.0;2.0;0.0;0.0;2.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.client.UrlConnectionClientTest;retrofit.client.UrlConnectionClient;113;10;21;112;2.0;2.0;0.0;0.0;2.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.mime.MimeUtilTest;retrofit.mime.MimeUtil;15;1;1;3;0.0;1.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.mime.MultipartTypedOutputTest;retrofit.mime.MultipartTypedOutput;35;4;11;16;2.0;3.0;1.0;0.0;0.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.mime.TypedByteArrayTest;retrofit.mime.TypedByteArray;12;1;1;4;4.0;1.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.mime.TypedFileTest;retrofit.mime.TypedFile;38;4;6;17;4.0;2.0;1.0;0.0;1.0;2.0;2.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.converter.JacksonConverterTest;retrofit.converter.JacksonConverter;54;5;11;15;2.0;2.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.converter.ProtoConverterTest;retrofit.converter.ProtoConverter;61;9;25;36;2.0;2.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.converter.SimpleXMLConverterTest;retrofit.converter.SimpleXMLConverter;88;6;14;17;2.0;2.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.converter.WireConverterTest;retrofit.converter.WireConverter;61;9;25;37;2.0;2.0;0.0;0.0;0.0;0.0;0.0
parent-1.5.1;d5feecdecdbbdf5c18f4231d37055e154e33ef8b;Thu May 08 18:04:16 CEST 2014;retrofit.MockRestAdapterTest;retrofit.MockRestAdapter;461;35;79;249;2.0;2.0;0.0;136.0;0.0;0.0;0.0
