NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
0.1.0;c92fea5d46f8c7968498c6e817757f64043cc43d;Mon Jul 23 09:51:05 CEST 2018;com.alibaba.csp.sentinel.adapter.grpc.SentinelGrpcClientInterceptorTest;com.alibaba.csp.sentinel.adapter.grpc.SentinelGrpcClientInterceptor;57;5;12;33;6.0;2.0;0.0;0.0;0.0;0.0;0.0
0.1.0;c92fea5d46f8c7968498c6e817757f64043cc43d;Mon Jul 23 09:51:05 CEST 2018;com.alibaba.csp.sentinel.adapter.grpc.SentinelGrpcServerInterceptorTest;com.alibaba.csp.sentinel.adapter.grpc.SentinelGrpcServerInterceptor;57;5;12;32;6.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1.0;c92fea5d46f8c7968498c6e817757f64043cc43d;Mon Jul 23 09:51:05 CEST 2018;com.alibaba.csp.sentinel.SphOTest;com.alibaba.csp.sentinel.SphO;119;10;25;101;2.0;13.0;0.0;0.0;0.0;0.0;0.0
0.1.0;c92fea5d46f8c7968498c6e817757f64043cc43d;Mon Jul 23 09:51:05 CEST 2018;com.alibaba.csp.sentinel.SphUTest;com.alibaba.csp.sentinel.SphU;86;11;23;62;3.0;10.0;0.0;0.0;0.0;0.0;0.0
0.1.0;c92fea5d46f8c7968498c6e817757f64043cc43d;Mon Jul 23 09:51:05 CEST 2018;com.alibaba.csp.sentinel.ContextTest;com.alibaba.csp.sentinel.context.Context;9;1;1;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1.0;c92fea5d46f8c7968498c6e817757f64043cc43d;Mon Jul 23 09:51:05 CEST 2018;com.alibaba.csp.sentinel.RecordLogTest;com.alibaba.csp.sentinel.log.RecordLog;15;2;3;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1.0;c92fea5d46f8c7968498c6e817757f64043cc43d;Mon Jul 23 09:51:05 CEST 2018;com.alibaba.csp.sentinel.slots.block.flow.FlowRuleTest;com.alibaba.csp.sentinel.slots.block.flow.FlowRule;101;3;3;47;2.0;6.0;0.0;0.0;0.0;0.0;0.0
0.1.0;c92fea5d46f8c7968498c6e817757f64043cc43d;Mon Jul 23 09:51:05 CEST 2018;com.alibaba.csp.sentinel.slots.block.flow.PaceControllerTest;com.alibaba.csp.sentinel.slots.block.flow.controller.PaceController;47;3;11;17;2.0;2.0;0.0;0.0;0.0;0.0;0.0
0.1.0;c92fea5d46f8c7968498c6e817757f64043cc43d;Mon Jul 23 09:51:05 CEST 2018;com.alibaba.csp.sentinel.slots.block.flow.WarmUpControllerTest;com.alibaba.csp.sentinel.slots.block.flow.controller.WarmUpController;24;1;3;9;4.0;1.0;0.0;0.0;0.0;0.0;0.0
0.1.0;c92fea5d46f8c7968498c6e817757f64043cc43d;Mon Jul 23 09:51:05 CEST 2018;com.alibaba.csp.sentinel.base.metric.ArrayMetricTest;com.alibaba.csp.sentinel.slots.statistic.metric.ArrayMetric;43;1;2;18;5.0;10.0;0.0;0.0;0.0;0.0;0.0
0.1.0;c92fea5d46f8c7968498c6e817757f64043cc43d;Mon Jul 23 09:51:05 CEST 2018;com.alibaba.csp.sentinel.base.metric.WindowLeapArrayTest;com.alibaba.csp.sentinel.slots.statistic.metric.WindowLeapArray;113;8;12;60;4.0;2.0;0.0;0.0;0.0;0.0;0.0
0.1.0;c92fea5d46f8c7968498c6e817757f64043cc43d;Mon Jul 23 09:51:05 CEST 2018;com.alibaba.csp.sentinel.slots.block.system.SystemRuleTest;com.alibaba.csp.sentinel.slots.system.SystemRule;19;2;3;9;0.0;2.0;0.0;0.0;0.0;0.0;0.0
0.1.1;6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f;Wed Aug 08 13:57:37 CEST 2018;com.alibaba.csp.sentinel.adapter.dubbo.fallback.DubboFallbackRegistryTest;com.alibaba.csp.sentinel.adapter.dubbo.fallback.DubboFallbackRegistry;21;3;5;13;0.0;3.0;0.0;0.0;0.0;0.0;0.0
0.1.1;6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f;Wed Aug 08 13:57:37 CEST 2018;com.alibaba.csp.sentinel.adapter.grpc.SentinelGrpcClientInterceptorTest;com.alibaba.csp.sentinel.adapter.grpc.SentinelGrpcClientInterceptor;57;5;12;33;6.0;2.0;0.0;0.0;0.0;0.0;0.0
