NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.config.common.api.ShardingRuleBuilderTest;com.dangdang.ddframe.rdb.sharding.config.common.api.ShardingRuleBuilder;143;13;24;102;12.0;2.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.config.common.internal.algorithm.ClosureDatabaseShardingAlgorithmTest;com.dangdang.ddframe.rdb.sharding.config.common.internal.algorithm.ClosureDatabaseShardingAlgorithm;8;2;4;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.config.common.internal.algorithm.ClosureTableShardingAlgorithmTest;com.dangdang.ddframe.rdb.sharding.config.common.internal.algorithm.ClosureTableShardingAlgorithm;8;2;4;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.config.common.internal.algorithm.ShardingValueWrapperTest;com.dangdang.ddframe.rdb.sharding.config.common.internal.algorithm.ShardingValueWrapper;51;6;14;18;6.0;2.0;0.0;0.0;10.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.config.common.internal.parser.InlineParserTest;com.dangdang.ddframe.rdb.sharding.config.common.internal.parser.InlineParser;35;9;9;36;0.0;2.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.config.yaml.YamlShardingDataSourceTest;com.dangdang.ddframe.rdb.sharding.config.yaml.api.YamlShardingDataSource;71;9;25;58;3.0;0.0;0.0;0.0;0.0;2.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.HintManagerTest;com.dangdang.ddframe.rdb.sharding.api.HintManager;72;7;7;75;3.0;4.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.MasterSlaveDataSourceFactoryTest;com.dangdang.ddframe.rdb.sharding.api.MasterSlaveDataSourceFactory;8;2;2;6;0.0;2.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.ShardingDataSourceFactoryTest;com.dangdang.ddframe.rdb.sharding.api.ShardingDataSourceFactory;38;5;13;34;3.0;2.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.ShardingValueTest;com.dangdang.ddframe.rdb.sharding.api.ShardingValue;20;6;6;22;0.0;2.0;0.0;0.0;2.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.rule.BindingTableRuleTest;com.dangdang.ddframe.rdb.sharding.api.rule.BindingTableRule;51;14;21;58;5.0;2.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.rule.DataNodeTest;com.dangdang.ddframe.rdb.sharding.api.rule.DataNode;15;4;4;10;0.0;2.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.rule.DataSourceRuleTest;com.dangdang.ddframe.rdb.sharding.api.rule.DataSourceRule;40;9;10;28;2.0;2.0;0.0;7.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.rule.DynamicDataNodeTest;com.dangdang.ddframe.rdb.sharding.api.rule.DynamicDataNode;5;1;1;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.rule.ShardingRuleTest;com.dangdang.ddframe.rdb.sharding.api.rule.ShardingRule;153;37;48;316;2.0;3.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.rule.TableRuleTest;com.dangdang.ddframe.rdb.sharding.api.rule.TableRule;112;21;22;178;3.0;2.0;0.0;0.0;1.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.strategy.database.DatabaseShardingStrategyTest;com.dangdang.ddframe.rdb.sharding.api.strategy.database.DatabaseShardingStrategy;5;1;1;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.strategy.database.NoneDatabaseShardingAlgorithmTest;com.dangdang.ddframe.rdb.sharding.api.strategy.database.NoneDatabaseShardingAlgorithm;19;5;5;15;2.0;2.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.strategy.slave.RoundRobinSlaveLoadBalanceStrategyTest;com.dangdang.ddframe.rdb.sharding.api.strategy.slave.RoundRobinSlaveLoadBalanceStrategy;10;1;1;4;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.strategy.table.NoneTableShardingAlgorithmTest;com.dangdang.ddframe.rdb.sharding.api.strategy.table.NoneTableShardingAlgorithm;19;5;5;15;2.0;2.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.api.strategy.table.TableShardingStrategyTest;com.dangdang.ddframe.rdb.sharding.api.strategy.table.TableShardingStrategy;5;1;1;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.config.ShardingPropertiesTest;com.dangdang.ddframe.rdb.sharding.config.ShardingProperties;42;6;7;17;3.0;2.0;0.0;5.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.executor.threadlocal.ExecutorExceptionHandlerTest;com.dangdang.ddframe.rdb.sharding.executor.threadlocal.ExecutorExceptionHandler;19;4;5;12;2.0;2.0;0.0;0.0;0.0;2.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.executor.type.BatchPreparedStatementExecutorTest;com.dangdang.ddframe.rdb.sharding.executor.type.batch.BatchPreparedStatementExecutor;100;7;19;92;2.0;2.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.executor.type.PreparedStatementExecutorTest;com.dangdang.ddframe.rdb.sharding.executor.type.prepared.PreparedStatementExecutor;280;17;48;270;3.0;6.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.executor.type.StatementExecutorTest;com.dangdang.ddframe.rdb.sharding.executor.type.statement.StatementExecutor;364;23;66;375;3.0;22.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.hint.HintManagerHolderTest;com.dangdang.ddframe.rdb.sharding.hint.HintManagerHolder;45;10;10;35;2.0;2.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.jdbc.adapter.invocation.JdbcMethodInvocationTest;com.dangdang.ddframe.rdb.sharding.jdbc.adapter.invocation.JdbcMethodInvocation;10;2;4;4;0.0;2.0;0.0;0.0;0.0;2.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.jdbc.adapter.invocation.SetParameterMethodInvocationTest;com.dangdang.ddframe.rdb.sharding.jdbc.adapter.invocation.SetParameterMethodInvocation;11;2;4;9;2.0;1.0;0.0;0.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.jdbc.core.connection.ShardingConnectionTest;com.dangdang.ddframe.rdb.sharding.jdbc.core.connection.ShardingConnection;51;9;18;21;2.0;2.0;0.0;11.0;0.0;0.0;0.0
1.5.0;d6ac50704f5e45beeeded09a4f0b160c7320b993;Mon Jul 31 11:45:02 CEST 2017;com.dangdang.ddframe.rdb.sharding.jdbc.core.datasource.MasterSlaveDataSourceTest;com.dangdang.ddframe.rdb.sharding.jdbc.core.datasource.MasterSlaveDataSource;86;14;22;62;2.0;2.0;0.0;0.0;0.0;0.0;0.0
