NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
v8.3.0.2;d36b35019707b7de3d9b2a119e785f5b86770643;Sun Jan 03 08:08:12 CET 2021;org.apache.skywalking.apm.toolkit.meter.CounterTest;org.apache.skywalking.apm.toolkit.meter.Counter;5;1;1;3;0.0;1.0;0.0;0.0;0.0;0.0;0.0
v8.3.0.2;d36b35019707b7de3d9b2a119e785f5b86770643;Sun Jan 03 08:08:12 CET 2021;org.apache.skywalking.apm.toolkit.meter.GaugeTest;org.apache.skywalking.apm.toolkit.meter.Gauge;5;1;1;3;0.0;1.0;0.0;0.0;0.0;0.0;0.0
v8.3.0.2;d36b35019707b7de3d9b2a119e785f5b86770643;Sun Jan 03 08:08:12 CET 2021;org.apache.skywalking.apm.toolkit.meter.HistogramTest;org.apache.skywalking.apm.toolkit.meter.Histogram;5;1;1;6;0.0;1.0;0.0;0.0;0.0;0.0;0.0
v8.3.0.2;d36b35019707b7de3d9b2a119e785f5b86770643;Sun Jan 03 08:08:12 CET 2021;org.apache.skywalking.apm.toolkit.meter.MeterIdTest;org.apache.skywalking.apm.toolkit.meter.MeterId;9;1;1;6;2.0;4.0;0.0;0.0;0.0;0.0;0.0
v8.3.0.2;d36b35019707b7de3d9b2a119e785f5b86770643;Sun Jan 03 08:08:12 CET 2021;org.apache.skywalking.apm.meter.micrometer.MeterBuilderTest;org.apache.skywalking.apm.meter.micrometer.MeterBuilder;27;3;3;19;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v8.3.0.2;d36b35019707b7de3d9b2a119e785f5b86770643;Sun Jan 03 08:08:12 CET 2021;org.apache.skywalking.apm.meter.micrometer.SkywalkingCounterTest;org.apache.skywalking.apm.meter.micrometer.SkywalkingCounter;18;2;2;9;2.0;0.0;0.0;0.0;0.0;0.0;0.0
v8.3.0.2;d36b35019707b7de3d9b2a119e785f5b86770643;Sun Jan 03 08:08:12 CET 2021;org.apache.skywalking.apm.meter.micrometer.SkywalkingCustomCounterTest;org.apache.skywalking.apm.meter.micrometer.SkywalkingCustomCounter;9;1;1;3;1.0;0.0;0.0;0.0;0.0;0.0;0.0
v8.3.0.2;d36b35019707b7de3d9b2a119e785f5b86770643;Sun Jan 03 08:08:12 CET 2021;org.apache.skywalking.apm.meter.micrometer.SkywalkingDistributionSummaryTest;org.apache.skywalking.apm.meter.micrometer.SkywalkingDistributionSummary;19;2;2;12;1.0;0.0;0.0;0.0;0.0;0.0;0.0
v8.3.0.2;d36b35019707b7de3d9b2a119e785f5b86770643;Sun Jan 03 08:08:12 CET 2021;org.apache.skywalking.apm.meter.micrometer.SkywalkingLongTaskTimerTest;org.apache.skywalking.apm.meter.micrometer.SkywalkingLongTaskTimer;17;2;3;10;4.0;0.0;0.0;0.0;0.0;0.0;0.0
v8.3.0.2;d36b35019707b7de3d9b2a119e785f5b86770643;Sun Jan 03 08:08:12 CET 2021;org.apache.skywalking.apm.meter.micrometer.SkywalkingMeterRegistryTest;org.apache.skywalking.apm.meter.micrometer.SkywalkingMeterRegistry;64;5;5;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0
