NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
v1.0.0;37861000feace291559d0465b2a20707b5ce92cd;Wed Feb 18 18:34:24 CET 2015;com.facebook.stetho.inspector.database.DatabasePeerManagerTest;com.facebook.stetho.inspector.database.DatabasePeerManager;8;1;2;3;1.0;1.0;0.0;0.0;0.0;1.0;0.0
v1.0.0;37861000feace291559d0465b2a20707b5ce92cd;Wed Feb 18 18:34:24 CET 2015;com.facebook.stetho.inspector.network.GunzippingOutputStreamTest;com.facebook.stetho.inspector.network.GunzippingOutputStream;11;1;2;6;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.0.0;37861000feace291559d0465b2a20707b5ce92cd;Wed Feb 18 18:34:24 CET 2015;com.facebook.stetho.inspector.network.ResponseHandlingInputStreamTest;com.facebook.stetho.inspector.network.ResponseHandlingInputStream;100;10;25;57;2.0;4.0;0.0;34.0;0.0;0.0;0.0
v1.0.0;37861000feace291559d0465b2a20707b5ce92cd;Wed Feb 18 18:34:24 CET 2015;com.facebook.stetho.json.ObjectMapperTest;com.facebook.stetho.json.ObjectMapper;124;7;13;13;2.0;2.0;0.0;2.0;2.0;0.0;0.0
v1.0.0;37861000feace291559d0465b2a20707b5ce92cd;Wed Feb 18 18:34:24 CET 2015;com.facebook.stetho.okhttp.StethoInterceptorTest;com.facebook.stetho.okhttp.StethoInterceptor;102;6;19;76;2.0;1.0;0.0;0.0;0.0;0.0;0.0
v1.0.1;4350886acfa11bb44ec79ea7b32bc30a4396473f;Fri Feb 27 19:47:40 CET 2015;com.facebook.stetho.inspector.database.DatabasePeerManagerTest;com.facebook.stetho.inspector.database.DatabasePeerManager;8;1;2;3;1.0;1.0;0.0;0.0;0.0;1.0;0.0
v1.0.1;4350886acfa11bb44ec79ea7b32bc30a4396473f;Fri Feb 27 19:47:40 CET 2015;com.facebook.stetho.inspector.network.GunzippingOutputStreamTest;com.facebook.stetho.inspector.network.GunzippingOutputStream;11;1;2;6;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.0.1;4350886acfa11bb44ec79ea7b32bc30a4396473f;Fri Feb 27 19:47:40 CET 2015;com.facebook.stetho.inspector.network.ResponseHandlingInputStreamTest;com.facebook.stetho.inspector.network.ResponseHandlingInputStream;100;10;25;57;2.0;4.0;0.0;34.0;0.0;0.0;0.0
v1.0.1;4350886acfa11bb44ec79ea7b32bc30a4396473f;Fri Feb 27 19:47:40 CET 2015;com.facebook.stetho.json.ObjectMapperTest;com.facebook.stetho.json.ObjectMapper;149;9;17;23;2.0;2.0;0.0;2.0;2.0;0.0;0.0
v1.0.1;4350886acfa11bb44ec79ea7b32bc30a4396473f;Fri Feb 27 19:47:40 CET 2015;com.facebook.stetho.okhttp.StethoInterceptorTest;com.facebook.stetho.okhttp.StethoInterceptor;102;6;19;76;2.0;1.0;0.0;0.0;0.0;0.0;0.0
v1.1.0;94866292acd4d0f7189ff1213c6d38927afc3494;Sat Apr 04 05:09:33 CEST 2015;com.facebook.stetho.inspector.database.DatabasePeerManagerTest;com.facebook.stetho.inspector.database.DatabasePeerManager;8;1;2;4;1.0;1.0;0.0;0.0;0.0;1.0;0.0
v1.1.0;94866292acd4d0f7189ff1213c6d38927afc3494;Sat Apr 04 05:09:33 CEST 2015;com.facebook.stetho.inspector.network.GunzippingOutputStreamTest;com.facebook.stetho.inspector.network.GunzippingOutputStream;11;1;2;6;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.1.0;94866292acd4d0f7189ff1213c6d38927afc3494;Sat Apr 04 05:09:33 CEST 2015;com.facebook.stetho.inspector.network.ResponseHandlingInputStreamTest;com.facebook.stetho.inspector.network.ResponseHandlingInputStream;100;10;25;57;2.0;4.0;0.0;34.0;0.0;0.0;0.0
v1.1.0;94866292acd4d0f7189ff1213c6d38927afc3494;Sat Apr 04 05:09:33 CEST 2015;com.facebook.stetho.json.ObjectMapperTest;com.facebook.stetho.json.ObjectMapper;149;9;17;23;2.0;2.0;0.0;2.0;2.0;0.0;0.0
v1.1.0;94866292acd4d0f7189ff1213c6d38927afc3494;Sat Apr 04 05:09:33 CEST 2015;com.facebook.stetho.okhttp.StethoInterceptorTest;com.facebook.stetho.okhttp.StethoInterceptor;102;6;19;76;2.0;1.0;0.0;0.0;0.0;0.0;0.0
v1.1.1;54299fc2771eaafa640aaea587f64e1f3d51353b;Fri May 01 22:51:44 CEST 2015;com.facebook.stetho.inspector.database.DatabasePeerManagerTest;com.facebook.stetho.inspector.database.DatabasePeerManager;8;1;2;4;1.0;1.0;0.0;0.0;0.0;1.0;0.0
v1.1.1;54299fc2771eaafa640aaea587f64e1f3d51353b;Fri May 01 22:51:44 CEST 2015;com.facebook.stetho.inspector.network.GunzippingOutputStreamTest;com.facebook.stetho.inspector.network.GunzippingOutputStream;11;1;2;6;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.1.1;54299fc2771eaafa640aaea587f64e1f3d51353b;Fri May 01 22:51:44 CEST 2015;com.facebook.stetho.inspector.network.ResponseHandlingInputStreamTest;com.facebook.stetho.inspector.network.ResponseHandlingInputStream;100;10;25;57;2.0;4.0;0.0;34.0;0.0;0.0;0.0
v1.1.1;54299fc2771eaafa640aaea587f64e1f3d51353b;Fri May 01 22:51:44 CEST 2015;com.facebook.stetho.json.ObjectMapperTest;com.facebook.stetho.json.ObjectMapper;149;9;17;23;2.0;2.0;0.0;2.0;2.0;0.0;0.0
