NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
v1.3.0;a368c707d3a4221bb7da7cffaadcaaadd4f5f71e;Thu May 19 15:56:19 CEST 2016;com.xxl.job.dao.impl.XxlJobInfoTest;com.xxl.job.core.model.XxlJobInfo;27;3;3;15;0.0;5.0;0.0;0.0;0.0;0.0;0.0
v1.3.0;a368c707d3a4221bb7da7cffaadcaaadd4f5f71e;Thu May 19 15:56:19 CEST 2016;com.xxl.job.dao.impl.XxlJobLogTest;com.xxl.job.core.model.XxlJobLog;35;4;4;22;0.0;5.0;0.0;0.0;0.0;0.0;0.0
v1.3.1;a79c477593e5c554d3ad0f4fba85f73fc0b53276;Mon May 23 14:13:19 CEST 2016;com.xxl.job.dao.impl.XxlJobInfoTest;com.xxl.job.admin.core.model.XxlJobInfo;27;3;3;15;0.0;5.0;0.0;0.0;0.0;0.0;0.0
v1.3.1;a79c477593e5c554d3ad0f4fba85f73fc0b53276;Mon May 23 14:13:19 CEST 2016;com.xxl.job.dao.impl.XxlJobLogTest;com.xxl.job.admin.core.model.XxlJobLog;35;4;4;22;0.0;5.0;0.0;0.0;0.0;0.0;0.0
v1.3.2;3420b1bd481307ce81897a1ed8c35d9f13ad5af1;Sat May 28 14:16:05 CEST 2016;com.xxl.job.dao.impl.XxlJobInfoTest;com.xxl.job.admin.core.model.XxlJobInfo;25;3;3;13;0.0;4.0;0.0;0.0;0.0;0.0;0.0
v1.3.2;3420b1bd481307ce81897a1ed8c35d9f13ad5af1;Sat May 28 14:16:05 CEST 2016;com.xxl.job.dao.impl.XxlJobLogTest;com.xxl.job.admin.core.model.XxlJobLog;34;4;4;21;0.0;4.0;0.0;0.0;0.0;0.0;0.0
v1.4.0;7c5fa5ba308fe6c6d795c9da6c1bb12408b0081d;Sun Jul 24 15:14:13 CEST 2016;com.xxl.job.dao.impl.XxlJobInfoTest;com.xxl.job.admin.core.model.XxlJobInfo;24;3;3;12;0.0;3.0;0.0;0.0;0.0;0.0;0.0
v1.4.0;7c5fa5ba308fe6c6d795c9da6c1bb12408b0081d;Sun Jul 24 15:14:13 CEST 2016;com.xxl.job.dao.impl.XxlJobLogTest;com.xxl.job.admin.core.model.XxlJobLog;32;4;4;19;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.5.0;afd5acedee74f4558b26dab01c8937642a665587;Sun Nov 13 07:39:52 CET 2016;com.xxl.job.dao.impl.XxlJobInfoTest;com.xxl.job.admin.core.model.XxlJobInfo;24;3;3;12;0.0;3.0;0.0;0.0;0.0;0.0;0.0
v1.5.0;afd5acedee74f4558b26dab01c8937642a665587;Sun Nov 13 07:39:52 CET 2016;com.xxl.job.dao.impl.XxlJobLogTest;com.xxl.job.admin.core.model.XxlJobLog;32;4;4;18;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v1.5.1;d8cba5b471063d274ff74f4463e334b364a8b626;Tue Nov 15 03:24:22 CET 2016;com.xxl.job.dao.impl.XxlJobInfoTest;com.xxl.job.admin.core.model.XxlJobInfo;24;3;3;12;0.0;3.0;0.0;0.0;0.0;0.0;0.0
