NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.AnnotationTest;zipkin2.Annotation;11;2;3;6;0.0;2.0;0.0;0.0;1.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.CallTest;zipkin2.Call;182;31;58;130;2.0;2.0;2.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.EndpointTest;zipkin2.Endpoint;135;22;35;146;2.0;2.0;0.0;0.0;0.0;2.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.SpanTest;zipkin2.Span;218;56;60;306;2.0;3.0;2.0;0.0;1.0;2.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.SpanBytesDecoderDetectorTest;zipkin2.SpanBytesDecoderDetector;106;22;31;98;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.AggregateCallTest;zipkin2.internal.AggregateCall;159;17;31;109;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.BufferTest;zipkin2.internal.Buffer;157;22;36;106;2.0;5.0;4.0;0.0;0.0;1.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.DateUtilTest;zipkin2.internal.DateUtil;18;3;5;16;2.0;2.0;1.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.DelayLimiterTest;zipkin2.internal.DelayLimiter;63;11;13;40;3.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.DependenciesTest;zipkin2.internal.Dependencies;10;1;2;14;2.0;3.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.DependencyLinkerTest;zipkin2.internal.DependencyLinker;220;39;51;393;2.0;2.0;1.0;0.0;0.0;2.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.HexCodecTest;zipkin2.internal.HexCodec;35;2;3;9;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.JsonCodecTest;zipkin2.internal.JsonCodec;42;2;6;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.JsonEscaperTest;zipkin2.internal.JsonEscaper;16;2;2;7;2.0;2.0;0.0;0.0;5.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.PlatformTest;zipkin2.internal.Platform;19;3;9;22;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.Proto3FieldsTest;zipkin2.internal.Proto3Fields;116;17;24;65;4.0;0.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.Proto3SpanWriterTest;zipkin2.internal.Proto3SpanWriter;26;5;6;30;2.0;3.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.Proto3ZipkinFieldsTest;zipkin2.internal.Proto3ZipkinFields;82;23;25;86;2.0;0.0;0.0;0.0;0.0;1.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.SpanNodeTest;zipkin2.internal.SpanNode;167;23;31;214;3.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.TraceTest;zipkin2.internal.Trace;81;12;18;103;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.V1JsonSpanWriterTest;zipkin2.internal.V1JsonSpanWriter;99;23;45;123;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.V1ThriftSpanWriterTest;zipkin2.internal.V1ThriftSpanWriter;153;34;40;182;2.0;3.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.internal.V2SpanWriterTest;zipkin2.internal.V2SpanWriter;31;6;11;36;1.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.storage.GroupByTraceIdTest;zipkin2.storage.GroupByTraceId;13;2;2;10;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.storage.InMemoryStorageTest;zipkin2.storage.InMemoryStorage;50;5;10;78;4.0;5.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.storage.QueryRequestTest;zipkin2.storage.QueryRequest;149;30;36;180;2.0;2.0;0.0;0.0;0.0;1.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.storage.StrictTraceIdTest;zipkin2.storage.StrictTraceId;37;6;7;63;2.0;2.0;2.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.v1.V1SpanTest;zipkin2.v1.V1Span;12;3;3;17;0.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.v1.V1SpanConverterTest;zipkin2.v1.V1SpanConverter;34;6;6;80;2.0;3.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.autoconfigure.collector.kafka08.ZipkinKafka08CollectorAutoConfigurationTest;zipkin2.autoconfigure.collector.kafka08.ZipkinKafka08CollectorAutoConfiguration;41;4;6;20;1.0;0.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.autoconfigure.collector.scribe.ZipkinScribeCollectorAutoConfigurationTest;zipkin2.autoconfigure.collector.scribe.ZipkinScribeCollectorAutoConfiguration;44;4;7;20;2.0;0.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.collector.CollectorTest;zipkin2.collector.Collector;75;14;20;81;0.0;2.0;0.0;11.0;2.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.collector.CollectorSamplerTest;zipkin2.collector.CollectorSampler;48;9;13;39;2.0;2.0;0.0;0.0;0.0;0.0;0.0
v2.13.0;7c08091d3f8b0428d1d78839d3bef0f6887746f2;Wed May 01 07:50:09 CEST 2019;zipkin2.collector.kafka.KafkaCollectorTest;zipkin2.collector.kafka.KafkaCollector;224;27;56;146;2.0;2.0;4.0;49.0;0.0;0.0;0.0
