"arch","test","p_value"
"Cyclic Dependency","ar1",0.85668357747227
"Cyclic Dependency","et1",0.922859897273249
"Cyclic Dependency","it1",0.849873086002294
"Cyclic Dependency","gf1",0.821605810127249
"Cyclic Dependency","mg1",0.251673220631391
"Cyclic Dependency","ro1",0.251673220631391
"Cyclic Dependency","se1",0.935111999114198
"Unstable Dependency","ar1",0.571800439556314
"Unstable Dependency","et1",0.71109630356643
"Unstable Dependency","it1",0.790799572051876
"Unstable Dependency","gf1",0.674092506985386
"Unstable Dependency","mg1",0.908049844912857
"Unstable Dependency","ro1",0.908049844912857
"Unstable Dependency","se1",0.912710070531373
"Feature Concentration","ar1",0.153032196067703
"Feature Concentration","et1",0.291590560420582
"Feature Concentration","it1",0.61350636193611
"Feature Concentration","gf1",0.476223078432036
"Feature Concentration","mg1",0.147718840660352
"Feature Concentration","ro1",0.147718840660352
"Feature Concentration","se1",0.536918517213121
"God Component","ar1",0.00551740778723358
"God Component","et1",0.00650554031870513
"God Component","it1",0.0129487902685466
"God Component","gf1",0.00798098415682393
"God Component","mg1",0.10445256008472
"God Component","ro1",0.10445256008472
"God Component","se1",0.301044581325822
"Ambiguous Interface","ar1",0.17748421333991
"Ambiguous Interface","et1",0.188029040698542
"Ambiguous Interface","it1",0.203789023256926
"Ambiguous Interface","gf1",0.201706591870912
"Ambiguous Interface","mg1",0.424662874176171
"Ambiguous Interface","ro1",0.424662874176171
"Ambiguous Interface","se1",0.359274098467221
